universe.size,Cycle breaking,Grounding,answer,number.of.independent.pairs,instance,proportion.probabilistic,Propagating evidence,domain.size,Clark's completion,Total time,number.of.facts,number.of.variables,maximum.arity,number.of.predicates,DSharp compilation,maximum.number.of.nodes
3200,,0.0075,,10,8,0.5,0.0000,400,,0.1757,1000,4,1,8,,8
3000100,0.0001,0.0035,0.6,6,4,0.5,0.0000,100,0.0000,24.9166,100000,4,3,4,0.0010,8
40080200,0.0001,0.0016,0.7,17,0,0.75,0.0000,200,0.0000,21.4498,100000,8,3,8,0.0004,4
3020300,0.0000,0.0011,1,15,6,0.5,0.0000,100,0.0000,1.5184,10000,2,3,8,0.0004,4
16000400,,0.0140,,1,9,0.75,0.0000,200,,1.5725,10000,4,3,4,,4
24000200,0.0000,0.0033,1,6,2,0.25,0.0000,200,0.0000,23.6445,100000,4,3,4,0.0004,8
60200,0.0000,0.0015,1,1,4,0.5,0.0000,100,0.0000,2.0183,10000,8,2,8,0.0005,2
24001000,0.0001,0.0019,0.6,23,0,0.75,0.0000,200,0.0000,2.7405,10000,8,3,8,0.0006,2
80000,,0.0162,,4,8,0.5,0.0000,100,,2.1788,10000,8,2,8,,8
3040100,,0.0041,,15,0,0.25,0.0000,100,,0.2226,1000,4,3,8,,4
3030200,0.0000,0.0010,1,21,4,0.25,0.0000,100,0.0000,1.2150,10000,4,3,8,0.0003,2
800,,0.0041,,8,0,0.75,0.0000,100,,0.0668,600.0,8,1,8,,8
192480800,0.0000,0.0010,1,12,7,0.25,0.0000,400,0.0000,0.1086,1000,4,3,8,0.0004,8
30500,,0.0030,,27,3,0.25,0.0000,100,,0.0975,1000,2,2,8,,2
60200,0.0001,0.0011,0.9,1,8,0.75,0.0000,100,0.0000,6.1271,45150.0,8,2,8,0.0004,2
1010000,0.0001,0.0009,0.8,1,6,0.75,0.0000,100,0.0000,0.2225,1000,2,3,2,0.0003,4
4030100,,0.0070,,27,5,0.5,0.0000,100,,2.2936,10000,4,3,8,,2
800,,0.0046,,5,9,0.25,0.0000,100,,0.2045,600.0,4,1,8,,2
1600,,0.0038,,5,1,0.75,0.0000,200,,0.1924,1200.0,8,1,8,,2
40040400,,0.0165,,23,4,0.25,0.0000,200,,2.7835,10000,8,3,8,,2
81200,0.0000,0.0012,1,26,6,0.25,0.0000,200,0.0000,0.1371,1000,2,2,8,0.0004,8
200600,0.0001,0.0009,0.6,19,4,0.25,0.0000,200,0.0000,17.6656,100000,2,2,8,0.0004,2
256161200,0.0000,0.0009,1,27,6,0.25,0.0000,400,0.0000,0.0903,1000,4,3,8,0.0003,2
5010200,0.0001,0.0009,0.2,15,7,0.5,0.0000,100,0.0000,0.1136,1000,8,3,8,0.0004,4
40400,0.0000,0.0009,1,19,8,0.25,0.0000,100,0.0000,0.8651,10000,2,2,8,0.0004,2
64160000,0.0001,0.0016,1,1,3,0.5,0.0000,400,0.0000,0.2665,1000,2,3,2,0.0007,4
1600,,0.0034,,22,6,0.25,0.0000,200,,0.1238,1000,8,1,8,,8
4000400,0.0001,0.0008,0.2,22,8,0.25,0.0000,100,0.0000,0.1611,1000,2,3,8,0.0004,2
480400,0.0001,0.0009,0.8,6,7,0.5,0.0000,400,0.0000,0.1045,1000,4,2,4,0.0004,4
24000200,0.0001,0.0017,0.9,6,4,0.5,0.0000,200,0.0000,24.0758,100000,4,3,4,0.0005,8
3200,,0.0041,,5,7,0.5,0.0000,400,,0.1635,1000,4,1,8,,2
3020300,0.0002,0.0029,0.7,23,4,0.5,0.0000,100,0.0001,28.6467,100000,2,3,8,0.0008,4
192321200,0.0000,0.0010,1,17,7,0.75,0.0000,400,0.0000,17.7500,100000,8,3,8,0.0003,4
16120600,0.0000,0.0032,1,27,7,0.5,0.0000,200,0.0000,0.1662,1000,4,3,8,0.0004,2
64160000,0.0000,0.0021,1,1,0,0.25,0.0000,400,0.0000,2.4280,10000,2,3,2,0.0007,4
480400,,0.0142,,0,7,0.25,0.0000,400,,1.6640,10000,4,2,4,,2
10100,0.0942,0.1953,1,0,5,0.75,0.0000,100,0.0566,2.1656,7575.0,4,2,2,0.1489,2
60200,0.0000,0.0025,1,12,1,0.75,0.0000,100,0.0000,1.1413,10000,8,2,8,0.0003,2
960800,,0.0035,,4,9,0.75,0.0000,400,,0.1690,1000,8,2,8,,8
3200,,0.0041,,12,4,0.25,0.0000,400,,0.1185,1000,2,1,8,,4
3200,0.0002,0.0041,0.76,15,0,0.25,0.0000,400,0.0001,0.1558,1000,8,1,8,0.0187,8
128000800,0.0001,0.0019,0.3,1,5,0.75,0.0000,400,0.0000,1.4594,10000,8,3,4,0.0006,4
128800400,0.0000,0.0031,1,3,7,0.5,0.0000,400,0.0000,2.8597,10000,4,3,8,0.0004,2
960800,0.0001,0.0018,0.5,27,8,0.75,0.0000,400,0.0000,0.2297,1000,2,2,8,0.0004,2
482000,0.0000,0.0014,1,17,4,0.5,0.0000,400,0.0000,0.1760,1000,2,2,8,0.0005,4
1600,,0.0034,,12,3,0.75,0.0000,200,,0.1752,1000,2,1,8,,4
641600,0.0001,0.0021,0.1,17,3,0.5,0.0000,400,0.0001,2.5759,10000,2,2,8,0.0008,4
1020100,0.0000,0.0007,0.1,6,7,0.5,0.0000,100,0.0000,0.1252,1000,4,3,4,0.0003,8
1600,,0.0023,,15,9,0.75,0.0000,200,,0.0843,1000,8,1,8,,8
32040600,,0.0019,,28,5,0.5,0.0000,200,,0.1077,1000,2,3,8,,2
200600,0.0000,0.0009,1,27,0,0.25,0.0000,200,0.0000,0.0843,1000,2,2,8,0.0003,2
384160400,0.0002,0.0012,0.9,23,6,0.5,0.0000,400,0.0000,2.7331,10000,2,3,8,0.0004,4
160800,,34.5744,,9,7,0.75,0.0000,200,,60.0003,100000,4,2,8,,8
32120200,0.0001,0.0012,0.3,3,9,0.75,0.0000,200,0.0000,0.2143,1000,4,3,8,0.0004,2
448000400,0.0001,0.0012,0.8,8,5,0.75,0.0000,400,0.0000,2.9690,10000,2,3,8,0.0004,4
400,0.0000,0.0026,1,5,5,0.25,0.0000,100,0.0000,0.0456,300.0,2,1,4,0.0004,4
4040000,0.0003,0.0037,0.3,21,0,0.75,0.0000,100,0.0001,2.9340,10000,4,3,8,0.0006,2
24080600,0.0001,0.0013,0.6,15,3,0.75,0.0000,200,0.0000,3.1264,10000,8,3,8,0.0005,4
192480800,0.0000,0.0011,1,1,4,0.5,0.0000,400,0.0000,0.1602,1000,4,3,8,0.0004,8
160800,,0.0188,,12,5,0.75,0.0000,200,,1.8864,10000,8,2,8,,2
4030100,,0.0137,,15,0,0.5,0.0000,100,,2.6691,10000,8,3,8,,4
3000100,0.0001,0.0013,0.2,6,5,0.75,0.0000,100,0.0000,2.9915,10000,4,3,4,0.0005,8
3030200,0.0000,0.0008,1,17,4,0.25,0.0000,100,0.0000,0.0988,1000,8,3,8,0.0003,4
160400,0.6650,1.1660,1,0,5,0.75,0.0000,400,0.7072,7.5614,1000,4,2,2,2.4090,2
24040800,0.0001,0.0035,1,28,8,0.5,0.0000,200,0.0001,0.4120,1000,2,3,8,0.0007,2
320160800,0.0000,0.0022,1,22,0,0.5,0.0000,400,0.0000,0.2647,1000,2,3,8,0.0004,2
3200,,0.0053,,15,3,0.25,0.0000,400,,0.2937,2400.0,8,1,8,,8
64002800,,0.0063,,1,6,0.25,0.0000,400,,0.1167,1000,4,3,8,,8
641600,,0.6399,,16,3,0.75,0.0000,400,,16.8328,100000,4,2,8,,2
40400,0.0001,0.0012,0.7,17,8,0.75,0.0000,100,0.0000,10.5102,30300.0,2,2,8,0.0005,4
60200,0.0000,0.0020,1,8,4,0.75,0.0000,100,0.0000,2.5130,10000,4,2,8,0.0007,8
5020100,0.0001,0.0011,0.7,17,0,0.25,0.0000,100,0.0000,0.2580,1000,8,3,8,0.0005,4
512000000,0.0001,0.0012,0.4,15,9,0.5,0.0000,400,0.0000,0.2792,1000,8,3,8,0.0004,4
256320800,,0.0030,,23,0,0.25,0.0000,400,,0.1802,1000,2,3,8,,4
320800,0.0009,0.4774,0.2,4,5,0.75,0.0000,400,0.0000,1.8684,10000,4,2,4,0.0004,8
1600,,0.0039,,1,4,0.75,0.0000,200,,0.0892,1000,8,1,8,,2
40400,0.0001,0.0020,1,19,5,0.5,0.0000,100,0.0000,6.2286,30300.0,2,2,8,0.0007,2
16120600,0.0000,0.0011,1,8,0,0.5,0.0000,200,0.0000,2.2234,10000,2,3,8,0.0004,4
3020300,0.0001,0.0023,0.2,15,3,0.5,0.0000,100,0.0000,29.4232,100000,8,3,8,0.0006,4
40600,0.0001,0.0015,1,6,5,0.25,0.0000,200,0.0000,5.7948,30450.0,4,2,4,0.0020,4
320160800,,0.3786,,23,4,0.25,0.0000,400,,18.0193,100000,8,3,8,,2
641600,,0.0168,,16,3,0.75,0.0001,400,,1.2941,10000,4,2,8,,2
192321200,0.0000,0.0015,1,15,6,0.5,0.0000,400,0.0000,23.9789,100000,2,3,8,0.0005,4
24120400,0.0001,0.0016,0.9,12,7,0.75,0.0000,200,0.0000,0.2439,1000,4,3,8,0.0005,8
256640000,0.0001,0.0015,0.6,12,4,0.75,0.0000,400,0.0000,19.0411,100000,4,3,8,0.0005,8
482000,0.0000,0.0012,1,17,6,0.25,0.0000,400,0.0000,0.1602,1000,2,2,8,0.0004,4
641600,,0.0104,,17,5,0.25,0.0000,400,,0.2060,1000,2,2,8,,4
1600,0.0002,0.0070,0.2,15,7,0.75,0.0000,200,0.0000,0.2453,1000,8,1,8,0.0006,8
320800,0.0001,0.0010,0.9,0,1,0.25,0.0000,400,0.0000,14.5698,100000,4,2,4,0.0004,2
200600,0.0000,0.0013,1,4,2,0.5,0.0000,200,0.0000,1.2075,10000,8,2,8,0.0004,8
800,,0.0048,,1,2,0.25,0.0000,100,,0.0882,600.0,8,1,8,,2
192321200,0.0000,0.0013,1,17,7,0.75,0.0000,400,0.0000,0.2385,1000,8,3,8,0.0005,4
4010300,0.0000,0.0013,1,21,2,0.5,0.0000,100,0.0000,0.2417,1000,4,3,8,0.0004,2
32080400,0.0001,0.0015,0.6,3,8,0.75,0.0000,200,0.0000,0.3671,1000,4,3,8,0.0006,2
641600,0.0001,0.0121,0.4,1,3,0.25,0.0004,400,0.0000,4.3528,10000,8,2,8,0.0006,2
4000400,0.0001,0.0013,0.7,15,5,0.75,0.0000,100,0.0000,3.9074,10000,8,3,8,0.0004,4
60200,,0.0025,,4,7,0.75,0.0000,100,,0.1417,1000,8,2,8,,8
322400,0.0001,0.0012,0.4,9,0,0.25,0.0000,400,0.0000,1.0868,10000,4,2,8,0.0005,8
121000,0.0000,0.0014,1,20,7,0.25,0.0000,200,0.0000,0.1568,1000,8,2,8,0.0005,8
256320800,0.0001,0.0012,0.8,23,9,0.25,0.0000,400,0.0000,17.1956,100000,8,3,8,0.0004,2
1600,0.0000,0.0031,1,20,2,0.25,0.0000,200,0.0000,0.1400,1200.0,8,1,8,0.0004,8
5010200,,0.0093,,15,7,0.5,0.0000,100,,1.2351,10000,8,3,8,,4
256320800,0.0000,0.0008,1,15,5,0.75,0.0000,400,0.0000,19.0407,100000,4,3,8,0.0003,4
3000100,0.0004,0.0054,0.67504384,1,3,0.75,0.0000,100,0.0001,21.8372,100000,4,3,4,0.0218,4
64160800,,0.0126,,6,9,0.25,0.0000,400,,1.1088,10000,4,3,4,,8
482000,0.0001,0.0017,0.9,8,9,0.75,0.0000,400,0.0000,22.8319,100000,4,2,8,0.0006,8
8001400,0.0002,0.0023,0.7,1,6,0.75,0.0000,200,0.0000,3.1895,10000,4,3,8,0.0008,8
800,,0.0034,,11,4,0.75,0.0000,100,,0.1193,600.0,8,1,8,,4
40400,,0.0050,,16,7,0.75,0.0000,100,,0.2216,1000,4,2,8,,2
6010100,0.0000,0.0016,1,15,1,0.5,0.0000,100,0.0000,0.3707,1000,4,3,8,0.0005,4
1600,0.0000,0.0029,1,22,9,0.25,0.0000,200,0.0000,0.1670,1200.0,8,1,8,0.0004,8
64002800,0.0005,0.0029,0.8,1,6,0.75,0.0000,400,0.0001,38.3194,100000,4,3,8,0.0027,8
800,,0.0037,,11,0,0.75,0.0000,100,,0.1051,600.0,8,1,8,,4
24000200,0.0001,0.0041,1,6,5,0.25,0.0000,200,0.0000,27.3363,100000,4,3,4,0.0020,8
240400,0.0002,0.0016,0.4,20,6,0.5,0.0000,200,0.0001,0.2743,1000,8,2,8,0.0014,8
40400,0.0001,0.0015,0.9,16,3,0.75,0.0000,100,0.0000,0.2931,1000,4,2,8,0.0006,2
40040400,,0.0195,,3,5,0.25,0.0000,200,,0.2861,1000,4,3,8,,2
1600,,0.0024,,5,4,0.25,0.0000,200,,0.1437,1200.0,4,1,8,,2
1010200,0.0002,0.0013,0.1,1,0,0.75,0.0000,100,0.0001,0.2180,1000,4,3,4,0.0009,4
800,0.0003,0.6665,1,10,1,0.75,0.0000,100,0.0000,0.7764,600.0,4,1,8,0.0003,8
10300,0.0001,0.0010,0.9,6,5,0.75,0.0000,100,0.0000,0.2238,1000,4,2,4,0.0006,4
1600,,0.0048,,3,8,0.25,0.0000,200,,0.1189,1000,4,1,8,,8
121000,0.0000,0.0030,1,17,4,0.25,0.0000,200,0.0000,1.6670,10000,2,2,8,0.0004,4
1600,,0.0044,,9,9,0.5,0.0000,200,,0.1745,1200.0,4,1,8,,4
400,,0.0025,,5,7,0.75,0.0000,100,,0.0477,300.0,4,1,4,,2
32080400,0.0000,0.0034,1,23,0,0.25,0.0000,200,0.0000,30.1166,100000,2,3,8,0.0005,4
20200,,0.1253,,6,9,0.75,0.0000,100,,4.9131,15150.0,4,2,4,,4
800,,0.0096,,5,6,0.75,0.0001,200,,0.1554,600.0,4,1,4,,2
801200,0.0001,0.0010,0.7,17,2,0.5,0.0000,400,0.0000,2.3889,10000,2,2,8,0.0004,4
16041000,0.0001,0.0014,0.3,21,5,0.75,0.0000,200,0.0000,2.4378,10000,4,3,8,0.0006,2
40000,,0.0472,,0,0,0.5,0.0000,100,,8.1836,30000.0,4,2,4,,2
4020200,0.0001,0.0019,0.4,12,8,0.5,0.0000,100,0.0000,32.8146,100000,4,3,8,0.0006,8
40400,0.0006,0.0070,0.4,20,2,0.75,0.0001,100,0.0004,2.9547,10000,8,2,8,0.0007,8
320000,0.0000,0.0013,1,0,4,0.25,0.0000,400,0.0000,0.2531,1000,4,2,2,0.0004,2
3030200,0.0001,0.0033,1,28,2,0.5,0.0000,100,0.0003,25.0993,100000,2,3,8,0.0028,2
384160400,0.0000,0.0010,1,15,1,0.25,0.0000,400,0.0000,0.1968,1000,4,3,8,0.0004,4
960800,,0.0755,,4,9,0.25,0.0002,400,,23.8146,100000,8,2,8,,8
16080000,0.0007,0.0028,0.5,1,1,0.75,0.0000,200,0.0004,2.3827,10000,4,3,4,0.0027,4
128321600,0.0001,0.0023,0.6,22,3,0.5,0.0000,400,0.0000,0.1945,1000,2,3,8,0.0005,2
2000000,0.0001,0.0012,0.6,1,2,0.5,0.0000,100,0.0000,2.7245,10000,2,3,2,0.0004,4
1050200,,0.0058,,12,3,0.75,0.0000,100,,0.2092,1000,4,3,8,,8
60200,0.0001,0.0014,0.6,12,7,0.25,0.0000,100,0.0000,9.8596,45150.0,8,2,8,0.0005,2
2040200,0.0001,0.0012,0.4,8,3,0.5,0.0000,100,0.0000,2.0069,10000,2,3,8,0.0005,4
192480800,0.0000,0.0016,1,22,9,0.25,0.0000,400,0.0000,27.2200,100000,2,3,8,0.0005,2
482000,,0.0284,,20,8,0.25,0.0000,400,,2.5924,10000,8,2,8,,8
20000,,0.1192,,0,8,0.5,0.0000,100,,3.3692,15000.0,4,2,2,,2
1600,0.0002,0.0020,0.7,12,6,0.25,0.0000,200,0.0000,0.1380,1200.0,2,1,8,0.0004,4
8000200,0.0001,0.0021,0.2,1,7,0.75,0.0000,200,0.0000,0.4657,1000,2,3,2,0.0010,4
24080600,,1.3208,,1,7,0.5,0.0000,200,,1.5446,1000,4,3,8,,8
1600,,0.0029,,1,0,0.5,0.0000,200,,0.1688,1000,8,1,8,,2
121000,,0.0154,,1,0,0.25,0.0001,200,,21.4463,90750.0,8,2,8,,2
256320800,,0.0056,,12,8,0.5,0.0000,400,,2.3706,10000,4,3,8,,8
160800,0.0000,0.0011,1,16,3,0.25,0.0000,200,0.0000,1.7962,10000,4,2,8,0.0004,2
640000,,39.3958,,6,3,0.25,0.0000,400,,60.0003,100000,4,2,4,,4
3010400,,0.1602,,3,6,0.5,0.0000,100,,29.5795,100000,4,3,8,,2
1600,,0.0064,,9,1,0.25,0.0000,200,,0.2369,1200.0,4,1,8,,4
192321200,0.0001,0.0015,0.4,15,6,0.75,0.0000,400,0.0000,3.4403,10000,2,3,8,0.0005,4
24080600,0.0000,0.0011,1,1,7,0.25,0.0000,200,0.0000,31.0044,100000,4,3,8,0.0004,8
320800,,0.0043,,0,1,0.5,0.0000,400,,0.1735,1000,4,2,4,,2
121000,0.0001,0.0018,0.6,20,8,0.25,0.0000,200,0.0000,21.6322,90750.0,8,2,8,0.0006,8
5010200,,0.0044,,15,4,0.75,0.0000,100,,0.3481,1000,8,3,8,,4
1600,0.0000,0.0028,1,8,1,0.75,0.0000,200,0.0000,0.2972,1200.0,8,1,8,0.0005,8
128000800,0.0007,0.0033,0.3,1,5,0.5,0.0001,400,0.0003,3.3683,10000,8,3,4,0.0029,4
192480800,0.0002,0.0072,1,21,4,0.5,0.0001,400,0.0001,3.2835,10000,4,3,8,0.0005,2
640000,0.0001,0.0015,0.2,4,3,0.75,0.0000,400,0.0000,29.6436,100000,4,2,4,0.0005,8
160800,0.0001,0.0016,0.8,19,8,0.5,0.0000,200,0.0000,28.0407,100000,2,2,8,0.0005,2
1040300,0.0000,0.0023,1,15,7,0.5,0.0000,100,0.0000,30.8497,100000,2,3,8,0.0005,4
3200,,0.0043,,20,0,0.25,0.0000,400,,0.5273,2400.0,8,1,8,,8
482000,0.0001,0.0028,0.8,19,0,0.75,0.0000,400,0.0000,2.9515,10000,2,2,8,0.0009,2
320800,,0.0038,,6,6,0.5,0.0000,400,,0.2417,1000,4,2,4,,4
200600,,0.0071,,12,2,0.75,0.0000,200,,2.7720,10000,8,2,8,,2
5020100,0.0001,0.0024,0.8,3,1,0.75,0.0000,100,0.0000,31.9489,100000,4,3,8,0.0007,2
200600,,0.0038,,16,4,0.25,0.0000,200,,0.2726,1000,4,2,8,,2
3200,,0.0064,,9,6,0.25,0.0000,400,,0.1984,1000,4,1,8,,4
384320000,0.0002,0.0020,1,28,6,0.75,0.0000,400,0.0001,3.7806,10000,2,3,8,0.0045,2
800,,0.0046,,22,0,0.75,0.0000,100,,0.1029,600.0,8,1,8,,8
200600,0.0002,0.0018,0.3,8,5,0.25,0.0000,200,0.0001,0.1441,1000,4,2,8,0.0004,8
3020300,0.0001,0.0041,0.6,15,3,0.75,0.0000,100,0.0000,34.2910,100000,2,3,8,0.0007,4
20200,0.0000,0.0026,1,4,9,0.5,0.0000,100,0.0000,0.2724,1000,4,2,4,0.0007,8
20200,0.0000,0.0015,1,4,7,0.5,0.0000,100,0.0000,0.2621,1000,4,2,4,0.0009,8
3200,,0.0046,,20,7,0.75,0.0001,400,,0.2601,1000,8,1,8,,8
1600,,0.0069,,1,5,0.75,0.0000,200,,0.3432,1200.0,8,1,8,,2
2010100,0.0000,0.0016,1,1,4,0.25,0.0000,100,0.0000,0.3016,1000,8,3,4,0.0005,4
20200,0.0000,0.0014,1,0,6,0.5,0.0000,100,0.0000,0.2691,1000,4,2,4,0.0006,2
280200,0.0000,0.0030,1,26,5,0.75,0.0000,200,0.0000,0.3080,1000,2,2,8,0.0005,8
30100,0.0000,0.0015,1,4,8,0.5,0.0000,100,0.0000,6.5659,22575.0,4,2,4,0.0006,8
1600,,0.0135,,5,2,0.75,0.0002,200,,0.2886,1200.0,4,1,8,,2
32040600,0.0000,0.0063,1,15,4,0.25,0.0000,200,0.0000,0.2836,1000,2,3,8,0.0005,4
8040000,0.0008,0.0070,0.5,1,1,0.5,0.0001,200,0.0004,0.3477,1000,2,3,2,0.0015,4
8001400,0.0001,0.0022,0.9,1,6,0.75,0.0000,200,0.0000,36.6656,100000,4,3,8,0.0004,8
3200,,0.0085,,5,8,0.25,0.0000,400,,0.4499,2400.0,4,1,8,,2
40080200,0.0001,0.0015,0.3,27,0,0.5,0.0000,200,0.0000,0.2638,1000,4,3,8,0.0004,2
160800,0.0001,0.0009,0.6,19,8,0.25,0.0000,200,0.0000,1.6081,10000,2,2,8,0.0004,2
256320800,0.0001,0.0073,0.6,12,1,0.75,0.0001,400,0.0000,0.2492,1000,4,3,8,0.0004,8
641600,0.0001,0.0038,0.7,19,5,0.75,0.0000,400,0.0000,0.1901,1000,2,2,8,0.0008,2
1600,0.0004,0.0071,0.1,8,0,0.75,0.0002,200,0.0001,0.1859,1000,8,1,8,0.0007,8
40400,,0.0414,,17,7,0.5,0.0001,100,,6.5572,30300.0,2,2,8,,4
32120200,0.0002,0.0036,0.1,3,9,0.5,0.0000,200,0.0002,25.3618,100000,4,3,8,0.0031,2
1600,0.0000,0.0058,1,22,4,0.5,0.0001,200,0.0000,0.2188,1000,8,1,8,0.0007,8
1600,,0.0151,,5,2,0.5,0.0000,400,,0.2370,1200.0,4,1,4,,2
24160200,,0.0195,,15,0,0.75,0.0000,200,,3.3731,10000,4,3,8,,4
80400,0.0000,0.0014,1,0,6,0.25,0.0000,200,0.0000,2.4036,10000,4,2,4,0.0005,2
70100,,0.0897,,12,8,0.5,0.0000,100,,15.3159,52575.0,8,2,8,,2
192161600,0.0000,0.0017,1,8,2,0.25,0.0000,400,0.0000,2.9514,10000,2,3,8,0.0004,4
482000,0.0000,0.0081,1,9,8,0.25,0.0002,400,0.0000,2.5790,10000,4,2,8,0.0005,8
240400,0.0001,0.0016,0.5,26,8,0.5,0.0000,200,0.0000,2.3215,10000,2,2,8,0.0006,8
1600,,0.0040,,5,3,0.5,0.0000,400,,0.2113,1000,2,1,4,,4
3030200,0.0001,0.0020,0.2,21,4,0.75,0.0000,100,0.0000,3.4193,10000,4,3,8,0.0010,2
482000,0.0000,0.0015,1,17,4,0.25,0.0000,400,0.0000,24.7596,100000,2,2,8,0.0005,4
320320400,0.0003,0.0037,0.82,17,0,0.75,0.0000,400,0.0001,31.5561,100000,8,3,8,0.0493,4
2020400,0.0000,0.0020,1,22,3,0.5,0.0000,100,0.0000,35.1732,100000,2,3,8,0.0004,2
200600,,0.0086,,8,5,0.5,0.0000,200,,2.3943,10000,4,2,8,,8
50300,0.0000,0.0023,1,27,9,0.5,0.0000,100,0.0000,6.3714,37725.0,2,2,8,0.0007,2
60200,0.0000,0.0022,1,4,5,0.5,0.0001,100,0.0000,0.3376,1000,8,2,8,0.0007,8
482000,0.0009,2.5392,1,12,9,0.5,0.0000,400,0.0000,25.0951,100000,8,2,8,0.0005,2
40400,0.0001,0.0011,0.5,12,3,0.75,0.0000,100,0.0000,1.8659,10000,8,2,8,0.0004,2
3200,,0.0100,,11,4,0.25,0.0001,400,,0.5192,2400.0,8,1,8,,4
240400,0.0000,0.0014,1,26,8,0.75,0.0001,200,0.0000,2.1377,10000,2,2,8,0.0005,8
192321200,,0.0087,,23,7,0.25,0.0000,400,,2.2589,10000,8,3,8,,2
48040200,0.0001,0.0014,0.5,23,6,0.75,0.0000,200,0.0000,0.2217,1000,2,3,8,0.0005,4
800,,0.0029,,10,5,0.25,0.0000,100,,0.0769,600.0,4,1,8,,8
1600,0.0000,0.0034,1,10,1,0.75,0.0000,200,0.0000,0.1777,1200.0,4,1,8,0.0004,8
800,,0.0054,,5,1,0.25,0.0000,100,,0.0962,600.0,8,1,8,,2
32040600,0.0000,0.0008,0.6,27,6,0.75,0.0000,200,0.0000,2.0254,10000,4,3,8,0.0003,2
1600,0.0002,0.0023,0.832,12,8,0.75,0.0000,200,0.0000,0.0963,1000,2,1,8,0.0097,4
20200,,0.0027,,4,5,0.75,0.0000,100,,0.1139,1000,4,2,4,,8
1600,0.0002,0.0024,0.826,15,1,0.5,0.0000,200,0.0000,0.0900,1000,8,1,8,0.0112,8
24160200,0.0001,0.0049,1,22,1,0.5,0.0000,200,0.0000,24.7015,100000,2,3,8,0.0007,2
1600,0.0003,0.0034,0.616,5,0,0.5,0.0000,400,0.0001,0.2315,1000,2,1,4,0.0110,4
1600,,0.0051,,8,8,0.25,0.0000,200,,0.1295,1000,8,1,8,,8
64481600,0.0001,0.0015,0.5,22,5,0.75,0.0000,400,0.0000,26.6269,100000,2,3,8,0.0005,2
1600,0.0002,0.0029,0.4,5,5,0.75,0.0000,400,0.0000,0.1892,1200.0,2,1,4,0.0006,4
3200,0.0000,0.0041,1,5,4,0.5,0.0000,400,0.0000,0.1688,1000,4,1,8,0.0005,2
24120400,0.0001,0.0017,0.8,22,9,0.5,0.0000,200,0.0000,24.7581,100000,2,3,8,0.0006,2
200600,0.0000,0.0014,1,1,2,0.75,0.0000,200,0.0000,19.4817,100000,8,2,8,0.0004,2
30500,0.0053,0.0204,0.416,4,6,0.5,0.0000,100,0.0030,1.2521,10000,8,2,8,0.0239,8
3200,,0.0043,,22,4,0.25,0.0000,400,,0.1735,2400.0,8,1,8,,8
320160800,0.0000,0.0010,1,15,4,0.25,0.0000,400,0.0000,1.2220,10000,8,3,8,0.0005,4
32120200,,0.0068,,15,2,0.25,0.0000,200,,20.5227,100000,4,3,8,,4
16080800,0.0000,0.0014,1,15,9,0.5,0.0000,200,0.0000,0.1710,1000,4,3,8,0.0005,4
256480400,0.0001,0.0015,0.7,28,9,0.75,0.0000,400,0.0000,25.1225,100000,2,3,8,0.0005,2
64002800,0.0001,0.0016,0.2,1,6,0.75,0.0000,400,0.0000,2.4461,10000,4,3,8,0.0005,8
20200,,0.0046,,6,1,0.5,0.0000,100,,0.2046,1000,4,2,4,,4
50300,0.0000,0.0014,1,16,2,0.75,0.0000,100,0.0000,0.2265,1000,4,2,8,0.0004,2
128481200,,0.0084,,15,1,0.25,0.0000,400,,0.1716,1000,2,3,8,,4
240400,0.0001,0.0013,0.7,20,6,0.75,0.0000,200,0.0000,0.2142,1000,8,2,8,0.0005,8
128000000,0.0000,0.0017,1,1,2,0.25,0.0000,400,0.0000,17.2829,100000,2,3,2,0.0004,4
1600,,0.0067,,5,4,0.5,0.0000,200,,0.1750,1200.0,8,1,8,,2
50300,,0.0033,,16,6,0.5,0.0001,100,,7.4086,37725.0,4,2,8,,2
1600,,0.0049,,3,6,0.5,0.0000,200,,0.1536,1000,4,1,8,,8
2030300,,0.0053,,17,6,0.75,0.0000,100,,0.2233,1000,8,3,8,,4
30500,0.0001,0.0014,0.6,27,3,0.5,0.0000,100,0.0000,0.1795,1000,2,2,8,0.0005,2
160800,,0.0033,,12,3,0.75,0.0000,200,,0.2004,1000,8,2,8,,2
32080400,0.0001,0.0012,0.4,23,0,0.75,0.0000,200,0.0000,19.5781,100000,2,3,8,0.0004,4
64160800,0.0000,0.0016,1,6,9,0.75,0.0000,400,0.0000,0.1245,1000,4,3,4,0.0004,8
1600,,0.0023,,15,6,0.5,0.0000,200,,0.1072,1200.0,8,1,8,,8
1600,0.0000,0.0017,1,3,8,0.25,0.0000,200,0.0000,0.1130,1200.0,4,1,8,0.0004,8
641600,,0.0367,,20,0,0.25,0.0000,400,,1.6469,10000,8,2,8,,8
50300,0.0000,0.0017,1,8,6,0.25,0.0000,100,0.0000,0.1030,1000,4,2,8,0.0003,8
128162000,,0.0024,,15,0,0.25,0.0000,400,,0.1023,1000,2,3,8,,4
128800400,0.0001,0.0015,0.5,23,5,0.25,0.0000,400,0.0000,21.6253,100000,2,3,8,0.0005,4
121000,,0.0037,,12,9,0.5,0.0000,200,,0.1917,1000,8,2,8,,2
