universe.size,Cycle breaking,Grounding,answer,number.of.independent.pairs,instance,proportion.probabilistic,Propagating evidence,domain.size,Clark's completion,Total time,number.of.facts,number.of.variables,maximum.arity,number.of.predicates,DSharp compilation,maximum.number.of.nodes
3010400,0.0001,0.0010,0.3,17,9,0.5,0.0000,100,0.0000,1.7081,10000,8,3,8,0.0004,4
160800,25.5955,32.7227,,9,5,0.5,0.0000,200,,60.0003,10000,4,2,8,,8
30100,0.0001,0.0014,0.7,4,8,0.5,0.0000,100,0.0000,1.2906,10000,4,2,4,0.0004,8
3000500,,0.0037,,1,9,0.5,0.0000,100,,0.1252,1000,4,3,8,,8
641600,0.0000,0.0009,1,16,5,0.25,0.0000,400,0.0000,1.1116,10000,4,2,8,0.0003,2
801200,0.0001,0.0027,0.9,27,4,0.5,0.0001,400,0.0000,1.6007,10000,2,2,8,0.0004,2
3200,,0.0029,,22,8,0.5,0.0000,400,,0.2237,2400.0,8,1,8,,8
1600,,0.0044,,9,4,0.75,0.0000,200,,0.1270,1200.0,4,1,8,,4
3020300,0.0001,0.0015,0.2,15,3,0.75,0.0000,100,0.0000,2.3953,10000,2,3,8,0.0006,4
24200000,0.0001,0.0015,0.3,15,9,0.5,0.0000,200,0.0000,2.6599,10000,2,3,8,0.0005,4
192000400,0.0001,0.0017,0.4,1,7,0.75,0.0000,400,0.0000,2.9648,10000,4,3,4,0.0005,4
3200,,0.0033,,5,0,0.25,0.0000,400,,0.1467,1000,4,1,8,,2
1600,,0.0117,,8,5,0.75,0.0000,200,,0.2063,1000,8,1,8,,8
2030300,0.0000,0.0015,1,8,4,0.25,0.0000,100,0.0000,0.2100,1000,2,3,8,0.0004,4
128160400,,0.0064,,1,4,0.25,0.0000,400,,2.2317,10000,8,3,4,,4
6010100,,0.0757,,23,6,0.5,0.0000,100,,27.4117,100000,8,3,8,,2
80400,,0.1333,,6,9,0.5,0.0000,200,,13.5928,60300.0,4,2,4,,4
30500,0.0000,0.0042,1,12,0,0.75,0.0001,100,0.0000,0.2208,1000,8,2,8,0.0005,2
3200,,0.0041,,10,8,0.5,0.0000,400,,0.3812,2400.0,4,1,8,,8
6000200,,0.0112,,15,2,0.5,0.0000,100,,2.5869,10000,8,3,8,,4
2010100,,6.2570,,1,5,0.25,0.0000,100,,36.3907,100000,4,3,4,,4
800,,0.0042,,8,1,0.5,0.0000,100,,0.1708,600.0,8,1,8,,8
50300,,0.0019,,12,2,0.5,0.0000,100,,0.1006,1000,8,2,8,,2
4020200,0.0000,0.0015,1,12,6,0.25,0.0000,100,0.0000,25.8278,100000,4,3,8,0.0004,8
200600,0.0001,0.0017,0.5,16,6,0.5,0.0000,200,0.0000,14.6616,100000,4,2,8,0.0006,2
16000400,0.0000,0.0015,1,1,6,0.25,0.0000,200,0.0000,23.9594,100000,8,3,4,0.0004,4
160400,0.0000,0.0008,0.1,0,6,0.75,0.0000,400,0.0000,0.1278,1000,4,2,2,0.0003,2
800,,0.0026,,9,5,0.25,0.0000,100,,0.0482,600.0,2,1,8,,4
24080600,0.0000,0.0015,1,15,3,0.5,0.0000,200,0.0000,25.6475,100000,2,3,8,0.0005,4
20200,0.0001,0.0022,1,4,7,0.25,0.0000,100,0.0000,2.4491,10000,4,2,4,0.0006,8
160400,0.0001,0.0016,1,0,0,0.25,0.0000,400,0.0000,15.9682,100000,4,2,2,0.0005,2
3020300,0.0001,0.0010,0.1,15,3,0.5,0.0000,100,0.0000,1.4099,10000,8,3,8,0.0004,4
4000400,0.0001,0.0012,0.3,15,5,0.5,0.0000,100,0.0000,2.4259,10000,8,3,8,0.0004,4
30500,0.0001,0.0014,0.7,9,8,0.25,0.0000,100,0.0000,1.2437,10000,4,2,8,0.0004,8
3200,,0.0070,,9,2,0.5,0.0000,400,,0.3429,2400.0,2,1,8,,4
192321200,0.0000,0.0015,1,15,6,0.25,0.0000,400,0.0000,0.1735,1000,2,3,8,0.0005,4
16040200,0.0001,0.0015,0.3,1,4,0.5,0.0000,200,0.0000,28.0690,100000,8,3,4,0.0004,4
801200,0.0001,0.0021,1,8,6,0.25,0.0000,400,0.0000,20.3332,100000,4,2,8,0.0010,8
3200,0.0002,0.0023,0.9,6,7,0.75,0.0000,400,0.0001,0.2261,1000,2,1,8,0.0006,8
3200,0.0000,0.0021,1,22,3,0.5,0.0000,400,0.0000,0.3191,2400.0,8,1,8,0.0004,8
160800,,0.0072,,16,7,0.5,0.0000,200,,0.3185,1000,4,2,8,,2
1600,,0.0101,,11,2,0.5,0.0000,200,,0.3145,1200.0,8,1,8,,4
3200,,0.0036,,9,7,0.25,0.0000,400,,0.0686,1000,2,1,8,,4
640000,,0.0083,,0,0,0.25,0.0000,400,,0.9380,10000,4,2,4,,2
2020400,0.0001,0.0011,0.7,22,3,0.75,0.0000,100,0.0000,0.1341,1000,2,3,8,0.0004,2
320800,,0.0059,,4,9,0.75,0.0000,400,,1.9224,10000,4,2,4,,8
192000400,0.0001,0.0051,1,6,2,0.25,0.0000,400,0.0000,21.1374,100000,4,3,4,0.0007,8
3200,,0.0043,,10,7,0.5,0.0000,400,,0.1952,2400.0,4,1,8,,8
256161200,,0.0615,,27,6,0.75,0.0000,400,,24.8274,100000,4,3,8,,2
16040200,0.0000,0.0016,1,1,5,0.25,0.0000,200,0.0000,0.1890,1000,4,3,4,0.0005,4
32080400,0.0000,0.0011,1,15,5,0.5,0.0000,200,0.0000,0.1256,1000,4,3,8,0.0004,4
4030100,0.0000,0.0008,1,15,2,0.5,0.0000,100,0.0000,1.4118,10000,4,3,8,0.0003,4
801200,0.0000,0.0013,1,19,3,0.75,0.0000,400,0.0000,26.2361,100000,2,2,8,0.0004,2
3200,,0.0103,,6,0,0.25,0.0000,400,,0.2276,1000,2,1,8,,8
384320000,0.0000,0.0009,1,28,6,0.5,0.0000,400,0.0000,1.7525,10000,2,3,8,0.0003,2
800,,0.0022,,9,0,0.75,0.0000,100,,0.0589,600.0,2,1,8,,4
800,,0.0032,,3,4,0.75,0.0000,100,,0.0598,600.0,4,1,8,,8
50300,0.0002,0.0023,0.3,19,7,0.75,0.0000,100,0.0001,9.7699,37725.0,2,2,8,0.0008,2
320000,,0.0080,,0,8,0.5,0.0001,400,,0.1972,1000,4,2,2,,2
2050100,0.0000,0.0029,1,3,7,0.75,0.0000,100,0.0000,0.2249,1000,4,3,8,0.0004,2
4010300,0.0000,0.0016,1,27,3,0.75,0.0000,100,0.0000,29.6479,100000,4,3,8,0.0004,2
48080000,0.0000,0.0013,1,23,3,0.75,0.0000,200,0.0000,2.7131,10000,8,3,8,0.0004,2
24080600,0.0004,0.0054,0.956,17,1,0.5,0.0000,200,0.0003,20.1424,100000,8,3,8,0.0477,4
192000400,0.0000,0.0116,1,1,7,0.75,0.0000,400,0.0000,0.2438,1000,4,3,4,0.0004,4
3200,,0.0064,,1,3,0.75,0.0000,400,,0.3616,2400.0,8,1,8,,2
24200000,,0.0353,,1,5,0.75,0.0000,200,,2.8416,10000,4,3,8,,8
4010300,0.0002,0.0024,0.8,21,2,0.25,0.0000,100,0.0000,2.4027,10000,4,3,8,0.0008,2
160800,0.0001,0.0011,0.7,9,2,0.5,0.0000,200,0.0000,23.4228,100000,4,2,8,0.0004,8
3200,,0.0095,829.,9,2,0.5,0.0000,400,,0.1930,1000,4,1,8,,4
3200,,0.0087,,5,1,0.75,0.0000,400,,0.6629,2400.0,8,1,8,,2
8000200,0.0000,0.0011,1,1,9,0.25,0.0000,200,0.0000,0.2074,1000,2,3,2,0.0004,4
2030300,0.0000,0.0021,1,15,2,0.5,0.0000,100,0.0000,2.0531,10000,2,3,8,0.0005,4
240400,0.0001,0.0015,0.6,12,7,0.25,0.0000,200,0.0000,2.2128,10000,8,2,8,0.0005,2
3030200,,0.0088,,17,4,0.5,0.0000,100,,3.0118,10000,8,3,8,,4
160800,0.0001,0.0021,1,17,9,0.75,0.0001,200,0.0000,2.7729,10000,2,2,8,0.0007,4
2010100,0.0001,0.0014,0.9,1,4,0.5,0.0000,100,0.0000,0.2147,1000,8,3,4,0.0005,4
1600,0.0002,0.0022,0.7,22,6,0.75,0.0000,200,0.0000,0.1998,1200.0,8,1,8,0.0004,8
1010000,0.0001,0.0014,0.6,1,1,0.75,0.0000,100,0.0000,3.2908,10000,2,3,2,0.0005,4
800,0.0000,0.0022,1,12,7,0.5,0.0000,100,0.0000,0.0935,600.0,2,1,8,0.0004,4
4020200,0.0000,0.0025,1,12,1,0.5,0.0000,100,0.0000,0.2049,1000,4,3,8,0.0006,8
4020200,0.0000,0.0009,1,15,8,0.75,0.0000,100,0.0001,2.8492,10000,8,3,8,0.0004,4
1600,,59.8871,,11,5,0.25,0.0000,200,,60.0002,1200.0,8,1,8,,4
50300,0.0000,0.0013,1,19,4,0.75,0.0000,100,0.0000,3.0619,10000,2,2,8,0.0005,2
1600,,0.2108,,1,1,0.25,0.0000,200,,0.3698,1200.0,8,1,8,,2
3200,,59.5048,,9,7,0.75,0.0000,400,,60.0003,2400.0,2,1,8,,4
240400,,0.0136,,4,5,0.75,0.0000,200,,1.8814,10000,8,2,8,,8
3030200,0.0001,0.0016,0.2,28,0,0.5,0.0000,100,0.0000,1.3971,10000,2,3,8,0.0006,2
128481200,,0.0145,,1,1,0.25,0.0000,400,,16.7765,100000,4,3,8,,8
322400,,0.0564,,20,9,0.25,0.0001,400,,1.6425,10000,8,2,8,,8
5020100,0.0003,0.0040,0.28,17,0,0.5,0.0000,100,0.0001,2.7756,10000,8,3,8,0.0204,4
3010400,0.0001,0.0021,0.3,28,8,0.75,0.0000,100,0.0000,23.7199,100000,2,3,8,0.0005,2
5020100,0.0000,0.0019,1,15,7,0.75,0.0000,100,0.0000,21.7145,100000,4,3,8,0.0006,4
1600,0.0004,0.0050,0.37,5,2,0.75,0.0000,200,0.0001,0.2386,1200.0,8,1,8,0.0153,2
70100,0.0000,0.0008,1,26,5,0.5,0.0000,100,0.0000,0.0998,1000,2,2,8,0.0003,8
3030200,,43.5572,,1,4,0.25,0.0000,100,,60.0002,100000,4,3,8,,8
16120600,0.0000,0.0018,1,23,3,0.25,0.0000,200,0.0000,36.5657,100000,2,3,8,0.0005,4
280200,,0.0273,,12,8,0.5,0.0000,200,,3.2730,10000,8,2,8,,2
3030200,0.0000,0.0088,1,22,4,0.75,0.0001,100,0.0000,45.5446,100000,2,3,8,0.0006,2
200,,0.0061,,1,9,0.5,0.0000,100,,0.0515,150.0,8,1,2,,8
256161200,,0.0037,,22,2,0.25,0.0000,400,,0.2877,1000,2,3,8,,2
40600,,0.3668,,6,8,0.75,0.0000,200,,11.5982,30450.0,4,2,4,,4
128321600,0.0001,0.0019,0.8,12,2,0.75,0.0000,400,0.0000,41.2304,100000,4,3,8,0.0006,8
3000500,0.0001,0.0034,0.9,23,0,0.75,0.0001,100,0.0000,45.9680,100000,8,3,8,0.0008,2
16160400,0.0001,0.0015,0.1,21,8,0.75,0.0000,200,0.0000,3.6518,10000,4,3,8,0.0005,2
480400,0.0000,0.0075,1,0,2,0.25,0.0000,400,0.0000,30.8630,100000,4,2,4,0.0006,2
192161600,0.0000,0.0018,1,8,2,0.25,0.0000,400,0.0000,36.9102,100000,2,3,8,0.0007,4
16041000,0.0001,0.0013,0.6,21,5,0.5,0.0000,200,0.0000,4.0394,10000,4,3,8,0.0006,2
200600,0.0002,0.0023,0.5,16,6,0.75,0.0000,200,0.0001,3.4895,10000,4,2,8,0.0009,2
120200,0.0000,0.0058,1,4,6,0.5,0.0000,200,0.0000,29.3053,90150.0,4,2,4,0.0005,8
320000,0.0001,0.0111,1,4,8,0.25,0.0003,200,0.0000,0.4071,1000,8,2,8,0.0009,8
16040200,0.0003,0.0015,1,1,4,0.5,0.0000,200,0.0002,0.3645,1000,8,3,4,0.0030,4
200600,0.0000,0.0021,1,19,2,0.25,0.0000,200,0.0000,0.2421,1000,2,2,8,0.0003,2
24080600,0.0001,0.0022,0.5,21,6,0.75,0.0000,200,0.0000,43.5199,100000,4,3,8,0.0012,2
24080600,0.0001,0.0018,0.2,23,1,0.75,0.0000,200,0.0000,0.4286,1000,2,3,8,0.0007,4
1010000,0.0001,0.0019,0.4,1,3,0.75,0.0001,100,0.0001,0.5021,1000,2,3,2,0.0009,4
40400,0.0001,0.0035,1,17,8,0.75,0.0000,100,0.0000,0.2961,1000,2,2,8,0.0006,4
1600,0.0003,0.0028,0.307,10,7,0.5,0.0000,200,0.0001,0.2431,1200.0,4,1,8,0.0120,8
256161200,0.0001,0.0017,1,27,3,0.5,0.0000,400,0.0000,43.4837,100000,4,3,8,0.0007,2
3010400,0.0000,0.0110,1,17,9,0.25,0.0003,100,0.0001,38.5651,100000,8,3,8,0.0006,4
800,,0.0053,,15,8,0.75,0.0000,100,,0.2011,600.0,8,1,8,,8
3010000,0.0001,0.0049,0.4,1,7,0.5,0.0001,100,0.0000,46.3102,100000,8,3,4,0.0006,4
192321200,,0.1674,,17,7,0.5,0.0000,400,,45.5197,100000,8,3,8,,4
3200,,1.4450,,8,2,0.5,0.0000,400,,2.3080,2400.0,8,1,8,,8
1600,,1.2717,829.,12,8,0.25,0.0000,200,,1.5894,1200.0,2,1,8,,4
200600,0.0001,0.0016,0.2,16,2,0.25,0.0000,200,0.0000,3.3656,10000,4,2,8,0.0005,2
200600,,0.5404,,20,5,0.25,0.0000,200,,35.4143,100000,8,2,8,,8
40080200,0.0000,0.0019,1,27,0,0.5,0.0000,200,0.0000,4.6528,10000,4,3,8,0.0005,2
2020000,0.0002,0.0018,0.1,1,2,0.5,0.0000,100,0.0001,3.2671,10000,4,3,4,0.0008,4
960800,0.0001,0.0018,0.9,12,7,0.75,0.0000,400,0.0000,0.4254,1000,8,2,8,0.0007,2
16080000,0.0003,0.0031,1,1,2,0.5,0.0000,200,0.0004,44.7766,100000,4,3,4,0.0026,4
3200,,1.3098,,10,8,0.75,0.0001,400,,2.1420,2400.0,4,1,8,,8
128320000,0.0001,0.0018,0.5,1,2,0.25,0.0000,400,0.0000,4.1667,10000,4,3,4,0.0007,4
192480800,0.0002,0.0031,0.1,28,2,0.5,0.0000,400,0.0001,44.5548,100000,2,3,8,0.0010,2
322400,0.0000,0.0020,1,26,6,0.5,0.0000,400,0.0000,38.1987,100000,2,2,8,0.0007,8
30500,0.0000,0.0016,1,12,0,0.75,0.0000,100,0.0000,9.7766,22875.0,8,2,8,0.0005,2
160800,0.0000,0.0024,1,26,9,0.5,0.0000,200,0.0000,37.5193,100000,2,2,8,0.0005,8
1280000,,1.0721,,4,8,0.75,0.0000,400,,39.4810,100000,8,2,8,,8
128481200,0.0001,0.0159,1,27,9,0.25,0.0000,400,0.0000,3.4536,10000,4,3,8,0.0006,2
3030200,0.0008,0.0094,0.7,17,5,0.75,0.0001,100,0.0003,49.8964,100000,8,3,8,0.0016,4
482000,0.0001,0.0018,0.5,27,7,0.75,0.0000,400,0.0000,3.4547,10000,2,2,8,0.0010,2
40120000,0.0001,0.0014,0.2,23,2,0.75,0.0000,200,0.0000,23.8938,100000,2,3,8,0.0004,4
16120600,0.0001,0.0022,0.2,27,7,0.75,0.0000,200,0.0001,0.3472,1000,4,3,8,0.0008,2
2010500,0.0001,0.0009,0.6,21,5,0.75,0.0000,100,0.0000,1.6954,10000,4,3,8,0.0003,2
24000200,0.0000,0.0026,1,1,3,0.75,0.0000,200,0.0000,29.2054,100000,4,3,4,0.0007,4
20600,0.0001,0.0020,0.6,9,0,0.75,0.0000,100,0.0000,3.2832,15450.0,4,2,8,0.0007,8
256001600,,0.0066,,15,5,0.75,0.0000,400,,0.3683,1000,8,3,8,,4
800,,0.0018,,22,7,0.75,0.0000,100,,0.0648,600.0,8,1,8,,8
801200,,0.2170,,20,5,0.75,0.0000,400,,15.1239,100000,8,2,8,,8
280200,0.0001,0.0015,0.5,9,4,0.75,0.0000,200,0.0000,0.2038,1000,4,2,8,0.0006,8
