domain.size,number.of.predicates,number.of.variables,number.of.facts,Cycle breaking,Grounding,maximum.number.of.nodes,Compiling SDDExplicit,maximum.arity,proportion.probabilistic,Propagating evidence,Total time,number.of.independent.pairs,answer,instance,universe.size
200,4,4,10000,0.0001,0.0011,4,0.0003,2,0.75,0.0000,1.3799,6,0.3,1,80400
100,8,8,1000,0.0000,0.0039,2,0.0003,2,0.5,0.0000,0.1984,12,1,9,30500
200,8,2,100000,0.0001,0.0017,4,0.0003,3,0.75,0.0000,25.9669,23,0.3,8,24160200
400,8,2,100000,0.0000,0.0012,2,0.0002,3,0.25,0.0000,18.4349,28,1,7,320320400
200,8,4,1200.0,,0.0081,8,,1,0.25,0.0000,0.1806,10,,9,1600
100,8,4,37725.0,0.0000,0.0015,2,0.0002,2,0.5,0.0000,7.8170,16,1,9,50300
200,8,8,100000,0.0000,0.0016,4,0.0002,3,0.5,0.0000,25.7639,17,1,3,32040600
200,8,2,100000,0.0001,0.0016,4,0.0004,3,0.25,0.0000,22.0428,15,0.6,0,16041000
400,4,4,1000,0.0001,0.0011,4,0.0003,3,0.75,0.0000,0.1408,1,0.6,0,64160800
400,4,4,1000,,0.0025,4,,2,0.5,0.0000,0.1153,6,,1,320800
400,8,8,10000,0.0001,0.0011,2,0.0003,2,0.5,0.0000,1.2811,1,0.2,6,1280000
100,8,2,45150.0,0.0001,0.0015,8,0.0002,2,0.75,0.0000,7.4098,26,0.6,4,60200
400,2,2,10000,0.0001,0.0014,4,0.0003,3,0.5,0.0000,2.3047,1,0.4,2,128000000
100,8,2,1000,0.0001,0.0013,4,0.0004,2,0.5,0.0000,0.2130,17,0.1,0,50300
100,8,4,10000,0.0001,0.0014,2,0.0003,3,0.5,0.0000,2.3821,21,0.8,9,2020400
400,4,8,100000,,1.0348,4,,3,0.5,0.0000,25.0412,1,,1,128160400
400,8,2,10000,0.0001,0.0014,2,0.0004,2,0.75,0.0000,2.2557,19,0.3,4,801200
200,8,8,1200.0,,0.2377,2,,1,0.25,0.0000,0.4011,1,,6,1600
200,8,4,1000,,0.1687,2,,1,0.25,0.0000,0.3043,5,,6,1600
200,8,8,100000,0.0000,0.0015,4,0.0003,3,0.5,0.0000,24.3406,17,1,5,24120400
400,4,4,1000,0.0001,0.0030,8,0.0018,3,0.25,0.0000,0.2233,6,0.5,5,192000400
200,8,8,10000,,0.0169,8,,2,0.75,0.0000,1.8631,20,,2,160800
100,8,8,10000,0.0001,0.0015,8,0.0003,2,0.75,0.0000,2.3387,4,0.8,2,50300
400,4,2,1000,,0.0027,4,,1,0.25,0.0000,0.0849,5,,8,1600
400,8,4,10000,0.0001,0.0016,2,0.0003,3,0.75,0.0000,2.4329,27,0.7,3,256161200
400,8,2,100000,0.0001,0.0016,4,0.0004,3,0.75,0.0000,19.3226,8,0.2,7,192480800
100,8,4,10000,0.0000,0.0016,2,0.0003,3,0.25,0.0000,2.0123,3,1,2,3030200
400,8,4,10000,0.0000,0.0013,2,0.0004,3,0.25,0.0000,1.6037,21,1,4,192480800
200,8,2,100000,0.0000,0.0032,8,0.0001,2,0.25,0.0000,19.2078,26,1,9,160800
200,8,8,1000,,0.0040,8,,2,0.25,0.0000,0.0864,4,,0,160800
400,8,8,1000,0.0001,0.0014,8,0.0003,2,0.5,0.0000,0.2014,20,0.1,5,801200
200,8,8,1000,0.0000,0.0012,8,0.0003,2,0.25,0.0000,0.1835,4,1,2,200600
200,4,4,600.0,,0.0036,2,,1,0.25,0.0000,0.0939,5,,9,800
400,8,8,100000,0.0000,0.0014,8,0.0002,2,0.5,0.0000,21.8019,20,1,3,801200
100,8,2,10000,0.0000,0.0015,4,0.0003,3,0.25,0.0000,1.7861,8,1,0,2030300
400,8,8,1000,0.0000,0.0089,4,0.0003,3,0.5,0.0000,0.2405,15,1,7,320160800
400,8,4,10000,0.0000,0.0013,4,0.0002,3,0.5,0.0000,2.2645,15,1,3,192161600
100,8,8,1000,,0.0049,2,,2,0.75,0.0000,0.1730,1,,6,80000
200,8,8,1200.0,,0.0032,8,,1,0.75,0.0000,0.1298,22,,4,1600
100,8,8,1000,,0.0029,2,,2,0.25,0.0000,0.1132,1,,7,40400
400,8,2,2400.0,,0.0033,4,,1,0.5,0.0000,0.2221,9,,3,3200
400,2,2,1000,0.0000,0.0011,4,0.0003,3,0.75,0.0000,0.1595,1,1,8,64160000
400,4,4,1000,0.0002,0.0018,2,0.0003,1,0.5,0.0000,0.0968,5,0.7,6,1600
100,8,4,100000,0.0000,0.0018,8,0.0003,3,0.5,0.0000,25.4093,1,1,2,4030100
100,8,4,30300.0,0.0000,0.0013,8,0.0001,2,0.5,0.0000,6.3977,9,1,2,40400
400,8,8,1000,,0.0062,2,,1,0.25,0.0000,0.0877,1,,9,3200
400,8,8,10000,,0.0211,4,,3,0.5,0.0000,1.6381,15,,1,192321200
400,8,2,1000,,0.0033,8,,2,0.5,0.0000,0.1955,26,,1,482000
400,8,8,1000,,0.0049,2,,1,0.5,0.0000,0.1011,5,,2,3200
400,8,8,1000,,0.0068,8,,2,0.25,0.0000,0.1541,4,,7,960800
400,8,8,1000,,0.0028,2,,1,0.25,0.0000,0.0850,5,,0,3200
100,8,4,1000,0.0001,0.0011,8,0.0003,3,0.5,0.0000,0.1466,1,0.3,8,5010200
100,4,4,1000,,0.0032,2,,2,0.75,0.0000,0.1409,0,,1,20200
400,8,8,2400.0,,0.0076,2,,1,0.75,0.0000,0.2514,1,,9,3200
200,8,8,1000,,0.0028,4,,3,0.25,0.0000,0.1205,17,,8,16160400
400,8,2,1000,0.0002,0.0018,2,0.0004,2,0.25,0.0000,0.1201,27,0.9,8,960800
200,8,4,60900.0,,0.0703,8,,2,0.5,0.0000,7.7004,8,,8,81200
200,4,4,1000,0.0001,0.0011,8,0.0003,3,0.5,0.0000,0.1419,6,0.8,0,16080000
200,8,2,1000,0.0000,0.0013,4,0.0003,3,0.25,0.0000,0.2004,15,1,3,24080600
200,4,8,1000,0.0000,0.0010,4,0.0002,3,0.25,0.0000,0.1262,1,1,0,16040200
400,8,2,100000,0.0000,0.0011,4,0.0001,2,0.25,0.0000,17.0093,17,1,0,801200
200,8,4,1200.0,,0.0034,4,,1,0.25,0.0000,0.1804,9,,8,1600
100,8,4,100000,0.0000,0.0014,2,0.0001,3,0.25,0.0000,14.4522,21,1,7,4010300
100,8,2,600.0,0.0000,0.0018,8,0.0002,1,0.25,0.0000,0.0560,6,1,1,800
400,4,4,1000,,0.0026,8,,2,0.5,0.0000,0.1203,4,,2,320800
100,8,4,10000,0.0000,0.0010,2,0.0002,3,0.5,0.0000,1.4599,3,1,6,3010400
400,8,2,10000,0.0001,0.0011,4,0.0003,3,0.25,0.0000,1.3203,8,0.4,9,192480800
100,8,2,10000,0.0001,0.0028,2,0.0003,3,0.75,0.0000,2.5566,22,0.9,9,3030200
100,8,2,10000,0.0001,0.0014,2,0.0005,2,0.5,0.0000,2.1370,19,0.4,6,50300
100,8,4,600.0,,0.0062,8,,1,0.25,0.0000,0.0882,3,,8,800
200,8,2,1200.0,,0.0035,4,,1,0.25,0.0000,0.1585,9,,3,1600
100,8,8,10000,,0.0270,8,,2,0.5,0.0000,2.0861,20,422.,0,40400
200,8,4,1000,0.0003,0.0028,8,0.0004,1,0.5,0.0000,0.1669,10,0.7,4,1600
200,8,8,90750.0,,38.7443,2,,2,0.75,0.0000,60.0002,1,,1,121000
100,8,8,600.0,,0.0032,4,,1,0.75,0.0000,0.1182,11,,9,800
400,4,8,100000,,1.6414,4,,3,0.75,0.0000,30.0658,1,,6,128000800
200,4,4,60300.0,0.0000,0.0014,2,0.0002,2,0.25,0.0000,10.8860,0,1,4,80400
400,8,4,1000,0.0001,0.0035,2,0.0003,3,0.75,0.0000,0.2200,21,0.5,6,192321200
400,4,8,100000,,0.6726,4,,3,0.75,0.0000,29.9288,1,,3,192000400
400,8,4,1000,0.0000,0.0012,2,0.0002,3,0.5,0.0000,0.1342,3,1,1,320320400
400,8,4,10000,0.0001,0.0014,4,0.0003,3,0.25,0.0000,2.1064,15,0.9,4,192480800
200,8,4,60900.0,,0.0824,8,,2,0.5,0.0000,8.5170,9,,0,81200
100,8,4,10000,0.0001,0.0016,4,0.0003,3,0.75,0.0000,2.6760,15,0.2,8,3010400
400,4,2,1200.0,0.0003,0.0030,4,0.0005,1,0.25,0.0000,0.2045,5,0.4,5,1600
100,8,2,10000,0.0001,0.0015,2,0.0004,3,0.5,0.0000,1.7637,28,0.2,1,3020300
400,8,2,2400.0,,0.0028,8,,1,0.75,0.0000,0.2516,6,,5,3200
400,8,4,1000,,0.0034,2,,3,0.25,0.0000,0.1637,27,,9,128481200
200,8,8,1000,0.0000,0.0028,4,0.0002,1,0.75,0.0000,0.1135,11,1,9,1600
200,8,8,1000,,0.0068,8,,2,0.75,0.0000,0.2486,20,,1,200600
100,8,2,30300.0,0.0001,0.0017,2,0.0003,2,0.5,0.0000,5.5557,19,0.6,8,40400
100,8,2,1000,0.0001,0.0012,4,0.0003,2,0.75,0.0000,0.1919,17,0.7,4,30500
400,8,8,1000,0.0001,0.0013,8,0.0003,2,0.25,0.0000,0.1685,4,0.7,9,960800
100,8,8,1000,0.0001,0.0016,4,0.0003,3,0.75,0.0000,0.2603,15,0.8,7,5010200
400,8,8,10000,,0.0328,8,,2,0.75,0.0000,1.7296,4,,3,960800
400,4,2,1000,0.0002,0.0018,4,0.0003,1,0.75,0.0000,0.1071,5,0.1,0,1600
400,4,2,1000,,0.0039,4,,1,0.25,0.0000,0.0858,5,,4,1600
100,8,4,600.0,,0.0033,4,,1,0.75,0.0000,0.1073,9,,6,800
400,8,8,1000,,0.0138,2,,2,0.75,0.0000,0.2187,1,,9,960800
100,2,4,1000,0.0003,0.0022,2,0.0006,2,0.25,0.0000,0.2713,0,0.2,6,10100
400,8,2,1000,0.0003,0.0036,2,0.0005,2,0.5,0.0000,0.1741,27,0.1,1,801200
100,8,8,100000,0.0001,0.0028,4,0.0005,3,0.75,0.0000,29.6827,17,0.6,0,5020100
200,8,4,1000,,0.0049,8,,2,0.25,0.0000,0.2857,9,,6,240400
100,8,2,1000,0.0000,0.0010,2,0.0002,2,0.25,0.0000,0.0946,19,1,7,50300
400,8,4,1000,0.0001,0.0018,8,0.0002,2,0.5,0.0000,0.1784,9,1,4,1120400
200,8,4,100000,,0.3186,8,,3,0.25,0.0000,24.5446,12,,9,16160400
100,8,4,600.0,,0.0057,4,,1,0.25,0.0000,0.0998,9,,0,800
100,8,4,10000,,0.0028,8,,2,0.25,0.0000,2.5795,8,,9,30500
200,8,2,1200.0,,0.0047,4,,1,0.25,0.0000,0.1492,9,,5,1600
100,8,4,100000,0.0000,0.0013,2,0.0002,3,0.5,0.0000,28.5528,3,1,2,3030200
100,8,4,600.0,,0.0042,2,,1,0.5,0.0000,0.0939,5,,1,800
200,8,8,1200.0,,0.0039,2,,1,0.25,0.0000,0.1522,1,,0,1600
100,8,4,600.0,,0.0082,8,,1,0.5,0.0000,0.1654,10,,9,800
400,4,4,10000,,0.0039,4,,2,0.5,0.0000,2.2015,6,,1,320800
200,8,4,100000,0.0000,0.0017,8,0.0002,3,0.5,0.0000,27.4467,1,1,1,16120600
100,2,2,1000,0.0001,0.0009,4,0.0002,3,0.75,0.0000,0.1428,1,0.4,9,1000100
100,4,4,10000,,0.0561,2,,2,0.25,0.0000,1.0856,0,,0,40000
400,8,8,10000,0.0001,0.0013,2,0.0002,2,0.75,0.0000,1.7739,1,0.2,4,960800
400,8,8,2400.0,0.0000,0.0022,8,0.0003,1,0.75,0.0000,0.4016,20,1,8,3200
200,8,4,1200.0,,0.0058,8,,1,0.75,0.0000,0.2087,10,,8,1600
400,2,4,1000,,0.0059,2,,2,0.75,0.0000,0.2042,0,,7,160400
400,8,2,10000,0.0000,0.0011,2,0.0002,3,0.5,0.0000,2.2586,28,1,9,256480400
400,8,4,2400.0,,0.0106,2,,1,0.5,0.0000,0.5835,5,,3,3200
200,8,8,1000,0.0001,0.0021,4,0.0004,3,0.5,0.0000,0.3783,17,1,9,24040800
400,8,2,10000,0.0000,0.0010,2,0.0002,2,0.25,0.0000,0.9994,19,1,7,801200
200,8,2,1000,0.0003,0.1412,4,0.0004,1,0.5,0.0000,0.2695,9,0.2,5,1600
200,8,2,1000,0.0001,0.0038,2,0.0004,2,0.75,0.0000,0.3377,19,1,3,200600
100,8,2,10000,0.0001,0.0010,2,0.0002,3,0.75,0.0000,1.7660,28,0.8,7,5020100
100,8,8,100000,0.0001,0.0053,4,0.0002,3,0.5,0.0000,27.0292,17,1,1,3020300
100,4,4,300.0,,0.0029,2,,1,0.5,0.0000,0.0423,5,,1,400
200,8,8,10000,0.0001,0.0019,4,0.0004,3,0.25,0.0000,2.3504,17,1,4,24120400
200,8,4,10000,0.0000,0.0033,8,0.0002,2,0.75,0.0000,1.7559,8,1,8,81200
200,2,4,1000,0.0004,0.0039,2,0.0007,2,0.75,0.0000,0.3471,0,0.1,5,40200
200,8,2,1000,0.0004,0.4797,8,0.0003,1,0.5,0.0000,0.7031,6,1,6,1600
400,8,8,1000,0.0004,0.5511,2,0.0003,1,0.75,0.0000,0.7135,5,0.1,6,3200
200,8,4,10000,0.0000,0.0013,2,0.0002,3,0.25,0.0000,2.6567,3,1,2,24120400
400,8,2,10000,,0.0064,2,,2,0.75,0.0000,2.5095,19,,5,641600
200,2,4,1000,0.0001,0.0014,2,0.0003,2,0.25,0.0000,0.1511,0,0.3,0,40200
100,2,2,1000,0.0001,0.0012,4,0.0003,3,0.75,0.0000,0.2394,1,0.5,4,1000100
200,8,4,10000,0.0001,0.0013,2,0.0003,3,0.75,0.0000,3.1478,3,0.3,6,24040800
400,8,8,2400.0,,0.0033,2,,1,0.75,0.0000,0.3719,5,,5,3200
400,4,4,10000,0.0000,0.0012,8,0.0002,2,0.25,0.0000,2.5105,4,1,1,640000
200,8,2,10000,0.0001,0.0022,2,0.0005,2,0.75,0.0000,2.3481,19,0.1,9,41400
200,4,4,60300.0,,0.3260,2,,2,0.75,0.0000,14.6707,0,,1,80400
200,8,4,1000,,0.0048,8,,2,0.75,0.0000,0.3444,8,,3,200600
200,8,2,100000,0.0001,0.0023,4,0.0002,2,0.25,0.0000,18.4935,17,1,5,160800
100,4,8,100000,0.0000,0.0015,4,0.0001,3,0.25,0.0000,23.3765,1,1,4,2010100
400,8,8,100000,0.2367,0.4963,2,0.2405,2,0.75,0.0000,20.4218,12,1,1,960800
200,8,4,1000,0.0001,0.0008,2,0.0002,3,0.75,0.0000,0.1373,3,0.5,0,24080600
100,8,4,10000,0.0000,0.0010,2,0.0002,3,0.75,0.0000,1.3123,27,1,9,2030300
100,8,4,10000,0.0001,0.0008,2,0.0002,2,0.75,0.0000,2.1117,16,1,8,70100
100,8,2,10000,0.0000,0.0009,4,0.0003,3,0.5,0.0000,1.2893,8,1,6,4010300
200,4,4,90150.0,0.0001,0.0014,2,0.0002,2,0.5,0.0000,19.1611,0,0.3,8,120200
100,8,4,1000,,0.0036,4,,3,0.25,0.0000,0.2262,15,,6,3020300
100,8,2,1000,0.0000,0.0039,2,0.0003,3,0.5,0.0001,0.1684,22,1,3,2020400
100,8,8,37725.0,0.0001,0.0013,8,0.0002,2,0.75,0.0000,8.5971,20,0.4,5,50300
400,8,8,2400.0,0.0000,0.0016,8,0.0002,1,0.25,0.0000,0.1658,20,1,4,3200
400,8,4,1000,,0.0093,8,,2,0.25,0.0000,0.1774,8,534.,3,801200
200,8,2,1000,,0.0050,4,,1,0.75,0.0000,0.1833,9,,4,1600
100,8,8,10000,0.0000,0.0013,2,0.0002,2,0.5,0.0000,2.7153,1,1,3,40400
100,2,4,1000,0.0000,0.0013,2,0.0003,2,0.25,0.0000,0.1780,0,1,0,10100
200,8,4,1000,0.0001,0.0036,4,0.0004,1,0.5,0.0000,0.1724,9,1,4,1600
400,8,2,100000,0.0001,0.0012,4,0.0002,2,0.75,0.0000,27.4203,17,0.5,2,801200
100,4,4,100000,0.0000,0.0035,8,0.0002,3,0.25,0.0000,28.1388,6,1,5,3000100
400,4,4,100000,,0.0069,8,,3,0.75,0.0000,27.8606,6,,3,64320400
100,8,4,100000,0.0001,0.0012,2,0.0003,3,0.75,0.0000,30.1163,21,0.6,4,3030200
400,8,8,1000,,0.0059,4,,1,0.25,0.0000,0.2262,11,,2,3200
400,8,4,1000,0.0001,0.0016,4,0.0004,3,0.75,0.0000,0.2283,15,0.7,4,192480800
200,4,4,90150.0,0.0000,0.0010,8,0.0001,2,0.25,0.0000,19.0748,4,1,6,120200
200,8,4,100000,0.0001,0.0012,2,0.0002,3,0.5,0.0000,28.1004,27,0.1,9,16120600
400,2,4,1000,0.0001,0.0011,2,0.0003,2,0.25,0.0000,0.1660,0,0.6,1,320000
400,8,4,2400.0,,0.0061,8,,1,0.75,0.0001,0.6656,10,,2,3200
200,4,4,100000,0.0000,0.0015,8,0.0002,3,0.25,0.0000,26.8080,6,1,6,16040200
100,8,8,10000,0.0001,0.0014,4,0.0003,3,0.75,0.0000,2.6980,17,0.6,5,3030200
400,8,8,1000,0.0001,0.0035,4,0.0004,3,0.25,0.0000,0.2743,15,1,6,128321600
100,8,8,600.0,,0.0047,8,,1,0.25,0.0000,0.1480,20,,7,800
100,8,2,10000,0.0008,0.0082,2,0.0015,3,0.5,0.0000,2.1815,22,0.505,1,3040100
200,8,2,1000,0.0002,0.0036,4,0.0004,1,0.25,0.0000,0.2269,9,1,2,1600
400,8,8,10000,0.0001,0.0014,8,0.0003,2,0.5,0.0000,1.7706,20,0.4,8,482000
100,4,8,100000,0.0000,0.0031,4,0.0002,3,0.75,0.0000,32.1566,1,1,5,2000200
100,8,4,600.0,0.0004,0.0039,2,0.0006,1,0.75,0.0000,0.1834,5,0.8,5,800
400,4,4,100000,,0.9920,4,,2,0.25,0.0000,20.1532,6,,8,161200
100,8,2,1000,0.0000,0.0012,4,0.0002,3,0.5,0.0000,0.2040,23,1,0,4020200
400,8,4,1000,,0.0022,8,,3,0.75,0.0000,0.1415,12,,8,256320800
100,4,8,1000,,0.0062,4,,3,0.25,0.0000,0.1249,1,,8,2010100
200,8,2,10000,0.0000,0.0016,4,0.0003,3,0.25,0.0000,1.9629,23,1,9,24040800
400,8,2,2400.0,0.0002,0.0024,4,0.0006,1,0.75,0.0000,0.2345,9,0.426,8,3200
100,8,2,10000,0.0001,0.0021,2,0.0004,3,0.25,0.0000,2.1451,22,1,8,4000400
400,8,2,1000,0.0003,0.0060,2,0.0009,3,0.75,0.0002,0.4845,28,0.9,7,320320400
100,8,4,600.0,0.0296,0.1066,4,0.0350,1,0.5,0.0000,0.2626,9,1,3,800
400,4,4,10000,0.0000,0.2096,4,0.0002,3,0.25,0.0000,2.2843,1,1,7,192000400
400,4,4,100000,0.0000,0.0027,4,0.0001,3,0.5,0.0000,25.8032,1,1,8,64320400
200,8,2,1000,0.0001,0.0012,2,0.0003,2,0.75,0.0000,0.1720,19,0.5,4,200600
400,8,8,1000,,0.0066,8,,1,0.75,0.0000,0.1731,22,,2,3200
100,8,2,10000,0.0001,0.0014,4,0.0003,3,0.75,0.0000,2.6722,15,0.9,6,3020300
100,2,2,10000,0.0001,0.0015,4,0.0005,3,0.25,0.0000,3.0071,1,0.9,5,1000100
200,8,8,10000,0.0001,0.0105,2,0.0016,3,0.75,0.0001,2.2474,23,1,7,24080600
400,8,2,10000,0.0002,0.0038,4,0.0003,3,0.25,0.0000,1.7349,23,0.4,8,192640400
100,4,4,15150.0,,0.0453,4,,2,0.25,0.0000,3.1756,6,,9,20200
400,2,4,10000,,0.0043,2,,2,0.25,0.0000,1.7611,0,,6,160400
100,8,2,1000,0.0000,0.0024,4,0.0003,3,0.75,0.0000,0.2492,8,1,1,3030200
400,8,2,10000,0.0000,0.0010,2,0.0002,3,0.5,0.0000,1.4711,22,1,8,256001600
100,4,4,10000,,0.0456,4,,2,0.75,0.0000,1.8023,6,,6,20200
400,8,8,2400.0,,0.0067,8,,1,0.75,0.0000,0.3970,15,,4,3200
200,8,8,100000,0.0000,0.0017,4,0.0002,3,0.5,0.0000,22.3355,17,1,9,24040800
200,4,4,1000,0.0001,0.0014,8,0.0003,3,0.75,0.0000,0.2730,6,0.4,2,24000200
400,8,8,100000,0.0000,0.0022,8,0.0003,2,0.75,0.0000,22.7954,4,1,9,960800
400,8,8,100000,0.0000,0.0015,4,0.0002,3,0.5,0.0000,24.3461,17,1,6,128481200
400,8,4,2400.0,,0.0124,8,,1,0.25,0.0000,0.3166,10,,9,3200
400,8,8,100000,0.0000,0.0016,4,0.0048,3,0.25,0.0000,23.1711,15,1,2,384000800
100,8,8,10000,0.0001,0.1317,4,0.0002,3,0.75,0.0000,2.9668,15,0.1,2,6000200
100,8,8,100000,0.0000,0.1901,2,0.1233,3,0.25,0.0000,23.4449,23,1,5,3030200
200,4,4,10000,0.0001,0.0017,4,0.0004,2,0.25,0.0000,1.8163,6,0.1,5,40600
200,8,8,1000,,0.0034,2,,1,0.25,0.0000,0.0900,1,,0,1600
200,8,8,100000,0.0000,0.0016,2,0.0002,2,0.5,0.0000,17.1749,12,1,3,160800
100,8,2,10000,,0.0319,8,,2,0.75,0.0000,2.3554,26,,1,30500
100,2,2,100000,0.0001,0.0022,4,0.0002,3,0.5,0.0000,26.1805,1,0.9,8,1010000
200,8,2,1000,0.0001,0.0013,2,0.0004,2,0.25,0.0000,0.1807,27,0.2,9,200600
400,8,4,100000,,0.1660,4,,3,0.25,0.0000,23.0346,15,,6,192321200
100,4,4,10000,0.0001,0.0015,4,0.0003,3,0.25,0.0000,2.1231,1,0.2,5,2010100
200,8,4,1000,,0.0026,2,,3,0.75,0.0000,0.1593,27,,5,32120200
100,4,4,100000,0.0000,0.0025,8,0.0002,3,0.25,0.0000,23.6833,6,1,6,2010100
100,4,8,100000,0.0001,0.0022,4,0.0003,3,0.75,0.0000,25.3550,1,0.1,4,2010100
100,8,2,10000,0.0000,0.0048,2,0.0003,2,0.25,0.0000,1.8783,19,1,2,50300
400,8,4,1000,,0.0043,8,,3,0.75,0.0000,0.2418,12,,9,128640800
400,4,4,10000,,0.0160,4,,2,0.75,0.0000,2.2372,6,,4,480400
400,8,4,10000,0.0001,0.0013,8,0.0003,2,0.25,0.0000,1.7412,8,1,3,801200
400,8,4,2400.0,0.0001,0.0045,8,0.0003,1,0.25,0.0000,0.3028,10,0.5,7,3200
100,4,4,10000,0.0001,0.0013,2,0.0003,2,0.75,0.0000,2.1119,0,0.1,1,20200
100,2,4,10000,,0.0667,2,,2,0.25,0.0000,1.9213,0,,3,20000
200,8,8,1000,0.0000,0.0026,4,0.0003,3,0.25,0.0000,0.1986,17,1,6,16120600
400,8,4,10000,,0.0369,2,,2,0.75,0.0000,2.1794,16,,1,641600
200,8,2,100000,0.0001,0.0015,4,0.0002,3,0.75,0.0000,25.3550,15,0.9,1,16120600
400,8,4,10000,0.0000,0.0016,8,0.0003,3,0.25,0.0000,1.7410,1,1,8,320160800
400,8,4,1000,,0.0051,8,,2,0.75,0.0000,0.2152,8,,6,801200
400,2,2,100000,0.0000,0.0015,4,0.0001,3,0.25,0.0000,22.5409,1,1,3,64160000
200,4,4,60300.0,,0.0750,4,,2,0.25,0.0000,7.0229,6,,9,80400
400,8,4,1000,0.0000,0.0010,4,0.0002,3,0.25,0.0000,0.1137,15,1,3,192161600
200,8,4,100000,0.0001,0.0010,2,0.0003,3,0.25,0.0000,13.9782,21,0.7,4,24120400
200,8,8,10000,0.0000,0.0010,8,0.0002,2,0.5,0.0000,1.2507,20,1,4,160800
200,8,8,1000,0.0000,0.0042,8,0.0002,2,0.75,0.0000,0.1337,4,1,6,121000
200,8,2,100000,0.0000,0.0014,4,0.0002,3,0.5,0.0000,23.1049,15,1,9,24200000
400,2,4,1000,0.0000,0.0013,2,0.0003,2,0.5,0.0000,0.2055,0,1,0,160400
400,4,4,100000,,1.7074,2,,2,0.75,0.0000,24.3333,0,,4,320800
400,8,8,1000,,0.0035,4,,1,0.5,0.0000,0.1741,11,,1,3200
400,8,4,100000,0.0002,0.0023,2,0.0004,3,0.5,0.0000,26.9968,3,0.5,9,256480400
200,8,2,1000,0.0005,0.0049,4,0.0009,2,0.5,0.0000,0.1754,17,0.8036,7,160800
400,4,8,100000,,1.7743,4,,3,0.5,0.0000,30.4515,1,,6,128000800
100,8,4,10000,0.0000,0.0019,8,0.0004,3,0.25,0.0000,2.0235,1,1,3,2030300
400,8,8,100000,0.0001,0.0017,8,0.0002,2,0.5,0.0000,24.4032,20,0.6,0,641600
400,8,2,100000,0.0000,0.0013,4,0.0001,3,0.5,0.0000,29.7360,15,1,8,256161200
200,4,4,10000,0.0000,0.0011,2,0.0002,2,0.25,0.0000,2.3140,0,1,9,80400
100,8,2,22875.0,0.0000,0.0013,4,0.0002,2,0.25,0.0000,4.5238,17,1,4,30500
200,8,8,10000,0.0001,0.0343,2,0.0002,2,0.25,0.0000,2.4324,1,0.3,1,121000
100,8,4,600.0,0.0003,0.0046,2,0.0009,1,0.75,0.0000,0.1074,5,0.248,4,800
100,8,4,10000,0.0001,0.0023,8,0.0004,3,0.25,0.0000,2.7406,1,1,6,1000700
200,8,4,10000,,0.0160,8,,3,0.25,0.0000,1.6594,1,,3,16120600
100,8,2,10000,0.0001,0.0012,4,0.0003,3,0.75,0.0000,2.6686,15,0.5,9,3050000
100,8,4,10000,,0.0112,2,,3,0.25,0.0000,2.4604,21,,3,3020300
100,8,8,10000,0.0001,0.0020,2,0.0005,3,0.75,0.0000,3.1256,23,0.3,3,6020000
200,8,8,1000,,59.8302,8,,2,0.5,0.0000,60.0003,4,,2,200600
200,8,2,1000,0.0000,0.0024,4,0.0003,3,0.25,0.0000,0.1637,8,1,1,24120400
100,8,2,45150.0,0.0002,0.0084,2,0.0005,2,0.75,0.0000,10.7048,19,0.3,1,60200
400,8,4,2400.0,,0.0049,8,,1,0.25,0.0000,0.2592,10,,0,3200
100,8,8,600.0,,0.0039,4,,1,0.25,0.0000,0.0767,11,,2,800
200,8,8,1000,0.0002,0.0032,8,0.0004,1,0.75,0.0000,0.1556,22,0.5,9,1600
400,8,8,100000,,32.8300,4,,3,0.25,0.0000,60.0002,15,,9,512000000
400,4,4,100000,0.0000,0.0013,4,0.0001,2,0.5,0.0000,23.6841,6,1,3,640000
200,8,4,100000,0.0002,0.0030,8,0.0004,3,0.75,0.0000,30.5730,12,0.3,1,32080400
400,8,8,1000,,0.0020,2,,2,0.5,0.0000,0.1732,12,,3,641600
100,4,4,1000,0.0000,0.0011,4,0.0003,3,0.25,0.0000,0.1169,1,1,9,2000200
400,8,8,1000,0.0000,0.0008,4,0.0002,3,0.25,0.0000,0.1285,17,1,7,192321200
100,8,2,1000,0.0001,0.0013,4,0.0003,3,0.25,0.0000,0.1876,23,0.1,0,4020200
100,8,4,100000,0.0001,0.0027,2,0.0005,3,0.5,0.0000,28.7878,21,0.8,4,3030200
400,8,2,100000,,0.0066,2,,3,0.25,0.0000,24.7388,28,,1,192321200
200,8,2,10000,0.0001,0.0019,4,0.0004,3,0.75,0.0000,2.0759,8,1,3,16160400
400,8,8,1000,,0.0093,8,,1,0.25,0.0000,0.2304,8,,4,3200
100,8,8,1000,,0.0047,2,,3,0.25,0.0000,0.1798,23,,8,4010300
200,8,4,10000,,0.0146,8,,3,0.5,0.0000,2.5752,12,,9,16160400
100,8,4,10000,0.0000,0.0013,4,0.0002,3,0.25,0.0000,2.1230,15,1,3,3010400
200,8,4,1000,0.0005,0.2931,8,0.0003,2,0.5,0.0000,0.6241,8,1,4,240400
100,8,2,52575.0,0.0002,0.0023,8,0.0004,2,0.75,0.0000,11.9130,26,0.6,5,70100
200,4,4,10000,0.0000,0.0022,4,0.0004,3,0.25,0.0000,2.1558,1,1,1,16080000
