domain.size,number.of.predicates,number.of.variables,number.of.facts,Cycle breaking,Grounding,maximum.number.of.nodes,Compiling SDDExplicit,maximum.arity,proportion.probabilistic,Propagating evidence,Total time,number.of.independent.pairs,answer,instance,universe.size
100,8,8,10000,,0.0068,4,,3,0.5,0.0000,1.4233,15,,2,6000200
100,4,4,100000,,4.0569,4,,3,0.25,0.0000,27.2074,1,,5,2010100
100,8,8,600.0,,0.0106,8,,1,0.5,0.0000,0.4015,8,,1,800
100,8,8,1000,,0.0042,2,,2,0.5,0.0000,0.3334,12,,2,50300
100,8,4,100000,0.0000,0.0011,8,0.0001,3,0.25,0.0000,28.4358,12,1,6,4020200
200,8,4,100000,0.0001,0.0016,2,0.0002,2,0.5,0.0000,21.1820,16,0.5,6,200600
200,4,8,100000,0.0000,0.0019,4,0.0002,3,0.25,0.0000,24.1460,1,1,6,16000400
400,2,4,1000,0.0001,0.0013,2,0.0004,2,0.75,0.0000,0.2159,0,0.1,6,160400
100,8,2,600.0,,0.0049,4,,1,0.25,0.0000,0.0952,9,,5,800
200,8,2,100000,0.0000,0.0012,4,0.0002,3,0.5,0.0000,17.9709,15,1,3,24080600
100,4,4,10000,0.0000,0.0011,8,0.0002,2,0.25,0.0000,0.9608,4,1,7,20200
400,2,4,100000,0.0000,0.0011,2,0.0001,2,0.25,0.0000,10.6842,0,1,0,160400
100,8,8,10000,0.0001,0.0009,4,0.0002,3,0.5,0.0000,1.3318,15,0.1,3,3020300
100,8,8,10000,0.0001,0.0016,4,0.0004,3,0.5,0.0000,1.9431,15,0.3,5,4000400
100,8,4,10000,0.0001,0.0013,8,0.0004,2,0.25,0.0000,1.8263,9,0.7,8,30500
400,8,2,2400.0,,0.0080,4,,1,0.5,0.0000,0.3691,9,,2,3200
400,8,2,1000,0.0000,0.0009,4,0.0002,3,0.25,0.0000,0.1540,15,1,6,192321200
200,4,8,100000,0.0001,0.0018,4,0.0003,3,0.5,0.0000,14.8997,1,0.3,4,16040200
400,8,4,100000,0.0000,0.0013,8,0.0002,2,0.25,0.0000,19.5827,8,1,6,801200
400,8,2,1000,0.0002,0.0035,8,0.0004,1,0.75,0.0000,0.1821,6,0.9,7,3200
400,8,8,2400.0,0.0000,0.0016,8,0.0002,1,0.5,0.0000,0.1968,22,1,3,3200
200,8,4,1000,,0.0029,2,,2,0.5,0.0000,0.1056,16,,7,160800
200,8,8,1200.0,,0.0041,4,,1,0.5,0.0000,0.1063,11,,2,1600
400,8,2,1000,,0.0043,4,,1,0.25,0.0000,0.0813,9,,7,3200
400,4,4,10000,,0.0083,2,,2,0.25,0.0000,1.0884,0,,0,640000
100,8,2,1000,0.0001,0.0010,2,0.0003,3,0.75,0.0000,0.1282,22,0.7,3,2020400
400,4,4,10000,,0.0061,8,,2,0.75,0.0000,1.2439,4,,9,320800
400,4,4,100000,0.0000,0.0024,8,0.0003,3,0.25,0.0000,13.8874,6,1,2,192000400
400,8,4,2400.0,,0.0041,8,,1,0.5,0.0000,0.1778,10,,7,3200
400,8,4,100000,,0.0993,2,,3,0.75,0.0000,26.0235,27,,6,256161200
200,4,4,1000,0.0000,0.0014,4,0.0003,3,0.25,0.0000,0.2199,1,1,5,16040200
200,8,4,1000,0.0000,0.0013,4,0.0003,3,0.5,0.0000,0.2353,15,1,5,32080400
100,8,4,10000,0.0000,0.0013,4,0.0002,3,0.5,0.0000,2.3306,15,1,2,4030100
400,8,2,100000,0.0000,0.0009,2,0.0001,2,0.75,0.0000,17.1099,19,1,3,801200
400,8,2,1000,,0.0040,8,,1,0.25,0.0000,0.0745,6,,0,3200
