maximum.number.of.nodes,number.of.variables,number.of.independent.pairs,domain.size,number.of.facts,universe.size,Propagating evidence,Grounding,DSharp compilation,proportion.probabilistic,instance,Cycle breaking,Clark's completion,answer,number.of.predicates,maximum.arity,Total time
4,2,8,200,100000,32040600,0.0000,0.0014,0.0004,0.5,6,0.0000,0.0000,1,8,3,19.8849
8,8,22,100,600.0,800,0.0000,59.9485,,0.5,2,,,,8,1,60.0002
4,8,17,100,10000,3010400,0.0000,0.0013,0.0004,0.5,9,0.0001,0.0000,0.3,8,3,1.5069
8,4,9,200,10000,160800,0.0000,20.8333,,0.5,5,38.0157,,,8,2,60.0015
8,4,4,100,10000,30100,0.0000,0.0016,0.0006,0.5,8,0.0001,0.0000,0.7,4,2,3.2936
8,4,1,100,1000,3000500,0.0000,0.0049,,0.5,9,,,,8,3,0.2511
2,4,16,400,10000,641600,0.0001,0.0048,0.0005,0.25,5,0.0000,0.0000,1,8,2,2.2691
2,2,27,400,10000,801200,0.0000,0.0054,0.0057,0.5,4,0.0011,0.0005,0.9,8,2,5.2554
8,8,22,400,2400.0,3200,0.0001,0.0163,,0.5,8,,,,8,1,1.1323
4,4,9,200,1200.0,1600,0.0000,0.0188,,0.75,4,,,,8,1,0.9830
4,2,15,100,10000,3020300,0.0002,0.0092,0.0009,0.75,3,0.0006,0.0003,0.2,8,3,7.9965
4,2,15,200,10000,24200000,0.0000,0.0100,0.0014,0.5,9,0.0009,0.0003,0.3,8,3,7.6228
4,4,1,400,10000,192000400,0.0009,0.0051,0.0009,0.75,7,0.0010,0.0003,0.4,4,3,6.1548
2,4,5,400,1000,3200,0.0000,0.0169,,0.25,0,,,,8,1,0.6862
8,8,8,200,1000,1600,0.0000,0.0160,,0.75,5,,,,8,1,0.5522
4,2,8,100,1000,2030300,0.0000,0.0015,0.0005,0.25,4,0.0000,0.0000,1,8,3,0.2530
4,8,1,400,10000,128160400,0.0000,0.0049,,0.25,4,,,,4,3,2.4307
2,8,23,100,100000,6010100,0.0000,0.0505,,0.5,6,,,,8,3,23.2509
4,4,6,200,60300.0,80400,0.0000,0.1335,,0.5,9,,,,4,2,15.6989
2,8,12,100,1000,30500,0.0000,0.0060,0.0006,0.75,0,0.0001,0.0000,1,8,2,0.3438
8,4,10,400,2400.0,3200,0.0000,0.0030,,0.5,8,,,,8,1,0.2873
4,8,15,100,10000,6000200,0.0000,0.0088,,0.5,2,,,,8,3,2.7046
4,4,1,100,100000,2010100,0.0000,3.8974,,0.25,5,,,,4,3,27.0552
8,8,8,100,600.0,800,0.0002,0.0122,,0.5,1,,,,8,1,0.1413
2,8,12,100,1000,50300,0.0001,0.0035,,0.5,2,,,,8,2,0.6827
8,4,12,100,100000,4020200,0.0000,0.0014,0.0004,0.25,6,0.0000,0.0000,1,8,3,21.8292
2,4,16,200,100000,200600,0.0000,0.0016,0.0005,0.5,6,0.0001,0.0000,0.5,8,2,22.4980
4,8,1,200,100000,16000400,0.0000,0.0019,0.0005,0.25,6,0.0000,0.0000,1,4,3,23.9128
2,4,0,400,1000,160400,0.0000,0.0013,0.0005,0.75,6,0.0001,0.0000,0.1,2,2,0.2191
4,2,9,100,600.0,800,0.0000,0.0046,,0.25,5,,,,8,1,0.0927
4,2,15,200,100000,24080600,0.0000,0.0016,0.0004,0.5,3,0.0000,0.0000,1,8,3,18.0011
8,4,4,100,10000,20200,0.0000,0.0014,0.0004,0.25,7,0.0000,0.0000,1,4,2,2.0317
2,4,0,400,100000,160400,0.0000,0.0011,0.0004,0.25,0,0.0000,0.0000,1,2,2,13.7174
4,8,15,100,10000,3020300,0.0000,0.0010,0.0004,0.5,3,0.0001,0.0000,0.1,8,3,1.3239
4,8,15,100,10000,4000400,0.0000,0.0011,0.0004,0.5,5,0.0001,0.0000,0.3,8,3,1.4062
8,4,9,100,10000,30500,0.0000,0.0010,0.0004,0.25,8,0.0001,0.0000,0.7,8,2,0.9888
4,2,9,400,2400.0,3200,0.0000,0.0052,,0.5,2,,,,8,1,0.2027
4,2,15,400,1000,192321200,0.0000,0.0009,0.0003,0.25,6,0.0000,0.0000,1,8,3,0.1186
4,8,1,200,100000,16040200,0.0000,0.0019,0.0005,0.5,4,0.0001,0.0000,0.3,4,3,14.7605
8,4,8,400,100000,801200,0.0000,0.0015,0.0005,0.25,6,0.0000,0.0000,1,8,2,15.7668
8,2,6,400,1000,3200,0.0000,0.0043,0.0006,0.75,7,0.0002,0.0000,0.9,8,1,0.1745
8,8,22,400,2400.0,3200,0.0000,0.0024,0.0005,0.5,3,0.0001,0.0000,1,8,1,0.3799
2,4,16,200,1000,160800,0.0000,0.0032,,0.5,7,,,,8,2,0.1100
4,8,11,200,1200.0,1600,0.0000,0.0042,,0.5,2,,,,8,1,0.1130
4,2,9,400,1000,3200,0.0000,0.0042,,0.25,7,,,,8,1,0.0790
2,4,0,400,10000,640000,0.0000,0.0084,,0.25,0,,,,4,2,1.5633
2,2,22,100,1000,2020400,0.0000,0.0009,0.0004,0.75,3,0.0001,0.0000,0.7,8,3,0.1231
8,4,4,400,10000,320800,0.0000,0.0069,,0.75,9,,,,4,2,1.3068
8,4,6,400,100000,192000400,0.0000,0.0033,0.0005,0.25,2,0.0000,0.0000,1,4,3,20.6221
8,4,10,400,2400.0,3200,0.0000,0.0070,,0.5,7,,,,8,1,0.3995
2,4,27,400,100000,256161200,0.0000,0.1521,,0.75,6,,,,8,3,25.0435
4,4,1,200,1000,16040200,0.0000,0.0083,0.0007,0.25,5,0.0001,0.0001,1,4,3,0.4673
4,4,15,200,1000,32080400,0.0000,0.0017,0.0025,0.5,5,0.0000,0.0000,1,8,3,0.3987
4,4,15,100,10000,4030100,0.0000,0.0063,0.0007,0.5,2,0.0002,0.0001,1,8,3,1.9800
2,2,19,400,100000,801200,0.0000,0.0009,0.0003,0.75,3,0.0000,0.0000,1,8,2,21.1840
8,2,6,400,1000,3200,0.0000,0.0064,,0.25,0,,,,8,1,0.1500
2,2,28,400,10000,384320000,0.0000,0.0015,0.0004,0.5,6,0.0000,0.0000,1,8,3,2.4952
4,2,9,100,600.0,800,0.0000,0.0032,,0.75,0,,,,8,1,0.1089
8,4,3,100,600.0,800,0.0000,0.0054,,0.75,4,,,,8,1,0.1223
2,2,19,100,37725.0,50300,0.0000,0.0015,0.0005,0.75,7,0.0001,0.0000,0.3,8,2,8.8717
2,4,0,400,1000,320000,0.0000,0.0079,,0.5,8,,,,2,2,0.2138
2,4,3,100,1000,2050100,0.0000,0.0032,0.0005,0.75,7,0.0000,0.0000,1,8,3,0.2477
2,4,27,100,100000,4010300,0.0000,0.0013,0.0004,0.75,3,0.0000,0.0000,1,8,3,27.6227
2,8,23,200,10000,48080000,0.0000,0.0018,0.0005,0.75,3,0.0000,0.0000,1,8,3,2.9348
4,8,17,200,100000,24080600,0.0000,0.0043,0.0407,0.5,1,0.0003,0.0001,0.956,8,3,27.0208
4,4,1,400,1000,192000400,0.0000,0.0077,0.0003,0.75,7,0.0000,0.0000,1,4,3,0.1498
2,8,1,400,2400.0,3200,0.0000,0.0040,,0.75,3,,,,8,1,0.1913
8,4,1,200,10000,24200000,0.0000,0.0195,,0.75,5,,,,8,3,2.5696
2,4,21,100,10000,4010300,0.0000,0.0030,0.0038,0.25,2,0.0004,0.0004,0.8,8,3,2.4490
8,4,9,200,100000,160800,0.0000,0.0017,0.0005,0.5,2,0.0001,0.0000,0.7,8,2,23.9269
4,4,9,400,1000,3200,0.0000,0.0070,,0.5,2,,,829.,8,1,0.1719
2,8,5,400,2400.0,3200,0.0001,0.0059,,0.75,1,,,,8,1,0.4340
4,2,1,200,1000,8000200,0.0000,0.0014,0.0005,0.25,9,0.0000,0.0000,1,2,3,0.2390
4,2,15,100,10000,2030300,0.0000,0.0017,0.0005,0.5,2,0.0000,0.0000,1,8,3,2.3726
2,8,12,200,10000,240400,0.0000,0.0015,0.0005,0.25,7,0.0001,0.0000,0.6,8,2,2.0360
4,8,17,100,10000,3030200,0.0000,0.0057,,0.5,4,,,,8,3,1.8900
4,2,17,200,10000,160800,0.0000,0.0024,0.0004,0.75,9,0.0000,0.0000,1,8,2,1.4298
4,8,1,100,1000,2010100,0.0000,0.0017,0.0008,0.5,4,0.0001,0.0000,0.9,4,3,0.1796
8,8,22,200,1200.0,1600,0.0000,0.0017,0.0004,0.75,6,0.0002,0.0000,0.7,8,1,0.1180
4,2,1,100,10000,1010000,0.0001,0.0031,0.0008,0.75,1,0.0001,0.0000,0.6,2,3,3.2250
4,2,12,100,600.0,800,0.0000,0.0018,0.0004,0.5,7,0.0000,0.0000,1,8,1,0.1003
8,4,12,100,1000,4020200,0.0000,0.0033,0.0004,0.5,1,0.0000,0.0000,1,8,3,0.2358
4,8,15,100,10000,4020200,0.0000,0.0010,0.0003,0.75,8,0.0000,0.0000,1,8,3,1.6452
4,8,11,200,1200.0,1600,0.0000,59.9041,,0.25,5,,,,8,1,60.0003
2,2,19,100,10000,50300,0.0000,0.0009,0.0003,0.75,4,0.0000,0.0000,1,8,2,1.5725
2,8,1,200,1200.0,1600,0.0000,0.1990,,0.25,1,,,,8,1,0.3385
4,2,9,400,2400.0,3200,0.0000,59.5874,,0.75,7,,,,8,1,60.0002
8,8,4,200,10000,240400,0.0000,0.0201,,0.75,5,,,,8,2,2.2996
2,2,28,100,10000,3030200,0.0000,0.0008,0.0003,0.5,0,0.0000,0.0000,0.2,8,3,3.1924
8,4,1,400,100000,128481200,0.0000,0.0116,,0.25,1,,,,8,3,22.5989
8,8,20,400,10000,322400,0.0000,0.0155,,0.25,9,,,,8,2,2.0089
4,8,17,100,10000,5020100,0.0000,0.0021,0.0111,0.5,0,0.0003,0.0001,0.28,8,3,2.2255
2,2,28,100,100000,3010400,0.0000,0.0019,0.0004,0.75,8,0.0001,0.0000,0.3,8,3,30.1845
4,4,15,100,100000,5020100,0.0000,0.0014,0.0004,0.75,7,0.0000,0.0000,1,8,3,31.2371
