maximum.number.of.nodes,number.of.variables,number.of.independent.pairs,domain.size,number.of.facts,universe.size,Propagating evidence,Grounding,DSharp compilation,proportion.probabilistic,instance,Cycle breaking,Clark's completion,answer,number.of.predicates,maximum.arity,Total time
8,8,4,200,10000,160800,0.0000,0.0009,0.0004,0.5,4,0.0001,0.0000,0.2,8,2,1.1481
2,2,19,200,10000,41400,0.0000,0.3505,0.0005,0.25,9,0.0003,0.0000,0.3,8,2,1.6888
8,4,10,400,1000,3200,0.0000,0.0076,,0.25,9,,,,8,1,0.1488
8,4,8,400,1000,482000,0.0000,0.0013,0.0004,0.5,2,0.0000,0.0000,1,8,2,0.1811
4,2,9,400,1000,3200,0.0000,0.0048,0.0006,0.75,7,0.0003,0.0001,0.4,8,1,0.1858
2,4,21,100,100000,4040000,0.0000,0.0011,0.0003,0.25,0,0.0000,0.0000,1,8,3,22.1234
4,2,8,200,10000,24120400,0.0000,0.0015,0.0005,0.25,7,0.0000,0.0000,1,8,3,2.1387
2,8,12,200,10000,160800,0.0000,0.0009,0.0003,0.5,5,0.0000,0.0000,1,8,2,1.3051
4,2,5,200,600.0,800,0.0000,0.0017,0.0004,0.75,2,0.0000,0.0000,1,4,1,0.0664
2,4,27,400,10000,256320800,0.0000,0.0010,0.0004,0.5,8,0.0001,0.0000,0.8,8,3,1.3386
4,2,15,400,100000,128481200,0.0000,0.0025,0.0006,0.75,2,0.0001,0.0000,0.8,8,3,15.2490
8,4,1,200,1000,16120600,0.0000,0.0008,0.0003,0.5,3,0.0001,0.0000,0.3,8,3,0.1048
2,2,22,400,10000,64481600,0.0000,0.0010,0.0004,0.75,5,0.0001,0.0000,0.8,8,3,1.3337
2,4,0,100,10000,20200,0.0000,0.0025,0.0003,0.5,5,0.0000,0.0000,1,4,2,1.2049
4,8,15,400,100000,256480400,0.0000,0.1109,,0.75,0,,,,8,3,17.4066
4,4,15,400,100000,192161600,0.0000,0.0015,0.0005,0.75,3,0.0001,0.0000,0.3,8,3,27.5784
2,8,23,400,10000,192002000,0.0000,0.0013,0.0005,0.75,0,0.0001,0.0000,0.9,8,3,2.3651
8,4,9,100,10000,40400,0.0000,0.1309,,0.75,3,,,,8,2,2.1974
2,8,1,100,1000,30500,0.0000,0.0024,0.0005,0.5,0,0.0002,0.0000,0.7,8,2,0.1753
2,8,12,100,10000,40400,0.0000,0.0592,,0.25,5,,,,8,2,1.7050
2,8,12,200,10000,160800,0.0000,0.0013,0.0004,0.25,4,0.0000,0.0000,1,8,2,1.6724
2,2,27,200,1000,240400,0.0000,0.0013,0.0004,0.25,5,0.0000,0.0000,1,8,2,0.1739
2,8,23,200,100000,24001000,0.0000,0.0012,0.0003,0.5,0,0.0000,0.0000,1,8,3,19.6135
8,8,20,400,2400.0,3200,0.0000,0.0031,,0.25,2,,,,8,1,0.1807
8,4,6,200,10000,24000200,0.0000,0.0011,0.0004,0.25,2,0.0001,0.0000,0.4,4,3,1.3207
4,8,17,100,10000,5020100,0.0000,0.0011,0.0003,0.25,0,0.0000,0.0000,1,8,3,1.2645
4,2,9,200,1000,1600,0.0000,0.0032,,0.25,1,,,719.,8,1,0.0816
8,2,26,100,1000,50300,0.0000,0.0009,0.0003,0.25,2,0.0000,0.0000,1,8,2,0.1080
8,4,8,100,10000,50300,0.0000,0.0374,,0.25,0,,,,8,2,1.0482
4,2,8,200,100000,24120400,0.0000,0.0015,0.0004,0.25,9,0.0000,0.0001,1,8,3,12.9977
2,4,0,100,15150.0,20200,0.0000,0.0027,,0.25,9,,,,4,2,1.5593
8,4,4,100,10000,30100,0.0000,0.5815,0.0004,0.75,6,0.0009,0.0000,0.1,4,2,1.8415
2,4,0,100,1000,10100,0.0000,0.0046,,0.5,7,,,,2,2,0.1169
4,4,6,400,10000,320800,0.0000,0.0009,0.0003,0.25,9,0.0000,0.0000,1,4,2,1.3420
4,8,17,400,100000,192480800,0.0000,0.0011,0.0004,0.5,5,0.0001,0.0000,0.1,8,3,14.2689
8,4,10,100,600.0,800,0.0000,0.0044,,0.75,7,,,,8,1,0.1143
8,2,26,200,10000,240400,0.0000,0.0014,0.0004,0.25,4,0.0000,0.0000,1,8,2,1.8998
8,2,6,100,600.0,800,0.0000,0.0054,,0.25,8,,,,8,1,0.0946
2,2,19,400,10000,482000,0.0000,0.0013,0.0004,0.5,0,0.0000,0.0000,1,8,2,1.9874
4,4,9,200,1000,1600,0.0000,0.0079,,0.75,6,,,,8,1,0.1841
2,2,27,100,45150.0,60200,0.0000,0.0009,0.0003,0.25,6,0.0000,0.0000,1,8,2,5.8350
8,8,8,200,1000,1600,0.0000,0.0027,,0.25,9,,,,8,1,0.0827
4,2,8,400,1000,192161600,0.0000,0.0030,0.0004,0.5,2,0.0002,0.0000,0.9,8,3,0.1184
8,8,22,200,1000,1600,0.0000,0.0035,0.0004,0.75,5,0.0000,0.0000,1,8,1,0.1037
4,2,12,400,1000,3200,0.0000,0.0023,,0.25,6,,,,8,1,0.0803
8,4,8,100,1000,50300,0.0000,0.0010,0.0004,0.25,0,0.0001,0.0000,0.9,8,2,0.1047
2,4,5,200,600.0,800,0.0000,0.0021,,0.75,2,,,,4,1,0.0633
4,2,17,100,1000,40400,0.0000,0.0018,0.0004,0.25,8,0.0000,0.0000,1,8,2,0.1036
8,2,26,400,1000,960800,0.0000,0.0017,0.0003,0.25,8,0.0000,0.0000,1,8,2,0.1069
8,8,20,100,10000,50300,0.0000,0.0140,,0.5,5,,,,8,2,1.1954
2,8,23,100,1000,3030200,0.0000,0.0012,0.0004,0.5,5,0.0001,0.0000,0.2,8,3,0.1282
8,2,6,100,600.0,800,0.0000,0.0057,0.0004,0.25,3,0.0000,0.0000,1,8,1,0.0602
8,4,6,200,1000,8040400,0.0000,0.0016,0.0003,0.75,9,0.0001,0.0000,1,4,3,0.1338
8,8,22,400,2400.0,3200,0.0000,0.0018,0.0004,0.75,6,0.0002,0.0000,0.2,8,1,0.2384
4,4,6,400,10000,161200,0.0000,0.0010,0.0004,0.5,5,0.0001,0.0000,0.1,4,2,1.1553
8,8,22,200,1200.0,1600,0.0000,0.1240,0.0003,0.5,6,0.0001,0.0000,1,8,1,0.2372
2,4,3,100,100000,3020300,0.0001,0.0019,0.0005,0.75,0,0.0002,0.0000,0.1,8,3,21.0976
8,8,20,200,1200.0,1600,0.0000,0.0035,,0.5,6,,,,8,1,0.1964
4,4,15,100,100000,4030100,0.0000,0.0011,0.0003,0.5,2,0.0000,0.0000,1,8,3,22.5305
8,4,9,100,45150.0,60200,0.0000,0.0016,0.0005,0.25,1,0.0000,0.0000,1,8,2,6.0900
2,4,21,400,10000,128162000,0.0000,0.0027,0.0005,0.25,5,0.0000,0.0000,1,8,3,2.0689
8,2,26,200,10000,280200,0.0000,0.0030,0.0006,0.25,5,0.0000,0.0000,1,8,2,1.9006
2,4,0,400,10000,320800,0.0000,0.0213,,0.75,1,,,,4,2,2.0794
4,2,9,200,1200.0,1600,0.0000,0.9577,0.0004,0.25,9,0.0006,0.0000,1,8,1,1.1024
2,4,16,200,100000,280200,0.0000,0.0682,,0.25,8,,,,8,2,15.8484
4,8,11,100,600.0,800,0.0000,0.0035,,0.75,2,,,,8,1,0.0674
2,4,5,200,600.0,800,0.0000,0.0037,,0.25,3,,,,4,1,0.0534
2,4,0,200,10000,40200,0.0000,0.0014,0.0005,0.25,2,0.0000,0.0000,1,2,2,1.8725
8,4,9,400,1000,641600,0.0000,0.1740,,0.75,3,,,,8,2,0.3852
8,4,12,100,1000,3030200,0.0000,0.0039,,0.75,0,,,,8,3,0.2530
4,2,15,100,1000,3020300,0.0000,0.0015,0.0005,0.75,6,0.0001,0.0000,0.4,8,3,0.2533
2,4,16,200,1000,200600,0.0000,0.0040,,0.5,0,,,,8,2,0.1876
2,4,0,400,1000,320800,0.0000,0.0032,0.0004,0.75,6,0.0000,0.0000,1,4,2,0.2152
2,4,5,200,1200.0,1600,0.0000,0.0055,,0.75,6,,,,8,1,0.2150
2,4,3,200,10000,40040400,0.0000,0.0181,,0.5,5,,,,8,3,1.8666
2,8,1,400,1000,960800,0.0000,0.0915,0.1273,0.75,4,0.0465,0.0393,1,8,2,0.6812
4,4,15,400,100000,192161600,0.0000,0.0013,0.0004,0.5,3,0.0000,0.0000,1,8,3,24.5563
2,4,0,400,1000,160400,0.0000,0.0052,0.0004,0.25,9,0.0000,0.0000,1,2,2,0.1782
2,4,5,400,1200.0,1600,0.0000,0.0024,0.0005,0.75,4,0.0000,0.0000,1,4,1,0.1986
4,2,17,400,1000,641600,0.0000,0.0009,0.0003,0.75,8,0.0000,0.0000,1,8,2,0.0990
2,2,27,400,100000,960800,0.0000,0.0028,0.0006,0.75,5,0.0003,0.0000,0.9,8,2,22.3961
8,4,12,200,1000,24120400,0.0000,0.0035,0.0006,0.75,0,0.0001,0.0000,0.9,8,3,0.2502
2,4,0,100,1000,30100,0.0000,0.0009,0.0003,0.25,2,0.0000,0.0000,1,4,2,0.2778
4,2,15,400,10000,384000800,0.0000,0.0012,0.0004,0.5,5,0.0001,0.0000,0.8,8,3,1.3799
2,4,27,100,100000,1030400,0.0000,0.0036,0.0005,0.25,4,0.0000,0.0000,1,8,3,24.6630
4,2,9,200,1200.0,1600,0.0000,0.0624,,0.75,7,,,,8,1,0.2839
4,2,5,400,1000,1600,0.0000,0.0039,0.0143,0.75,5,0.0004,0.0001,0.496,4,1,0.1883
8,4,1,100,10000,4020200,0.0000,0.0013,0.0004,0.25,0,0.0000,0.0000,1,8,3,2.1364
4,2,1,200,10000,8040000,0.0000,0.0017,0.0006,0.5,0,0.0000,0.0000,1,2,3,2.8690
2,2,27,400,100000,960800,0.0000,0.0011,0.0004,0.5,6,0.0001,0.0000,0.3,8,2,16.4279
8,8,20,400,2400.0,3200,0.0000,0.0024,,0.5,2,,,,8,1,0.2038
2,4,0,400,1000,160400,0.0000,0.0035,0.0108,0.75,9,0.0003,0.0001,0.296,2,2,0.1396
4,2,23,200,10000,24160200,0.0000,0.0010,0.0019,0.5,8,0.0001,0.0000,0.9,8,3,1.3158
8,4,6,100,100000,2020000,0.0000,0.0019,0.0005,0.75,1,0.0000,0.0000,1,4,3,28.4460
8,4,4,400,10000,320800,0.0000,0.6766,0.0004,0.25,5,0.0003,0.0000,0.5,4,2,2.3511
8,8,22,400,1000,3200,0.0000,0.0028,,0.25,1,,,,8,1,0.0808
2,2,22,200,1000,32040600,0.0000,0.0009,0.0003,0.25,2,0.0000,0.0000,1,8,3,0.1090
8,4,1,100,100000,2030300,0.0000,0.1618,,0.25,1,,,,8,3,24.3134
2,2,22,200,10000,32040600,0.0000,0.0016,0.0006,0.25,2,0.0000,0.0000,1,8,3,1.4712
4,2,8,400,10000,448000400,0.0000,0.0016,0.0005,0.25,5,0.0001,0.0000,0.1,8,3,2.0173
4,2,17,200,10000,200600,0.0001,0.0017,0.0005,0.25,2,0.0002,0.0000,0.8,8,2,1.9860
2,2,19,400,1000,801200,0.0000,0.0016,0.0004,0.25,3,0.0000,0.0000,1,8,2,0.1825
2,4,16,200,100000,160800,0.0000,0.0009,0.0003,0.25,5,0.0000,0.0000,1,8,2,16.4238
8,8,8,200,1000,1600,0.0000,0.0049,,0.75,7,,,,8,1,0.0842
4,8,11,400,1000,3200,0.0000,0.0016,0.0004,0.25,9,0.0002,0.0000,0.4,8,1,0.0766
4,4,6,200,1000,120200,0.0000,0.0026,,0.25,4,,,,4,2,0.1037
2,8,1,200,10000,121000,0.0000,0.0011,0.0004,0.5,1,0.0001,0.0000,0.8,8,2,1.1180
4,4,6,200,1000,40600,0.0000,0.0038,,0.75,8,,,,4,2,0.1483
8,4,4,100,10000,30100,0.0000,0.0102,,0.5,4,,,,4,2,1.6375
4,4,6,200,1000,120200,0.0000,0.0010,0.0004,0.75,7,0.0000,0.0000,1,4,2,0.1231
2,2,22,100,1000,1030400,0.0000,0.0009,0.0003,0.25,5,0.0000,0.0000,1,8,3,0.1035
2,4,0,100,10000,30100,0.0000,0.0373,,0.5,2,,,,4,2,1.8330
2,4,0,100,7575.0,10100,0.0000,0.2156,0.1641,0.5,5,0.0727,0.0557,1,2,2,2.2717
4,2,8,100,1000,3020300,0.0000,0.2379,0.1319,0.75,8,0.0850,0.0556,1,8,3,0.9657
2,2,22,100,1000,3030200,0.0000,0.0026,0.0005,0.25,9,0.0000,0.0000,1,8,3,0.2051
8,8,22,200,1000,1600,0.0000,0.0055,,0.25,9,,,,8,1,0.1523
8,8,15,400,2400.0,3200,0.0000,0.0023,0.0005,0.5,2,0.0000,0.0000,1,8,1,0.3760
2,4,21,400,1000,192321200,0.0002,0.0267,,0.25,3,,,,8,3,0.3257
8,4,8,200,10000,240400,0.0000,0.0015,0.0006,0.75,4,0.0001,0.0000,0.7,8,2,2.2550
2,8,12,200,100000,240400,0.0000,0.9250,,0.75,1,,,,8,2,24.0659
8,4,12,100,100000,2040200,0.0000,0.0017,0.0004,0.75,9,0.0001,0.0000,0.7,8,3,54.2765
4,4,1,200,100000,8080200,0.0000,0.0010,0.0005,0.75,8,0.0000,0.0000,1,4,3,23.1794
2,4,5,400,1000,1600,0.0002,0.0053,0.0005,0.25,2,0.0002,0.0000,0.5,4,1,0.0796
8,4,12,400,10000,128321600,0.0000,0.0022,0.0005,0.5,2,0.0001,0.0000,0.8,8,3,2.2636
8,2,26,400,10000,801200,0.0000,0.0015,0.0006,0.75,2,0.0001,0.0000,0.8,8,2,2.2552
8,4,3,100,600.0,800,0.0000,0.0046,,0.25,5,,,,8,1,0.1277
4,2,12,400,2400.0,3200,0.0000,0.0017,0.0003,0.75,2,0.0000,0.0000,1,8,1,0.2161
8,4,1,200,1000,40040400,0.0000,0.0009,0.0003,0.75,8,0.0001,0.0000,0.9,8,3,0.1607
4,2,15,200,1000,32040600,0.0000,0.0039,0.0087,0.75,4,0.0011,0.0001,0.912,8,3,0.1372
4,8,11,200,1200.0,1600,0.0000,0.0024,,0.5,9,,,,8,1,0.0856
8,4,1,400,10000,192002000,0.0000,0.0008,0.0018,0.25,9,0.0000,0.0000,1,8,3,1.1097
8,4,9,200,1000,240400,0.0000,0.0017,,0.75,6,,,,8,2,0.1181
2,4,16,400,100000,801200,0.0000,0.0033,,0.75,6,,,,8,2,17.1192
8,8,4,200,10000,121000,0.0000,0.0027,0.0005,0.25,6,0.0000,0.0000,1,8,2,1.5460
2,4,5,200,1200.0,1600,0.0000,0.1696,0.1759,0.75,0,0.0861,0.0615,0.99999237,8,1,0.8628
2,4,0,400,100000,480400,0.0000,0.0010,0.0004,0.75,2,0.0001,0.0000,0.9,4,2,14.6484
2,4,0,100,10000,30100,0.0000,0.0009,0.0003,0.75,2,0.0000,0.0000,1,4,2,1.2658
4,2,12,400,2400.0,3200,0.0000,0.0019,0.0004,0.25,6,0.0000,0.0000,1,8,1,0.1760
8,4,1,200,1000,32120200,0.0000,0.0010,0.0004,0.5,2,0.0001,0.0000,0.6,8,3,0.1308
4,4,9,400,2400.0,3200,0.0000,0.7331,,0.75,5,,,,8,1,0.9579
2,2,28,200,100000,24120400,0.0000,0.0010,0.0003,0.5,2,0.0000,0.0000,1,8,3,15.3083
2,2,22,400,1000,192480800,0.0000,0.0022,,0.5,9,,,,8,3,0.1208
8,8,15,200,1000,1600,0.0000,0.0031,,0.75,6,,,,8,1,0.1028
2,4,0,400,1000,320800,0.0000,0.0030,,0.75,9,,,,4,2,0.1205
2,2,27,200,1000,200600,0.0000,0.0009,0.0003,0.75,4,0.0000,0.0000,1,8,2,0.1186
8,4,8,200,1000,200600,0.0000,0.0009,0.0003,0.25,3,0.0000,0.0000,1,8,2,0.0999
4,4,6,100,1000,30100,0.0000,0.0023,,0.75,7,,,,4,2,0.1282
8,4,10,200,1000,1600,0.0000,0.0036,,0.5,8,,,,8,1,0.0913
8,4,1,100,100000,2030300,0.0000,0.1782,,0.25,3,,,,8,3,28.6035
8,4,8,400,1000,801200,0.0000,0.0009,0.0004,0.75,3,0.0001,0.0000,0.4,8,2,0.1080
4,8,15,100,1000,4030100,0.0000,0.0029,,0.5,0,,,,8,3,0.1102
4,2,8,100,10000,3030200,0.0000,0.0014,0.0004,0.25,9,0.0000,0.0000,1,8,3,1.0504
8,8,1,100,150.0,200,0.0000,0.0056,,0.5,7,,,,2,1,0.0595
8,4,4,400,100000,320800,0.0000,0.0016,0.0005,0.75,7,0.0001,0.0000,0.2,4,2,20.0090
4,2,1,400,10000,64160000,0.0000,0.0016,0.0007,0.75,3,0.0001,0.0000,0.2,2,3,2.4661
8,4,8,400,10000,482000,0.0000,0.0177,,0.25,2,,,,8,2,1.8139
4,2,15,400,100000,256161200,0.0000,0.0013,0.0004,0.75,8,0.0001,0.0000,0.2,8,3,34.2317
2,2,28,100,10000,3030200,0.0000,0.0009,0.0004,0.25,2,0.0000,0.0000,1,8,3,1.6494
2,4,21,400,10000,256161200,0.0000,0.0008,0.0003,0.25,7,0.0000,0.0000,1,8,3,0.9784
8,4,4,400,10000,320800,0.0000,0.0014,0.0006,0.25,7,0.0001,0.0000,0.3,4,2,1.5459
2,4,5,400,1200.0,1600,0.0000,0.0032,,0.5,7,,,,4,1,0.1002
2,4,3,200,10000,24120400,0.0001,0.0071,0.0006,0.75,2,0.0002,0.0001,0.3,8,3,1.5776
8,4,1,400,10000,192321200,0.0000,0.0020,0.0007,0.25,7,0.0001,0.0001,1,8,3,2.4247
2,2,22,200,10000,40040400,0.0000,0.0015,0.0004,0.5,0,0.0000,0.0000,1,8,3,2.1860
8,8,1,100,150.0,200,0.0000,0.0038,0.0008,0.5,2,0.0004,0.0001,0.7,2,1,0.0492
2,4,5,200,1000,1600,0.0001,0.0096,,0.5,6,,,,8,1,0.3130
4,2,15,400,1000,64641200,0.0000,0.0024,0.0005,0.75,7,0.0001,0.0000,0.7,8,3,0.1913
4,2,8,100,100000,4010300,0.0000,0.0017,0.0004,0.25,6,0.0000,0.0000,1,8,3,23.3546
8,4,1,400,100000,192480800,0.0000,0.0877,,0.25,4,,,,8,3,15.2742
2,2,19,400,100000,801200,0.0000,0.0015,0.0006,0.75,2,0.0001,0.0000,0.5,8,2,15.1453
4,2,9,400,1000,3200,0.0000,0.0066,,0.75,6,,,,8,1,0.1807
4,4,6,200,1000,80400,0.0000,0.0054,,0.25,2,,,,4,2,0.1736
2,2,22,200,100000,32000800,0.0000,0.0022,0.0007,0.75,8,0.0001,0.0000,0.8,8,3,28.1922
8,4,8,200,10000,200600,0.0000,0.0119,,0.5,7,,,,8,2,1.2231
4,8,1,100,1000,2010100,0.0000,0.0011,0.0004,0.5,0,0.0000,0.0000,1,4,3,0.1267
8,8,20,400,1000,3200,0.0000,0.0096,0.0006,0.75,8,0.0010,0.0002,0.3,8,1,0.1660
4,2,5,200,600.0,800,0.0000,0.0023,0.0003,0.75,0,0.0000,0.0000,1,4,1,0.0885
8,4,10,200,1200.0,1600,0.0000,0.0067,,0.25,6,,,529.,8,1,0.2683
8,4,3,200,1000,1600,0.0000,0.0090,,0.75,3,,,218.,8,1,0.2817
4,2,8,400,100000,192480800,0.0000,0.0015,0.0005,0.25,1,0.0000,0.0000,1,8,3,16.6742
4,2,1,100,1000,1010000,0.0001,0.0053,0.0006,0.75,8,0.0002,0.0001,0.4,2,3,0.2829
2,4,16,400,100000,641600,0.0000,0.0015,0.0004,0.25,3,0.0000,0.0000,1,8,2,20.9573
2,4,0,100,22575.0,30100,0.0000,0.0023,0.0006,0.5,8,0.0001,0.0000,1,4,2,5.0478
4,2,17,400,10000,641600,0.0000,0.0051,0.0004,0.25,3,0.0000,0.0000,1,8,2,1.8442
4,2,12,400,1000,3200,0.0000,0.0039,0.0005,0.75,8,0.0003,0.0000,0.8,8,1,0.1519
2,8,1,400,2400.0,3200,0.0000,0.0084,,0.75,0,,,,8,1,0.6489
4,8,1,200,1000,24000200,0.0000,0.0081,,0.75,3,,,,4,3,0.3056
8,2,26,400,100000,1120400,0.0000,0.0028,0.0005,0.25,3,0.0001,0.0000,0.8,8,2,12.6590
4,2,12,400,2400.0,3200,0.0000,0.0030,0.0090,0.75,8,0.0003,0.0000,0.496,8,1,0.1980
4,2,1,200,10000,8040000,0.0000,0.0011,0.0004,0.25,6,0.0001,0.0000,1,2,3,1.0414
8,4,4,200,1000,80400,0.0000,0.0038,,0.5,5,,,,4,2,0.1432
8,8,4,200,1000,160800,0.0000,0.0008,0.0003,0.75,0,0.0001,0.0000,0.1,8,2,0.0987
4,8,15,100,100000,3020300,0.0000,0.0021,0.0006,0.75,3,0.0001,0.0000,0.5,8,3,25.9585
8,8,15,400,2400.0,3200,0.0000,0.0045,,0.25,2,,,,8,1,0.1710
2,4,5,400,1000,1600,0.0000,0.0027,,0.25,6,,,,4,1,0.0774
4,8,1,400,10000,192160000,0.0000,0.0009,0.0004,0.5,7,0.0001,0.0000,0.2,4,3,1.3374
8,4,8,100,1000,50300,0.0000,0.0034,,0.5,6,,,,8,2,0.1126
2,2,27,200,10000,240400,0.0000,0.0009,0.0004,0.75,8,0.0001,0.0000,0.1,8,2,1.3010
8,4,9,200,1000,160800,0.0000,0.0021,,0.75,5,,,,8,2,0.1168
4,4,1,400,10000,128160400,0.0000,0.0009,0.0003,0.5,5,0.0000,0.0000,1,4,3,1.3110
8,8,4,400,10000,641600,0.0000,0.0009,0.0004,0.25,1,0.0001,0.0000,0.5,8,2,0.9742
2,4,5,400,2400.0,3200,0.0000,0.0025,,0.75,3,,,,8,1,0.2266
4,8,1,200,100000,16000400,0.0000,0.7429,,0.75,6,,,,4,3,29.9785
2,2,19,400,10000,801200,0.0000,0.0010,0.0004,0.75,7,0.0001,0.0000,0.2,8,2,1.1636
8,8,4,200,1000,240400,0.0000,0.0026,,0.5,9,,,,8,2,0.1170
4,4,1,400,100000,64320400,0.0000,0.0014,0.0005,0.75,8,0.0001,0.0000,0.9,4,3,20.8196
4,4,6,200,1000,80400,0.0000,0.0046,,0.5,9,,,,4,2,0.1952
8,4,4,100,30000.0,40000,0.0000,54.0451,,0.5,1,,,,4,2,60.0049
8,4,9,100,30300.0,40400,0.0000,0.0028,,0.75,5,,,,8,2,15.7897
8,4,1,400,100000,192321200,0.0000,0.0013,0.0004,0.5,7,0.0001,0.0000,0.7,8,3,33.6368
2,4,27,400,1000,256320800,0.0002,0.0092,0.0020,0.5,8,0.0001,0.0000,0.3,8,3,0.2414
2,8,12,100,10000,70100,0.0001,0.0619,,0.25,8,,,,8,2,2.9403
2,8,1,400,2400.0,3200,0.0000,0.0222,,0.5,0,,,,8,1,1.1192
8,8,4,100,22875.0,30500,0.0000,0.0049,0.0005,0.25,6,0.0000,0.0000,1,8,2,8.1777
4,2,23,200,1000,24160200,0.0000,0.0015,0.0005,0.25,8,0.0001,0.0000,0.1,8,3,0.2786
4,2,23,100,100000,3030200,0.0000,0.0018,0.0006,0.75,7,0.0001,0.0000,0.4,8,3,33.1244
4,2,17,100,10000,50300,0.0000,0.0015,0.0005,0.5,2,0.0002,0.0000,1,8,2,2.3919
4,2,23,400,10000,128481200,0.0000,0.0016,0.0005,0.5,3,0.0000,0.0000,1,8,3,3.0052
4,2,23,400,1000,384160400,0.0000,0.0016,0.0005,0.75,6,0.0000,0.0000,1,8,3,0.3792
4,8,15,100,10000,4030100,0.0000,0.0020,0.0006,0.75,0,0.0001,0.0000,0.2,8,3,2.9964
2,2,22,200,10000,24160200,0.0000,0.0013,0.0005,0.5,1,0.0000,0.0000,1,8,3,3.2690
2,2,28,400,100000,320320400,0.0000,0.0017,0.0006,0.75,3,0.0001,0.0000,0.3,8,3,31.5476
8,4,6,400,1000,64320400,0.0000,0.0014,0.0006,0.75,3,0.0001,0.0000,0.6,4,3,0.3459
8,8,4,400,1000,960800,0.0002,0.0139,,0.25,3,,,,8,2,0.2514
8,4,4,100,22575.0,30100,0.0000,0.0018,0.0006,0.5,4,0.0001,0.0000,1,4,2,6.1759
2,2,27,400,10000,960800,0.0000,0.0036,0.0024,0.75,6,0.0003,0.0002,1,8,2,3.0103
2,4,0,200,1000,80400,0.0000,0.0037,,0.75,3,,,,4,2,0.2187
4,2,15,200,1000,8160600,0.0000,0.0017,0.0003,0.75,7,0.0000,0.0000,1,8,3,0.2174
2,2,28,200,1000,24040800,0.0000,0.0013,0.0004,0.75,8,0.0001,0.0000,0.1,8,3,0.2210
8,8,20,200,100000,240400,0.0000,0.0012,0.0004,0.5,6,0.0001,0.0000,0.8,8,2,24.2149
4,2,17,200,100000,200600,0.0001,0.0121,0.0012,0.5,2,0.0001,0.0001,0.9,8,2,23.1643
4,2,23,100,100000,3030200,0.0000,0.0029,0.0005,0.5,7,0.0000,0.0000,1,8,3,27.3097
8,4,10,400,2400.0,3200,0.0000,0.0014,0.0003,0.75,1,0.0001,0.0000,0.7,8,1,0.2305
2,4,0,400,1000,320800,0.0000,0.0030,,0.5,3,,,,4,2,0.0932
8,4,12,400,10000,192480800,0.0000,0.0052,,0.5,7,,,,8,3,1.1523
4,2,9,200,1000,1600,0.0000,0.0065,,0.75,2,,,,8,1,0.1528
4,4,15,100,100000,5020100,0.0000,0.0014,0.0004,0.25,7,0.0000,0.0000,1,8,3,23.4261
4,4,6,100,1000,30100,0.0000,0.0041,,0.25,4,,,,4,2,0.1874
4,2,15,100,1000,2030300,0.0000,0.0014,0.0005,0.75,1,0.0001,0.0000,0.1,8,3,0.2427
2,4,0,200,10000,120200,0.0000,0.0440,,0.25,2,,,,4,2,1.3825
2,4,0,400,1000,320800,0.0000,0.2905,0.0003,0.25,6,0.0002,0.0000,1,4,2,0.3845
8,4,4,100,15150.0,20200,0.0000,0.0011,0.0004,0.75,7,0.0001,0.0000,0.2,4,2,1.9631
8,8,20,400,2400.0,3200,0.0000,0.0026,,0.25,1,,,,8,1,0.1813
8,8,20,400,1000,3200,0.0000,0.0049,,0.5,1,,,518.,8,1,0.0955
8,4,12,200,10000,32080400,0.0000,12.1210,0.0005,0.75,8,0.0024,0.0000,1,8,3,14.1915
8,4,8,100,1000,50300,0.0000,0.0014,0.0005,0.75,5,0.0001,0.0000,0.2,8,2,0.2300
8,2,26,400,1000,482000,0.0000,0.0057,,0.25,1,,,,8,2,0.1771
2,4,27,400,10000,128481200,0.0000,0.0030,0.0005,0.5,7,0.0001,0.0000,0.3,8,3,2.2203
2,4,3,400,10000,192161600,0.0000,0.0168,,0.75,6,,,,8,3,2.6214
4,2,12,200,1000,1600,0.0000,0.0071,,0.5,6,,,,8,1,0.1510
2,8,5,400,2400.0,3200,0.0000,0.0028,0.0102,0.75,4,0.0003,0.0000,0.54,8,1,0.2469
4,4,6,400,10000,161200,0.0000,0.0430,,0.5,8,,,,4,2,2.1160
2,2,19,100,10000,50300,0.0000,0.0014,0.0005,0.5,4,0.0000,0.0000,1,8,2,2.1260
8,8,22,100,600.0,800,0.0000,0.0041,,0.25,1,,,,8,1,0.0936
2,8,5,200,1000,1600,0.0000,0.0038,,0.25,3,,,,8,1,0.1450
8,4,10,100,600.0,800,0.0000,0.0033,,0.75,3,,,,8,1,0.1187
8,4,12,200,1000,32160000,0.0000,0.0014,0.0005,0.25,4,0.0001,0.0000,0.9,8,3,0.2187
2,2,28,200,1000,24120400,0.0000,0.0025,0.0006,0.5,4,0.0003,0.0001,0.5,8,3,0.2300
8,4,8,100,1000,50300,0.0000,0.0014,0.0005,0.25,7,0.0001,0.0000,0.2,8,2,0.1913
2,4,21,200,100000,24080600,0.0000,0.0738,,0.75,3,,,,8,3,25.5365
8,4,1,100,10000,4030100,0.0000,0.0016,0.0004,0.25,2,0.0000,0.0000,1,8,3,2.1739
2,8,12,400,1000,801200,0.0000,0.0078,,0.25,2,,,,8,2,0.1810
4,8,17,400,10000,64960400,0.0000,0.0044,,0.5,2,,,,8,3,2.1414
