maximum.arity,number.of.predicates,number.of.variables,domain.size,number.of.facts,universe.size,Propagating evidence,Cycle breaking,instance,Grounding,number.of.independent.pairs,Total time,Compiling BDD,answer,proportion.probabilistic,maximum.number.of.nodes
2,8,8,100,1000,30500,0.0000,0.0000,0,0.0026,12,0.1857,0.0013,1,0.75,2
1,8,4,400,2400.0,3200,0.0000,,8,0.0024,10,0.1916,,,0.5,8
3,8,8,100,10000,6000200,0.0000,,2,0.0057,15,1.4188,,,0.5,4
3,4,4,100,100000,2010100,0.0000,,5,2.1411,1,15.3883,,,0.25,4
1,8,8,100,600.0,800,0.0000,,1,0.0025,8,0.0548,,,0.5,8
2,8,8,100,1000,50300,0.0000,,2,0.0024,12,0.1158,,,0.5,2
3,8,4,100,100000,4020200,0.0000,0.0000,6,0.0018,12,15.1712,0.0021,1,0.25,8
2,8,4,200,100000,200600,0.0000,0.0001,6,0.0012,16,21.3971,0.0020,0.5,0.5,2
3,4,8,200,100000,16000400,0.0000,0.0000,6,0.0011,1,16.0595,0.0011,1,0.25,4
2,2,4,400,1000,160400,0.0000,0.0001,6,0.0010,0,0.1168,0.0014,0.1,0.75,2
1,8,2,100,600.0,800,0.0000,,5,0.0031,9,0.0520,,,0.25,4
3,8,2,200,100000,24080600,0.0000,0.0000,3,0.0010,15,15.3374,0.0013,1,0.5,4
2,4,4,100,10000,20200,0.0000,0.0000,7,0.0010,4,1.0433,0.0036,1,0.25,8
2,2,4,400,100000,160400,0.0000,0.0000,0,0.0015,0,15.0203,0.0036,1,0.25,2
3,8,8,100,10000,3020300,0.0000,0.0001,3,0.0016,15,2.3926,0.0026,0.1,0.5,4
3,8,8,100,10000,4000400,0.0000,0.0001,5,0.0014,15,2.5203,0.0026,0.3,0.5,4
2,8,4,100,10000,30500,0.0000,0.0001,8,0.0700,9,1.9143,0.0067,0.7,0.25,8
1,8,2,400,2400.0,3200,0.0000,,2,0.0050,9,0.2101,,,0.5,4
