maximum.number.of.nodes,Clark's completion,Transform output,Propagating evidence,number.of.predicates,instance,Total time,maximum.arity,number.of.independent.pairs,domain.size,proportion.probabilistic,Solver call,Grounding,Transform input,Cycle breaking,universe.size,number.of.facts,number.of.variables,answer
4,,,0.0000,4,7,0.3640,2,6,100,0.75,,0.0033,,,30100,1000,4,
8,,,0.0000,8,8,0.0741,1,10,200,0.5,,0.0026,,,1600,1000,4,
8,,,0.0000,8,3,23.9510,3,1,100,0.25,,0.1304,,,2030300,100000,4,
8,0.0000,0.0000,0.0000,8,3,0.2195,2,8,400,0.75,0.0151,0.0011,0.0001,0.0001,801200,1000,4,0.4
4,,,0.0000,8,0,0.3116,3,15,100,0.5,,0.0084,,,4030100,1000,8,
4,0.0000,,0.0000,8,9,1.6716,3,8,100,0.25,,0.0009,,0.0000,3030200,10000,2,1
8,,,0.0000,2,7,0.0160,1,1,100,0.5,,0.0017,,,200,150.0,8,
8,0.0000,0.0000,0.0000,4,7,17.1735,2,4,400,0.75,0.0207,0.0022,0.0001,0.0001,320800,100000,4,0.2
4,0.0000,0.0000,0.0000,2,3,2.5870,3,1,400,0.75,0.0159,0.0013,0.0001,0.0001,64160000,10000,2,0.2
8,,,0.0000,8,2,2.2307,2,8,400,0.25,,0.0169,,,482000,10000,4,
4,0.0000,0.0000,0.0000,8,8,28.7278,3,15,400,0.75,0.0435,0.0015,0.0002,0.0001,256161200,100000,2,0.2
2,0.0000,,0.0000,8,2,2.3016,3,28,100,0.25,,0.0011,,0.0000,3030200,10000,2,1
2,0.0000,,0.0000,8,7,2.9192,3,21,400,0.25,,0.0011,,0.0000,256161200,10000,4,1
8,0.0001,0.0001,0.0000,4,7,2.4547,2,4,400,0.25,0.0268,0.0020,0.0002,0.0003,320800,10000,4,0.3
2,,,0.0000,4,7,0.1681,1,5,400,0.5,,0.0040,,,1600,1200.0,4,
2,0.0000,0.0000,0.0000,8,2,1.3107,3,3,200,0.75,0.0142,0.0009,0.0001,0.0001,24120400,10000,4,0.3
8,0.0000,,0.0000,8,7,1.3414,3,1,400,0.25,,0.0013,,0.0000,192321200,10000,4,1
2,0.0000,,0.0000,8,0,1.5719,3,22,200,0.5,,0.0009,,0.0000,40040400,10000,2,1
8,0.0000,0.0000,0.0000,2,2,0.0401,1,1,100,0.5,0.0107,0.0014,0.0001,0.0001,200,150.0,8,0.7
2,,,0.0000,8,6,0.0967,1,5,200,0.5,,0.0036,,,1600,1000,4,
4,0.0000,0.0000,0.0000,8,7,0.1306,3,15,400,0.75,0.0116,0.0019,0.0001,0.0001,64641200,1000,2,0.7
4,0.0000,,0.0000,8,6,14.9369,3,8,100,0.25,,0.0010,,0.0000,4010300,100000,2,1
8,,,0.0001,8,4,13.7645,3,1,400,0.25,,0.1204,,,192480800,100000,4,
2,0.0000,0.0000,0.0000,8,2,18.4275,2,19,400,0.75,0.0291,0.0016,0.0002,0.0001,801200,100000,2,0.5
4,,,0.0000,8,6,0.1676,1,9,400,0.75,,0.0059,,,3200,1000,2,
4,,,0.0000,4,2,0.1607,2,6,200,0.25,,0.0051,,,80400,1000,4,
2,0.0000,0.0000,0.0000,8,8,30.7164,3,22,200,0.75,0.0382,0.0015,0.0001,0.0001,32000800,100000,2,0.8
8,,,0.0000,8,7,2.5363,2,8,200,0.5,,0.0307,,,200600,10000,4,
4,0.0000,,0.0000,4,0,0.2095,3,1,100,0.5,,0.0014,,0.0000,2010100,1000,8,1
8,0.0000,0.0000,0.0000,8,8,0.1878,1,20,400,0.75,0.0153,0.0022,0.0002,0.0002,3200,1000,8,0.3
4,0.0000,,0.0000,4,0,0.0814,1,5,200,0.75,,0.0026,,0.0000,800,600.0,2,1
8,,,0.0000,8,6,0.1650,1,10,200,0.25,,0.0073,,,1600,1200.0,4,529.
8,,,0.0000,8,3,0.2861,1,3,200,0.75,,0.0117,,,1600,1000,4,218.
4,0.0000,,0.0000,8,1,15.0011,3,8,400,0.25,,0.0015,,0.0000,192480800,100000,2,1
4,0.0000,0.0000,0.0000,2,8,0.2555,3,1,100,0.75,0.0187,0.0015,0.0002,0.0001,1010000,1000,2,0.4
2,0.0000,,0.0000,8,3,19.2285,2,16,400,0.25,,0.0030,,0.0000,641600,100000,4,1
2,0.0000,,0.0000,4,8,3.7785,2,0,100,0.5,,0.0015,,0.0000,30100,22575.0,4,1
4,0.0000,,0.0000,8,3,1.1907,2,17,400,0.25,,0.0023,,0.0000,641600,10000,2,1
4,0.0000,0.0000,0.0000,8,8,0.1134,1,12,400,0.75,0.0115,0.0022,0.0001,0.0002,3200,1000,2,0.8
2,,,0.0000,8,0,0.1977,1,1,400,0.75,,0.0034,,,3200,2400.0,8,
4,,,0.0000,4,3,0.1305,3,1,200,0.75,,0.0050,,,24000200,1000,8,
8,0.0001,0.0000,0.0000,8,3,13.5591,2,26,400,0.25,0.0403,0.0075,0.0002,0.0002,1120400,100000,2,0.8
4,0.0000,0.0000,0.0000,8,8,0.2585,1,12,400,0.75,0.0109,0.0028,0.0003,0.0003,3200,2400.0,2,0.496
4,0.0000,,0.0000,2,6,1.4790,3,1,200,0.25,,0.0019,,0.0001,8040000,10000,2,1
8,,,0.0000,4,5,0.3121,2,4,200,0.5,,0.0069,,,80400,1000,4,
8,0.0000,0.0000,0.0000,8,0,0.2025,2,4,200,0.75,0.0151,0.0011,0.0001,0.0001,160800,1000,8,0.1
4,0.0000,0.0001,0.0000,8,3,26.2177,3,15,100,0.75,0.0442,0.0027,0.0002,0.0001,3020300,100000,8,0.5
8,,,0.0000,8,2,0.2879,1,15,400,0.25,,0.0064,,,3200,2400.0,8,
2,,,0.0000,4,6,0.1267,1,5,400,0.25,,0.0035,,,1600,1000,4,
4,0.0000,0.0000,0.0000,4,7,3.0122,3,1,400,0.5,0.0171,0.0012,0.0002,0.0001,192160000,10000,8,0.2
8,,,0.0000,8,6,0.1880,2,8,100,0.5,,0.0050,,,50300,1000,4,
2,0.0000,0.0000,0.0000,8,8,2.8452,2,27,200,0.75,0.0156,0.0013,0.0001,0.0001,240400,10000,2,0.1
8,,,0.0000,8,5,0.1015,2,9,200,0.75,,0.0019,,,160800,1000,4,
4,0.0000,,0.0000,4,5,1.7201,3,1,400,0.5,,0.0013,,0.0000,128160400,10000,4,1
8,0.0000,0.0000,0.0000,8,1,1.0102,2,4,400,0.25,0.0121,0.0010,0.0002,0.0001,641600,10000,8,0.5
2,,,0.0000,8,3,0.1929,1,5,400,0.75,,0.0024,,,3200,2400.0,4,
4,,,0.0000,4,6,21.9234,3,1,200,0.75,,0.9237,,,16000400,100000,8,
2,0.0000,0.0000,0.0000,8,7,1.2080,2,19,400,0.75,0.0127,0.0009,0.0002,0.0001,801200,10000,2,0.2
8,,,0.0000,8,9,0.1001,2,4,200,0.5,,0.0020,,,240400,1000,8,
4,0.0000,0.0000,0.0000,4,8,17.5648,3,1,400,0.75,0.0208,0.0010,0.0001,0.0001,64320400,100000,4,0.9
4,,,0.0000,4,9,0.1693,2,6,200,0.5,,0.0042,,,80400,1000,4,
8,,,0.0000,4,1,60.0002,2,4,100,0.5,,55.0861,,,40000,30000.0,4,
8,,,0.0000,8,5,5.9072,2,9,100,0.75,,0.0026,,,40400,30300.0,4,
8,0.0000,0.0000,0.0000,8,7,31.6330,3,1,400,0.5,0.0511,0.0020,0.0002,0.0001,192321200,100000,4,0.7
2,0.0001,0.0000,0.0000,8,8,0.4020,3,27,400,0.5,0.0341,0.0024,0.0002,0.0001,256320800,1000,4,0.3
2,,,0.0000,8,8,1.7636,2,12,100,0.25,,0.0177,,,70100,10000,8,
2,,,0.0000,8,0,0.2802,1,1,400,0.5,,0.0034,,,3200,2400.0,8,
8,0.0000,,0.0000,8,6,3.4332,2,4,100,0.25,,0.0029,,0.0000,30500,22875.0,8,1
4,0.0001,0.0000,0.0000,8,8,0.1965,3,23,200,0.25,0.0145,0.0009,0.0001,0.0001,24160200,1000,2,0.1
4,0.0000,0.0000,0.0000,8,7,31.7338,3,23,100,0.75,0.0460,0.0014,0.0004,0.0001,3030200,100000,2,0.4
4,0.0000,,0.0000,8,2,1.4288,2,17,100,0.5,,0.0009,,0.0000,50300,10000,2,1
4,0.0000,,0.0000,8,3,1.4232,3,23,400,0.5,,0.0013,,0.0000,128481200,10000,2,1
4,0.0000,,0.0000,8,6,0.5197,3,23,400,0.75,,0.0029,,0.0001,384160400,1000,2,1
4,0.0000,0.0000,0.0000,8,0,3.3429,3,15,100,0.75,0.0195,0.0016,0.0002,0.0001,4030100,10000,8,0.2
2,0.0000,,0.0001,8,1,3.1472,3,22,200,0.5,,0.0020,,0.0000,24160200,10000,2,1
2,0.0001,0.0000,0.0001,8,3,37.6647,3,28,400,0.75,0.0565,0.0052,0.0020,0.0002,320320400,100000,2,0.3
8,0.0000,0.0000,0.0000,4,3,0.4569,3,6,400,0.75,0.0594,0.0015,0.0002,0.0001,64320400,1000,4,0.6
8,,,0.0000,8,3,0.1758,2,4,400,0.25,,0.0101,,,960800,1000,8,
8,0.0000,,0.0000,4,4,6.1364,2,4,100,0.5,,0.0009,,0.0000,30100,22575.0,4,1
2,0.0000,,0.0000,8,6,2.7511,2,27,400,0.75,,0.0034,,0.0000,960800,10000,2,1
2,,,0.0000,4,3,0.1831,2,0,200,0.75,,0.0041,,,80400,1000,4,
4,0.0000,,0.0000,8,7,0.1772,3,15,200,0.75,,0.0020,,0.0000,8160600,1000,2,1
2,0.0000,0.0000,0.0000,8,8,0.2595,3,28,200,0.75,0.0244,0.0012,0.0002,0.0001,24040800,1000,2,0.1
8,0.0000,0.0001,0.0000,8,6,19.4716,2,20,200,0.5,0.0338,0.0010,0.0001,0.0001,240400,100000,8,0.8
4,0.0000,0.0000,0.0000,8,2,28.9924,2,17,200,0.5,0.0340,0.0026,0.0002,0.0001,200600,100000,2,0.9
4,0.0000,,0.0000,8,7,30.8328,3,23,100,0.5,,0.0015,,0.0000,3030200,100000,2,1
8,0.0001,0.0001,0.0000,8,1,0.4773,1,10,400,0.75,0.0221,0.0032,0.0003,0.0002,3200,2400.0,4,0.7
2,,,0.0000,4,3,0.2596,2,0,400,0.5,,0.0058,,,320800,1000,4,
8,,,0.0000,8,7,3.3646,3,12,400,0.5,,0.0197,,,192480800,10000,4,
4,,,0.0000,8,2,0.2661,1,9,200,0.75,,0.0078,,,1600,1000,2,
4,0.0000,,0.0001,8,7,27.6452,3,15,100,0.25,,0.0022,,0.0001,5020100,100000,4,1
4,,,0.0001,4,4,0.1731,2,6,100,0.25,,0.0059,,,30100,1000,4,
4,0.0000,0.0000,0.0000,8,1,0.3472,3,15,100,0.75,0.0131,0.0014,0.0001,0.0001,2030300,1000,2,0.1
2,,,0.0001,4,2,2.6463,2,0,200,0.25,,0.2243,,,120200,10000,4,
2,0.0001,,0.0000,4,6,1.4806,2,0,400,0.25,,1.0137,,0.0020,320800,1000,4,1
8,0.0000,0.0004,0.0000,4,7,6.2718,2,4,100,0.75,0.0379,0.0019,0.0002,0.0001,20200,15150.0,4,0.2
8,,,0.0000,8,1,0.4644,1,20,400,0.25,,0.0055,,,3200,2400.0,8,
8,,,0.0001,8,1,0.2510,1,20,400,0.5,,0.0160,,,3200,1000,8,518.
8,0.0000,,0.0000,8,8,19.2347,3,12,200,0.75,,15.6788,,0.0026,32080400,10000,4,1
8,0.0000,0.0001,0.0000,8,5,0.3493,2,8,100,0.75,0.0189,0.0013,0.0002,0.0001,50300,1000,4,0.2
8,,,0.0000,8,1,0.2169,2,26,400,0.25,,0.0063,,,482000,1000,2,
2,0.0000,0.0001,0.0000,8,7,2.5381,3,27,400,0.5,0.0271,0.0026,0.0007,0.0001,128481200,10000,4,0.3
2,,,0.0000,8,6,3.3984,3,3,400,0.75,,0.0141,,,192161600,10000,4,
4,,,0.0000,8,6,0.2343,1,12,200,0.5,,0.0074,,,1600,1000,2,
2,0.0001,0.0000,0.0000,8,4,0.6272,1,5,400,0.75,0.0247,0.0044,0.0003,0.0007,3200,2400.0,8,0.54
4,,,0.0000,4,8,2.3965,2,6,400,0.5,,0.0468,,,161200,10000,4,
2,0.0000,,0.0000,8,4,2.6467,2,19,100,0.5,,0.0014,,0.0000,50300,10000,2,1
8,,,0.0001,8,1,0.1236,1,22,100,0.25,,0.0122,,,800,600.0,8,
2,,,0.0000,8,3,0.1802,1,5,200,0.25,,0.0040,,,1600,1000,8,
8,,,0.0000,8,3,0.1598,1,10,100,0.75,,0.0035,,,800,600.0,4,
8,0.0000,0.0001,0.0000,8,4,0.3846,3,12,200,0.25,0.0228,0.0030,0.0009,0.0001,32160000,1000,4,0.9
2,0.0000,0.0000,0.0000,8,4,0.3563,3,28,200,0.5,0.0261,0.0027,0.0002,0.0003,24120400,1000,2,0.5
8,0.0000,0.0000,0.0000,8,7,0.2957,2,8,100,0.25,0.0285,0.0038,0.0002,0.0001,50300,1000,4,0.2
2,,,0.0000,8,3,37.2596,3,21,200,0.75,,0.0616,,,24080600,100000,4,
8,0.0000,,0.0000,8,2,1.9213,3,1,100,0.25,,0.0024,,0.0000,4030100,10000,4,1
2,,,0.0000,8,2,0.1516,2,12,400,0.25,,0.0051,,,801200,1000,8,
4,,,0.0000,8,2,2.6281,3,17,400,0.5,,0.0039,,,64960400,10000,8,
4,0.0000,0.0000,0.0000,8,8,3.4149,3,8,400,0.75,0.0262,0.0015,0.0002,0.0001,192321200,10000,2,0.1
2,0.0000,0.0003,0.0000,8,1,2.3804,2,19,100,0.75,0.0183,0.0014,0.0002,0.0001,60200,10000,2,0.4
2,,,0.0000,8,7,0.2347,2,27,100,0.25,,0.0043,,,30500,1000,2,
2,0.0000,,0.0000,8,4,0.2900,2,1,400,0.5,,0.0350,,0.0001,960800,1000,8,1
2,0.0000,0.0000,0.0000,8,9,3.0835,3,23,400,0.5,0.0276,0.0030,0.0002,0.0001,256320800,10000,8,0.6
2,0.0000,0.0000,0.0000,8,5,2.9963,3,28,400,0.75,0.0231,0.0020,0.0001,0.0001,256161200,10000,2,0.4
2,,,0.0000,4,9,0.0414,1,5,100,0.25,,0.0020,,,400,300.0,4,
4,,,0.0000,8,6,23.8166,3,15,200,0.25,,0.0856,,,16080800,100000,8,
4,0.0000,0.0000,0.0000,8,9,2.1981,2,17,100,0.75,0.0187,0.0015,0.0002,0.0001,40400,10000,2,0.8
4,,,0.0000,4,9,0.1331,1,5,400,0.25,,0.0032,,,1600,1200.0,2,
2,0.0000,0.0000,0.0000,4,1,0.2002,1,5,400,0.75,0.0228,0.0021,0.0002,0.0002,1600,1000,4,0.8
4,,,0.0001,8,5,0.3253,1,9,400,0.5,,0.0108,,,3200,2400.0,4,
2,,,0.0000,8,9,0.1426,2,12,100,0.25,,0.0037,,,30500,1000,8,
2,0.0002,0.0000,0.0001,8,0,1.8643,2,27,100,0.5,0.0239,0.0031,0.0001,0.0003,50300,10000,2,0.7
8,,,0.0001,8,9,1.6721,2,9,100,0.25,,0.0793,,,50300,10000,4,
8,0.0004,0.0000,0.0000,8,6,0.3640,3,12,400,0.5,0.0277,0.0027,0.0002,0.0008,256320800,1000,4,0.8
8,,,0.0002,2,0,0.1230,1,1,400,0.25,,0.0111,,,800,600.0,8,
4,0.0000,,0.0000,8,3,3.0710,3,17,200,0.25,,0.0015,,0.0000,32040600,10000,8,1
2,0.0001,0.0001,0.0000,8,8,0.2639,1,1,100,0.75,0.0249,0.0047,0.0003,0.0007,800,600.0,8,0.363
8,,,0.0000,2,4,0.1345,1,1,400,0.5,,0.0045,,,800,600.0,8,
2,0.0000,,0.0000,8,7,0.2510,3,27,400,0.25,,0.0015,,0.0000,128481200,1000,4,1
2,0.0001,,0.0000,8,5,22.5777,2,12,200,0.75,,0.0038,,0.0000,160800,100000,8,1
8,0.0000,0.0001,0.0000,4,0,0.2905,2,4,400,0.75,0.0172,0.0014,0.0003,0.0001,480400,1000,4,0.7
8,0.0000,,0.0000,8,4,0.2110,2,8,400,0.25,,0.0031,,0.0000,960800,1000,4,1
8,,,0.0000,8,7,60.0003,2,9,100,0.75,,51.7102,,,40400,30300.0,4,
4,0.0000,,0.0000,8,9,28.0703,3,15,200,0.25,,0.0015,,0.0000,64000000,100000,8,1
2,0.2017,0.0006,0.0000,4,5,60.2926,2,0,200,0.5,55.7664,0.8684,0.0196,0.2645,80400,10000,4,0.81
2,0.0000,0.0000,0.0000,8,5,2.4724,2,1,400,0.75,0.0180,0.0012,0.0002,0.0001,162800,10000,8,0.7
4,,,0.0000,4,6,2.5976,2,6,400,0.75,,0.0679,,,320800,10000,4,
4,0.0000,0.0002,0.0000,8,1,22.3576,2,17,200,0.75,0.0521,0.0032,0.0003,0.0001,160800,100000,2,0.2
2,,,0.0000,8,5,0.1099,1,5,100,0.25,,0.0037,,,800,600.0,4,
8,,,0.0000,8,4,0.1541,1,6,200,0.25,,0.0040,,,1600,1000,2,
4,,,0.0000,4,7,3.6466,3,1,100,0.5,,0.0433,,,3010000,10000,8,
2,0.0000,,0.0000,2,5,2.1972,2,0,200,0.5,,0.4228,,0.0003,40200,10000,4,1
4,0.0000,0.0000,0.0000,8,7,0.2927,2,17,400,0.5,0.0251,0.0014,0.0002,0.0001,641600,1000,2,0.7
8,0.0001,,0.0000,8,9,0.2692,2,20,400,0.25,,0.0031,,0.0001,322400,1000,8,1
4,,,0.0000,8,8,0.1785,1,11,200,0.75,,0.0056,,,1600,1000,8,
4,0.0000,0.0000,0.0000,2,1,32.8716,3,1,400,0.75,0.0485,0.0013,0.0002,0.0001,64160000,100000,2,0.2
8,0.0000,,0.0000,8,7,1.8072,2,8,100,0.5,,0.0012,,0.0000,50300,10000,4,1
2,0.0000,,0.0000,8,4,0.1829,2,12,100,0.5,,0.0011,,0.0000,40400,1000,8,1
4,0.0001,0.0000,0.0001,2,4,2.5169,3,1,100,0.75,0.0390,0.0027,0.0008,0.0001,1000100,10000,2,0.4
2,0.0000,,0.0000,8,6,2.6285,2,19,100,0.25,,0.0015,,0.0000,50300,10000,2,1
2,,,0.0000,8,1,24.4422,2,16,400,0.25,,0.3096,,,641600,100000,4,
2,0.0000,,0.0001,8,7,30.5984,3,28,200,0.25,,0.0062,,0.0000,40080200,100000,2,1
2,0.0000,,0.0000,8,6,27.4352,3,22,100,0.25,,0.0026,,0.0000,2020400,100000,2,1
8,0.0000,0.0000,0.0000,8,5,0.3142,2,9,100,0.75,0.0185,0.0015,0.0002,0.0001,40400,1000,4,0.2
8,0.0000,,0.0000,8,3,0.2917,3,12,100,0.5,,0.0014,,0.0000,1050200,1000,4,1
4,0.0000,0.0000,0.0000,8,5,31.9125,3,15,200,0.5,0.0351,0.0010,0.0003,0.0001,48000400,100000,2,0.9
8,,,0.0000,8,0,0.1336,2,20,400,0.25,,0.0153,,,641600,1000,8,
2,0.0002,,0.0000,8,7,0.1418,3,27,200,0.25,,0.0043,,0.0004,16120600,1000,4,1
2,0.0000,0.0000,0.0000,8,0,0.2016,2,16,400,0.75,0.0190,0.0009,0.0006,0.0001,801200,1000,4,0.7
4,,,0.0000,8,4,19.2671,3,15,200,0.25,,0.4655,,,40040400,100000,8,
2,,,0.0002,8,8,0.2526,2,12,200,0.75,,0.0107,,,280200,1000,8,
4,0.0000,,0.0000,4,7,23.8597,2,6,400,0.5,,0.0011,,0.0000,480400,100000,4,1
8,,,0.0000,8,0,29.4047,2,20,200,0.75,,0.6528,,,160800,100000,8,422.
8,0.0001,0.0000,0.0001,8,8,0.4391,1,3,400,0.25,0.0193,0.0041,0.0002,0.0003,3200,2400.0,4,0.5
2,0.0001,0.0000,0.0000,8,7,27.0441,3,28,100,0.75,0.0319,0.0017,0.0007,0.0001,5020100,100000,2,0.6
2,0.0000,,0.0000,8,8,8.3255,2,27,100,0.25,,0.0114,,0.0000,60200,45150.0,2,1
4,,,0.0000,8,4,1.8953,3,23,400,0.25,,0.0030,,,192321200,10000,2,
8,,,0.0000,8,0,0.2679,2,9,200,0.75,,0.0042,,,81200,1000,4,
2,0.0000,,0.0000,8,5,7.5025,2,12,100,0.5,,0.0014,,0.0000,40400,30300.0,8,1
4,0.0000,0.0000,0.0000,8,3,0.2665,1,9,400,0.25,0.0235,0.0042,0.0002,0.0001,3200,1000,4,0.8
4,0.0000,,0.0000,8,6,0.2140,1,9,200,0.5,,0.0056,,0.0001,1600,1000,2,1
2,,,0.0000,4,4,0.2103,1,5,400,0.75,,0.0037,,,1600,1000,4,
2,0.0000,0.0000,0.0001,8,0,0.3681,3,28,400,0.75,0.0248,0.0073,0.0002,0.0001,192480800,1000,2,0.1
2,0.0000,,0.0000,8,5,23.6919,2,27,200,0.25,,0.0019,,0.0001,240400,100000,2,1
2,0.0000,,0.0000,8,3,24.5668,3,22,400,0.25,,0.0018,,0.0000,128321600,100000,2,1
4,0.0000,0.0001,0.0000,8,9,2.7887,2,17,100,0.5,0.0228,0.0033,0.0002,0.0001,40400,10000,2,0.7
4,0.0000,0.0000,0.0000,8,3,31.9804,3,15,200,0.25,0.0485,0.0015,0.0002,0.0001,24040800,100000,4,0.7
2,0.0000,,0.0000,8,2,0.2682,3,28,200,0.25,,0.0013,,0.0000,24120400,1000,2,1
2,0.0000,,0.0000,8,0,29.8020,3,28,200,0.25,,0.0045,,0.0000,24120400,100000,2,1
2,0.0000,0.0000,0.0000,8,5,30.2030,3,23,100,0.75,0.0362,0.0013,0.0001,0.0001,3030200,100000,8,0.9
2,0.0000,0.0000,0.0000,8,0,1.9817,3,21,400,0.5,0.0215,0.0011,0.0007,0.0001,256640000,10000,4,0.9
8,0.0000,0.0000,0.0000,8,4,22.9869,2,20,400,0.5,0.0419,0.0015,0.0002,0.0021,641600,100000,8,0.1
4,0.0005,0.0000,0.0000,8,3,0.2008,1,12,400,0.75,0.0239,0.0055,0.0002,0.0004,3200,1000,2,0.2
4,,,0.0000,4,6,1.9438,2,6,400,0.5,,0.0403,,,320800,10000,4,
4,0.0005,0.0000,0.0000,8,8,24.4762,3,23,200,0.5,0.0307,0.0077,0.0005,0.0024,24160200,100000,2,0.226
4,0.0000,,0.0000,8,0,27.8467,3,8,200,0.25,,0.0009,,0.0000,16120600,100000,2,1
8,,,0.0000,8,0,0.1567,2,9,400,0.5,,0.0024,,,322400,1000,4,
2,0.0002,0.0001,0.0000,8,3,0.5806,3,3,200,0.75,0.0192,0.0209,0.0015,0.0010,32080400,1000,4,0.934176
8,,,0.0000,8,0,2.6428,2,20,400,0.5,,0.0304,,,641600,10000,8,422.
2,0.0001,,0.0000,8,6,30.6836,3,28,400,0.25,,0.0079,,0.0002,384320000,100000,2,1
4,,,0.0000,4,8,60.0002,1,5,200,0.75,,59.8643,,,800,600.0,2,
4,0.0003,,0.0000,4,6,1.5726,3,1,200,0.5,,0.0032,,0.0003,8120000,10000,4,1
8,0.0000,0.0000,0.0000,8,1,0.1721,2,4,400,0.25,0.0213,0.0016,0.0002,0.0001,641600,1000,8,0.8
2,0.0000,0.0000,0.0000,2,0,5.7456,2,0,200,0.5,0.0286,0.0026,0.0001,0.0001,40200,30150.0,4,0.4
2,,,0.0000,4,9,0.1566,2,0,200,0.5,,0.0104,,,80400,1000,4,
4,,,0.0000,4,3,1.9723,2,6,100,0.75,,0.0167,,,40000,10000,4,
4,0.0000,0.0000,0.0000,4,7,2.3999,2,6,100,0.5,0.0259,0.0015,0.0002,0.0001,30100,10000,4,0.1
2,,,0.0000,4,1,22.7009,2,0,400,0.75,,0.6397,,,320800,100000,4,
2,,,0.0000,8,3,29.9080,2,12,200,0.75,,0.5929,,,160800,100000,8,
8,,,0.0000,8,0,0.3480,1,20,400,0.75,,0.0043,,,3200,2400.0,8,
8,0.0000,,0.0000,2,5,0.0387,1,1,100,0.5,,0.0041,,0.0001,200,150.0,8,1
2,,,0.0000,8,4,0.1906,1,1,400,0.25,,0.0091,,,3200,1000,8,
2,0.0000,0.0000,0.0000,8,0,0.2936,2,27,100,0.25,0.0273,0.0050,0.0002,0.0001,50300,1000,2,0.7
2,0.0000,0.0000,0.0000,2,2,0.3176,2,0,400,0.5,0.0185,0.0014,0.0002,0.0001,160400,1000,4,0.4
4,,,0.0000,8,4,0.2649,2,17,400,0.75,,0.0034,,,482000,1000,2,
4,0.0001,0.0000,0.0000,8,8,3.4636,3,23,200,0.75,0.0286,0.0019,0.0002,0.0002,24160200,10000,2,0.8
2,,,0.0000,8,1,60.0002,2,1,100,0.25,,54.1985,,,30500,22875.0,8,
8,,,0.0000,8,5,60.0003,2,9,100,0.25,,39.6134,,18.6855,40400,10000,4,
8,1.2173,0.0019,0.0000,4,1,60.3734,2,4,400,0.5,33.4273,3.3429,0.0432,1.3126,640000,1000,4,0.81
4,0.0000,,0.0000,8,4,0.2502,3,23,200,0.25,,0.0014,,0.0000,24080600,1000,2,1
8,0.0000,,0.0000,4,6,2.5987,3,6,200,0.25,,0.0016,,0.0000,16040200,10000,4,1
2,0.0000,,0.0000,8,9,21.7204,3,27,100,0.25,,0.0012,,0.0000,2030300,100000,4,1
8,,,0.0000,8,8,0.1934,1,10,200,0.75,,0.0026,,,1600,1000,4,
4,0.0000,0.0002,0.0001,8,6,21.3147,2,17,200,0.5,0.0276,0.0125,0.0001,0.0001,121000,90750.0,2,0.1
8,0.0000,0.0000,0.0000,8,7,0.2817,3,12,100,0.75,0.0212,0.0016,0.0001,0.0001,3030200,1000,4,0.7
4,0.0000,,0.0000,8,1,0.2072,3,15,400,0.5,,0.0010,,0.0000,384160400,1000,4,1
4,,,0.0000,8,1,0.0758,1,9,100,0.25,,0.0033,,,800,600.0,4,
8,,,0.0000,8,7,0.2747,1,15,400,0.25,,0.0040,,,3200,2400.0,8,
2,0.0000,0.0002,0.0000,8,1,2.0951,3,22,100,0.75,0.0217,0.0011,0.0001,0.0001,3040100,10000,2,0.4
2,0.0000,0.0000,0.0000,8,9,1.9765,3,22,200,0.25,0.0159,0.0010,0.0004,0.0001,24120400,10000,2,0.6
8,,,0.0000,4,9,1.9842,3,6,400,0.5,,0.0217,,,64160800,10000,4,
2,0.0000,,0.0000,8,9,19.4976,2,1,200,0.25,,0.0014,,0.0000,240400,100000,8,1
2,0.0000,,0.0000,8,1,35.1973,3,27,100,0.75,,0.0046,,0.0000,4010300,100000,4,1
4,0.0000,0.0000,0.0000,8,0,24.1605,3,15,400,0.5,0.0338,0.0011,0.0002,0.0001,192640400,100000,4,0.6
4,0.0000,0.0001,0.0000,8,7,5.9042,2,17,100,0.75,0.0207,0.0014,0.0005,0.0002,40400,30300.0,2,0.3
8,0.0000,,0.0000,8,1,26.7751,3,1,200,0.25,,0.8466,,0.0004,16120600,100000,4,1
2,0.0000,0.0000,0.0001,8,7,30.9048,3,22,400,0.25,0.0375,0.0015,0.0018,0.0001,256320800,100000,2,0.8
2,0.0003,,0.0001,8,2,19.7857,2,12,400,0.25,,0.0057,,0.0003,801200,100000,8,1
4,,,0.0000,4,9,0.1071,1,5,200,0.75,,0.0056,,,800,600.0,2,
8,,,0.0000,8,8,0.2219,2,20,400,0.5,,0.0057,,,482000,1000,8,
8,0.0000,,0.0000,8,8,0.2771,3,1,200,0.25,,0.0014,,0.0000,40040400,1000,4,1
4,0.0001,0.0000,0.0000,2,8,3.5314,3,1,200,0.75,0.0347,0.0042,0.0003,0.0003,8040000,10000,2,0.2
8,0.0000,0.0000,0.0000,4,5,3.4407,3,6,100,0.5,0.0288,0.0041,0.0002,0.0001,3000100,10000,4,0.6
2,0.0000,0.0000,0.0000,8,6,1.9118,2,12,400,0.25,0.0175,0.0011,0.0001,0.0001,482000,10000,8,0.4
2,0.0000,,0.0000,8,0,0.2262,3,3,100,0.75,,0.0020,,0.0000,3020300,1000,4,1
8,,,0.0000,8,5,22.3513,2,8,400,0.75,,0.0227,,,801200,100000,4,
