maximum.number.of.nodes,number.of.variables,Grounding,maximum.arity,universe.size,instance,DSharp compilation,Total time,proportion.probabilistic,answer,number.of.facts,number.of.independent.pairs,Propagating evidence,Cycle breaking,Clark's completion,number.of.predicates,domain.size
2,4,0.0015,3,32040600,7,0.0004,26.4902,0.25,1,100000,21,0.0000,0.0000,0.0000,8,200
2,2,0.0014,3,192480800,4,0.0005,0.2033,0.75,0.3,1000,28,0.0000,0.0001,0.0000,8,400
8,4,0.0008,3,4020200,8,0.0004,1.6482,0.75,0.2,10000,12,0.0000,0.0001,0.0000,8,100
2,4,0.0008,3,192480800,4,0.0004,0.1145,0.75,1,1000,21,0.0000,0.0000,0.0000,8,400
4,2,0.0009,3,1000100,7,0.0004,0.1278,0.75,0.6,1000,1,0.0000,0.0001,0.0000,2,100
4,2,0.0030,3,1000100,5,0.0005,24.6942,0.75,0.5,100000,1,0.0000,0.0001,0.0000,2,100
8,8,0.0013,2,801200,2,0.0005,0.1542,0.25,0.9,1000,4,0.0000,0.0001,0.0000,8,400
8,4,0.0020,3,3030200,0,0.0007,0.3283,0.25,1,1000,12,0.0000,0.0000,0.0000,8,100
2,8,0.0093,1,800,9,,0.0827,0.25,,600.0,5,0.0001,,,8,100
2,2,0.0012,3,3030200,4,0.0004,23.7892,0.5,1,100000,28,0.0000,0.0000,0.0000,8,100
4,8,0.0049,3,1060100,2,,1.6398,0.5,,10000,17,0.0000,,,8,100
4,2,0.0011,3,1010000,1,0.0003,0.2681,0.25,1,1000,1,0.0000,0.0000,0.0000,2,100
2,2,0.0011,2,240400,5,0.0003,1.2449,0.25,0.3,10000,27,0.0000,0.0001,0.0000,8,200
8,4,0.0367,3,32080400,8,,18.4413,0.25,,100000,12,0.0000,,,8,200
2,4,0.0019,3,4010300,2,0.0006,24.7046,0.5,0.3,100000,21,0.0000,0.0001,0.0000,8,100
4,2,0.0023,3,32040600,6,0.0007,26.4114,0.5,1,100000,8,0.0000,0.0001,0.0000,8,200
8,8,59.9078,1,800,2,,60.0003,0.5,,600.0,22,0.0000,,,8,100
4,8,0.0015,3,3010400,9,0.0005,2.4361,0.5,0.3,10000,17,0.0000,0.0001,0.0000,8,100
8,4,35.4821,2,160800,5,,60.0014,0.5,,10000,9,0.0000,21.9092,,8,200
8,4,0.0021,2,30100,8,0.0008,2.1663,0.5,0.7,10000,4,0.0000,0.0001,0.0000,4,100
8,4,0.0056,3,3000500,9,,0.1959,0.5,,1000,1,0.0000,,,8,100
2,4,0.0009,2,641600,5,0.0003,1.1520,0.25,1,10000,16,0.0000,0.0000,0.0000,8,400
2,2,0.0034,2,801200,4,0.0007,1.2186,0.5,0.9,10000,27,0.0000,0.0001,0.0000,8,400
8,8,0.0046,1,3200,8,,0.3634,0.5,,2400.0,22,0.0000,,,8,400
4,4,0.0047,1,1600,4,,0.2281,0.75,,1200.0,9,0.0000,,,8,200
4,2,0.0022,3,3020300,3,0.0008,2.9990,0.75,0.2,10000,15,0.0000,0.0001,0.0000,8,100
4,2,0.0013,3,24200000,9,0.0005,2.3164,0.5,0.3,10000,15,0.0000,0.0001,0.0000,8,200
4,4,0.0015,3,192000400,7,0.0005,3.2147,0.75,0.4,10000,1,0.0000,0.0001,0.0000,4,400
2,4,0.0028,1,3200,0,,0.1143,0.25,,1000,5,0.0000,,,8,400
8,8,0.0156,1,1600,5,,0.4169,0.75,,1000,8,0.0000,,,8,200
4,2,0.0020,3,2030300,4,0.0007,0.3095,0.25,1,1000,8,0.0000,0.0001,0.0000,8,100
4,8,0.0119,3,128160400,4,,1.9769,0.25,,10000,1,0.0000,,,4,400
2,8,0.0386,3,6010100,6,,33.4201,0.5,,100000,23,0.0000,,,8,100
4,4,0.0946,2,80400,9,,8.3628,0.5,,60300.0,6,0.0000,,,4,200
2,8,0.0023,2,30500,0,0.0003,0.1015,0.75,1,1000,12,0.0000,0.0000,0.0000,8,100
8,4,0.0021,1,3200,8,,0.2722,0.5,,2400.0,10,0.0000,,,8,400
4,8,0.0061,3,6000200,2,,1.4340,0.5,,10000,15,0.0000,,,8,100
4,4,1.8954,3,2010100,5,,19.5701,0.25,,100000,1,0.0000,,,4,100
8,8,0.0040,1,800,1,,0.0876,0.5,,600.0,8,0.0000,,,8,100
2,8,0.0035,2,50300,2,,0.1709,0.5,,1000,12,0.0000,,,8,100
8,4,0.0011,3,4020200,6,0.0003,19.0754,0.25,1,100000,12,0.0000,0.0000,0.0000,8,100
2,4,0.0014,2,200600,6,0.0004,22.2993,0.5,0.5,100000,16,0.0001,0.0001,0.0000,8,200
4,8,0.0019,3,16000400,6,0.0004,27.9117,0.25,1,100000,1,0.0000,0.0000,0.0000,4,200
2,4,0.0013,2,160400,6,0.0005,0.1794,0.75,0.1,1000,0,0.0000,0.0001,0.0000,2,400
4,2,0.0036,1,800,5,,0.0774,0.25,,600.0,9,0.0000,,,8,100
4,2,0.0026,3,24080600,3,0.0007,23.8667,0.5,1,100000,15,0.0000,0.0001,0.0000,8,200
8,4,0.0013,2,20200,7,0.0004,1.7203,0.25,1,10000,4,0.0001,0.0000,0.0001,4,100
2,4,0.0009,2,160400,0,0.0003,19.5175,0.25,1,100000,0,0.0000,0.0000,0.0000,2,400
4,8,0.0015,3,3020300,3,0.0006,1.5207,0.5,0.1,10000,15,0.0000,0.0001,0.0000,8,100
4,8,0.0015,3,4000400,5,0.0005,2.1672,0.5,0.3,10000,15,0.0000,0.0001,0.0000,8,100
8,4,0.0012,2,30500,8,0.0005,2.6393,0.25,0.7,10000,9,0.0000,0.0001,0.0000,8,100
4,2,0.0070,1,3200,2,,0.3273,0.5,,2400.0,9,0.0001,,,8,400
4,2,0.0012,3,192321200,6,0.0004,0.1716,0.25,1,1000,15,0.0000,0.0000,0.0000,8,400
4,8,0.0028,3,16040200,4,0.0004,28.3260,0.5,0.3,100000,1,0.0000,0.0001,0.0000,4,200
8,4,0.0010,2,801200,6,0.0003,12.2010,0.25,1,100000,8,0.0000,0.0000,0.0000,8,400
8,2,0.0018,1,3200,7,0.0004,0.1174,0.75,0.9,1000,6,0.0000,0.0002,0.0000,8,400
8,8,0.0017,1,3200,3,0.0004,0.2012,0.5,1,2400.0,22,0.0000,0.0000,0.0000,8,400
2,4,0.0031,2,160800,7,,0.1111,0.5,,1000,16,0.0000,,,8,200
4,8,0.0042,1,1600,2,,0.1099,0.5,,1200.0,11,0.0000,,,8,200
4,2,0.0044,1,3200,7,,0.0812,0.25,,1000,9,0.0000,,,8,400
2,4,0.0105,2,640000,0,,1.2041,0.25,,10000,0,0.0000,,,4,400
2,2,0.0016,3,2020400,3,0.0005,0.2355,0.75,0.7,1000,22,0.0000,0.0001,0.0000,8,100
8,4,0.0103,2,320800,9,,2.4385,0.75,,10000,4,0.0000,,,4,400
8,4,0.0020,3,192000400,2,0.0003,19.5567,0.25,1,100000,6,0.0000,0.0000,0.0000,4,400
8,4,0.0070,1,3200,7,,0.3019,0.5,,2400.0,10,0.0000,,,8,400
2,4,0.0843,3,256161200,6,,31.9931,0.75,,100000,27,0.0000,,,8,400
4,4,0.0075,3,16040200,5,0.0013,0.3983,0.25,1,1000,1,0.0000,0.0002,0.0001,4,200
4,4,0.0021,3,32080400,5,0.0007,0.3798,0.5,1,1000,15,0.0000,0.0000,0.0000,8,200
4,4,0.0009,3,4030100,2,0.0004,1.2106,0.5,1,10000,15,0.0000,0.0000,0.0000,8,100
2,2,0.0008,2,801200,3,0.0003,15.9128,0.75,1,100000,19,0.0000,0.0000,0.0000,8,400
8,2,0.0036,1,3200,0,,0.0751,0.25,,1000,6,0.0000,,,8,400
2,2,0.0010,3,384320000,6,0.0003,1.9743,0.5,1,10000,28,0.0000,0.0000,0.0000,8,400
4,2,0.0021,1,800,0,,0.0558,0.75,,600.0,9,0.0000,,,8,100
8,4,0.0035,1,800,4,,0.0675,0.75,,600.0,3,0.0000,,,8,100
2,2,0.0021,2,50300,7,0.0008,7.4778,0.75,0.3,37725.0,19,0.0000,0.0001,0.0001,8,100
2,4,0.0081,2,320000,8,,0.1854,0.5,,1000,0,0.0000,,,2,400
2,4,0.0019,3,2050100,7,0.0003,0.1421,0.75,1,1000,3,0.0000,0.0000,0.0000,8,100
2,4,0.0027,3,4010300,3,0.0007,28.7627,0.75,1,100000,27,0.0000,0.0001,0.0000,8,100
2,8,0.0012,3,48080000,3,0.0004,2.3323,0.75,1,10000,23,0.0000,0.0000,0.0000,8,200
4,8,0.0032,3,24080600,1,0.0260,31.6043,0.5,0.956,100000,17,0.0000,0.0003,0.0001,8,200
4,4,0.0112,3,192000400,7,0.0004,0.2228,0.75,1,1000,1,0.0000,0.0000,0.0000,4,400
2,8,0.0069,1,3200,3,,0.3447,0.75,,2400.0,1,0.0000,,,8,400
8,4,0.0212,3,24200000,5,,3.0717,0.75,,10000,1,0.0000,,,8,200
2,4,0.0017,3,4010300,2,0.0006,1.3575,0.25,0.8,10000,21,0.0000,0.0001,0.0000,8,100
8,4,0.0022,2,160800,2,0.0026,20.6090,0.5,0.7,100000,9,0.0000,0.0001,0.0001,8,200
4,4,0.0057,1,3200,2,,0.1600,0.5,829.,1000,9,0.0000,,,8,400
2,8,0.0049,1,3200,1,,0.3299,0.75,,2400.0,5,0.0000,,,8,400
4,2,0.0011,3,8000200,9,0.0004,0.1809,0.25,1,1000,1,0.0000,0.0000,0.0000,2,200
4,2,0.0015,3,2030300,2,0.0004,2.4337,0.5,1,10000,15,0.0000,0.0000,0.0000,8,100
2,8,0.0010,2,240400,7,0.0003,1.0312,0.25,0.6,10000,12,0.0000,0.0001,0.0000,8,200
4,8,0.0052,3,3030200,4,,1.6300,0.5,,10000,17,0.0000,,,8,100
4,2,0.0013,2,160800,9,0.0005,1.1960,0.75,1,10000,17,0.0000,0.0000,0.0000,8,200
