maximum.number.of.nodes,number.of.variables,Grounding,maximum.arity,universe.size,instance,DSharp compilation,Total time,proportion.probabilistic,answer,number.of.facts,number.of.independent.pairs,Propagating evidence,Cycle breaking,Clark's completion,number.of.predicates,domain.size
4,2,0.0018,3,16160400,3,0.0005,3.0644,0.5,0.8,10000,8,0.0000,0.0001,0.0000,8,200
8,4,0.0040,1,1600,6,,0.2459,0.75,,1200.0,10,0.0000,,,8,200
8,2,0.0025,1,3200,1,0.0004,0.3989,0.5,1,2400.0,6,0.0000,0.0000,0.0000,8,400
8,4,0.0018,2,801200,0,0.0006,3.1360,0.75,0.1,10000,8,0.0000,0.0001,0.0000,8,400
2,4,0.0014,2,320000,1,0.0005,0.2864,0.5,1,1000,0,0.0000,0.0000,0.0000,2,400
4,4,0.0115,2,80400,1,,0.2483,0.25,,1000,6,0.0000,,,4,200
4,4,0.0188,3,64480000,6,,27.3776,0.25,,100000,1,0.0000,,,4,400
8,8,0.0047,1,3200,0,0.0005,0.2203,0.5,1,1000,15,0.0000,0.0000,0.0000,8,400
8,4,0.0065,1,3200,0,,0.4377,0.25,,2400.0,3,0.0000,,,8,400
8,8,0.0010,2,1280000,8,0.0004,23.4740,0.5,1,100000,4,0.0000,0.0000,0.0000,8,400
4,2,0.0015,3,48040200,6,0.0007,2.8140,0.5,0.9,10000,23,0.0000,0.0001,0.0000,8,200
8,8,0.0041,1,1600,6,,0.2345,0.75,,1000,8,0.0000,,,8,200
8,2,0.0034,1,1600,8,,0.2606,0.75,,1000,6,0.0000,,,8,200
4,4,0.0014,3,192000400,7,0.0005,0.2783,0.25,1,1000,1,0.0000,0.0000,0.0000,4,400
8,4,0.5086,2,81200,8,,18.5350,0.75,,60900.0,8,0.0001,,,8,200
2,2,0.0037,3,3030200,0,0.0005,29.6599,0.75,1,100000,28,0.0000,0.0000,0.0000,8,100
2,4,16.9663,2,320000,4,0.0005,38.8005,0.25,1,100000,0,0.0000,0.0196,0.0000,2,400
8,4,0.0016,2,40400,3,0.0006,2.6613,0.25,0.1,10000,9,0.0000,0.0001,0.0000,8,100
8,8,0.0093,2,322400,9,0.0006,0.2341,0.5,0.7,1000,20,0.0000,0.0001,0.0000,8,400
8,8,0.0026,2,240400,5,0.0007,0.2847,0.5,0.4,1000,4,0.0001,0.0001,0.0000,8,200
8,8,0.0029,1,1600,9,0.0006,0.2510,0.25,1,1200.0,20,0.0000,0.0001,0.0001,8,200
4,4,0.0014,2,640000,3,0.0005,0.2722,0.5,1,1000,6,0.0000,0.0000,0.0000,4,400
2,8,0.0161,3,40120000,2,,2.9602,0.25,,10000,23,0.0001,,,8,200
2,8,0.0033,2,40400,7,,0.2907,0.75,,1000,1,0.0000,,,8,100
4,4,0.2048,3,192480800,4,,30.3118,0.25,,100000,15,0.0000,,,8,400
8,4,0.0071,2,320800,9,,1.5944,0.25,,10000,4,0.0000,,,4,400
4,8,0.0022,3,16000400,5,0.0008,0.3623,0.5,0.5,1000,1,0.0000,0.0001,0.0001,4,200
4,4,0.3865,3,16040200,5,,2.9158,0.75,,10000,1,0.0000,,,4,200
2,4,0.0024,3,320320400,0,0.0006,2.9379,0.25,1,10000,27,0.0000,0.0001,0.0001,8,400
2,2,0.0020,3,192480800,4,0.0004,28.6380,0.25,0.8,100000,28,0.0000,0.0002,0.0000,8,400
2,4,0.0026,3,16080800,9,0.0003,30.0885,0.75,0.1,100000,21,0.0000,0.0001,0.0000,8,200
8,8,0.0063,1,3200,8,,0.1950,0.25,,1000,20,0.0000,,,8,400
8,8,0.0038,1,1600,6,,0.2288,0.5,,1000,22,0.0000,,,8,200
2,4,0.0096,3,2030300,2,0.0007,30.6285,0.5,1,100000,27,0.0000,0.0000,0.0000,8,100
4,4,0.0041,1,1600,5,,0.1635,0.5,,1200.0,9,0.0000,,,8,200
8,4,0.0711,2,80400,9,,12.5769,0.25,,60300.0,4,0.0001,,,4,200
8,8,0.0033,1,3200,1,,0.1641,0.75,,1000,8,0.0000,,,8,400
2,4,0.0167,2,160000,0,,1.9857,0.5,,10000,0,0.0000,,,4,200
4,8,0.0018,3,24000200,3,0.0005,34.1810,0.25,1,100000,1,0.0000,0.0000,0.0000,4,200
4,4,0.0019,2,480400,4,0.0008,21.6189,0.5,1,100000,6,0.0000,0.0000,0.0000,4,400
4,2,0.0031,3,64160000,8,0.0005,29.4556,0.25,1,100000,1,0.0000,0.0001,0.0000,2,400
8,4,0.0082,3,4020200,8,0.0006,0.3115,0.5,0.4,1000,12,0.0000,0.0002,0.0000,8,100
2,4,0.0117,2,160800,3,0.0005,31.5493,0.75,1,100000,16,0.0000,0.0000,0.0000,8,200
4,2,0.0012,3,192480800,9,0.0005,32.6605,0.75,0.4,100000,8,0.0000,0.0001,0.0000,8,400
2,8,0.0015,2,121000,1,0.0005,20.4985,0.25,1,90750.0,1,0.0000,0.0000,0.0000,8,200
4,4,0.0115,1,3200,7,,0.1958,0.25,,1000,9,0.0002,,,8,400
4,4,0.0024,3,16040200,5,0.0005,29.4005,0.5,1,100000,1,0.0000,0.0000,0.0000,4,200
8,4,0.0655,3,8080200,3,,3.4898,0.75,,10000,6,0.0000,,,4,200
2,4,0.0015,2,200600,0,0.0004,19.8418,0.25,0.6,100000,16,0.0000,0.0001,0.0000,8,200
8,8,0.1800,1,1600,5,0.0007,0.3881,0.5,0.3,1000,22,0.0000,0.0004,0.0001,8,200
8,2,0.0038,1,3200,1,,0.1998,0.25,,1000,6,0.0000,,,8,400
8,4,0.0035,2,641600,2,0.0006,27.9652,0.5,0.4,100000,9,0.0001,0.0002,0.0001,8,400
4,8,0.0342,3,128321600,6,,3.2326,0.75,,10000,15,0.0000,,,8,400
4,8,0.2291,3,2000200,6,,4.1242,0.75,,10000,1,0.0000,,,4,100
8,8,0.0049,2,121000,6,0.0271,27.9602,0.75,0.848,90750.0,4,0.0000,0.0003,0.0001,8,200
2,4,0.0034,2,801200,4,,0.2191,0.75,,1000,16,0.0000,,,8,400
4,4,0.0014,3,16080800,9,0.0005,2.3828,0.75,1,10000,15,0.0000,0.0000,0.0000,8,200
4,8,0.5325,3,16000400,6,,3.9441,0.25,,10000,1,0.0000,,,4,200
4,4,0.0082,3,16000400,9,0.0007,37.8740,0.5,0.4,100000,1,0.0002,0.0001,0.0000,4,200
2,4,0.0675,2,40400,7,,2.5686,0.25,,10000,16,0.0000,,,8,100
4,2,0.0025,1,800,0,0.0004,0.1336,0.5,1,600.0,9,0.0000,0.0000,0.0000,8,100
4,8,0.0015,3,256480400,0,0.0005,32.1282,0.5,0.3,100000,15,0.0001,0.0001,0.0000,8,400
2,2,0.0045,3,192161600,8,,3.2347,0.5,,10000,28,0.0000,,,8,400
4,2,0.0041,3,8040000,0,0.0003,38.5383,0.75,1,100000,1,0.0001,0.0000,0.0000,2,200
8,8,0.0379,2,60200,6,,0.4143,0.25,,1000,20,0.0000,,,8,100
4,8,0.0018,3,40080200,0,0.0005,34.1369,0.25,1,100000,17,0.0000,0.0000,0.0000,8,200
4,2,0.0021,3,24040800,2,0.0007,3.5374,0.5,0.5,10000,8,0.0000,0.0001,0.0000,8,200
8,4,0.1108,2,20200,2,,2.9865,0.25,,10000,4,0.0001,,,4,100
2,2,0.0020,3,4010300,2,0.0005,3.1633,0.25,1,10000,22,0.0000,0.0000,0.0000,8,100
4,2,0.0074,1,1600,5,,0.2506,0.75,,1000,12,0.0000,,,8,200
2,4,0.0018,2,160400,6,0.0007,3.2826,0.75,0.5,10000,0,0.0000,0.0003,0.0000,2,400
4,2,0.0015,3,24080600,8,0.0005,3.2181,0.25,1,10000,8,0.0000,0.0000,0.0000,8,200
4,2,0.0178,1,3200,8,0.0515,0.5993,0.25,0.61,2400.0,12,0.0000,0.0010,0.0001,8,400
2,2,0.0018,3,32080400,7,0.0011,36.4652,0.25,1,100000,22,0.0000,0.0000,0.0001,8,200
8,4,0.0020,2,322400,0,0.0006,3.0291,0.5,1,10000,9,0.0000,0.0001,0.0000,8,400
2,8,0.0014,2,40400,4,0.0005,2.3334,0.5,1,10000,12,0.0000,0.0000,0.0000,8,100
2,8,0.0017,2,121000,0,0.0006,3.3881,0.75,0.4,10000,12,0.0000,0.0001,0.0000,8,200
4,2,0.0273,2,641600,7,,3.4361,0.25,,10000,17,0.0000,,,8,400
4,2,0.0029,3,3030200,7,0.0040,3.5506,0.75,0.7,10000,8,0.0000,0.0003,0.0002,8,100
2,8,0.0018,3,320480000,2,0.0006,0.4158,0.5,1,1000,23,0.0000,0.0001,0.0000,8,400
4,8,0.0031,3,128321600,6,0.0005,33.3715,0.25,1,100000,15,0.0000,0.0000,0.0000,8,400
4,2,0.0067,3,8040000,1,0.0012,0.3838,0.75,0.3,1000,1,0.0001,0.0003,0.0000,2,200
8,8,0.0039,2,320000,8,,0.2051,0.75,,1000,4,0.0000,,,8,200
4,2,0.0025,3,3010400,2,0.0007,44.3488,0.75,0.7,100000,8,0.0000,0.0001,0.0000,8,100
2,4,0.0015,2,50300,2,0.0005,0.3199,0.5,1,1000,16,0.0000,0.0000,0.0000,8,100
2,4,0.0251,2,1120400,8,,2.9499,0.5,,10000,16,0.0000,,,8,400
2,4,0.0150,1,400,4,,0.1172,0.25,,300.0,5,0.0001,,,4,100
2,2,0.0032,3,3030200,9,0.0005,3.6592,0.25,0.8,10000,22,0.0000,0.0001,0.0001,8,100
4,2,0.0048,3,1000100,9,0.0007,42.8290,0.75,0.1,100000,1,0.0000,0.0002,0.0000,2,100
8,8,0.0099,1,1600,2,0.0006,0.2758,0.5,1,1000,8,0.0003,0.0002,0.0000,8,200
2,8,1.3911,2,482000,1,,1.6561,0.5,,1000,1,0.0001,,,8,400
8,8,0.0031,1,800,5,0.0006,0.1350,0.25,1,600.0,22,0.0000,0.0000,0.0000,8,100
8,4,0.6020,1,1600,9,0.7294,2.7463,0.75,1,1200.0,3,0.0000,0.2762,0.2402,8,200
8,4,0.0099,2,50300,5,,2.6856,0.5,,10000,8,0.0000,,,8,100
4,4,0.0011,3,3040100,0,0.0003,0.2199,0.5,1,1000,15,0.0000,0.0000,0.0000,8,100
8,4,0.0029,2,322400,8,0.0004,32.4238,0.75,0.6,100000,8,0.0000,0.0002,0.0000,8,400
8,4,0.0017,2,160800,2,0.0005,31.8670,0.75,1,100000,9,0.0000,0.0000,0.0000,8,200
8,4,0.0011,3,16040200,6,0.0004,0.3828,0.75,0.5,1000,6,0.0000,0.0001,0.0000,4,200
8,4,0.0020,2,40000,3,0.0007,3.2824,0.75,0.7,10000,4,0.0000,0.0001,0.0000,4,100
2,2,0.0030,2,50300,4,0.0027,0.2082,0.25,0.3,1000,27,0.0000,0.0008,0.0003,8,100
4,4,0.0014,3,32080400,5,0.0004,3.3252,0.5,1,10000,15,0.0000,0.0001,0.0000,8,200
4,8,0.0016,3,256480400,0,0.0077,0.3664,0.25,1,1000,15,0.0000,0.0000,0.0000,8,400
8,2,0.0015,2,20600,6,0.0005,3.1904,0.5,0.4,10000,26,0.0000,0.0001,0.0000,8,100
2,8,0.0102,2,641600,5,0.0006,35.2367,0.75,1,100000,12,0.0001,0.0001,0.0000,8,400
8,4,0.0016,3,256640000,4,0.0007,3.7713,0.5,1,10000,12,0.0000,0.0000,0.0000,8,400
4,4,0.0035,2,30100,0,0.0032,5.8168,0.25,1,22575.0,6,0.0001,0.0003,0.0003,4,100
2,8,0.0672,2,30500,0,,7.8120,0.5,,22875.0,12,0.0000,,,8,100
2,2,0.0070,3,64481600,5,0.0015,3.3582,0.25,0.2,10000,22,0.0001,0.0008,0.0003,8,400
2,4,0.0035,3,32080400,8,0.0006,35.5610,0.25,1,100000,3,0.0000,0.0000,0.0000,8,200
8,4,0.0046,2,121000,2,0.0006,0.4742,0.75,1,1000,8,0.0002,0.0000,0.0000,8,200
8,8,0.0036,1,800,7,,0.1600,0.75,,600.0,20,0.0000,,,8,100
2,2,0.0116,2,162800,9,0.0008,33.7901,0.75,0.8,100000,19,0.0001,0.0001,0.0000,8,400
2,2,0.0015,3,16080800,6,0.0005,0.2653,0.25,1,1000,22,0.0000,0.0000,0.0000,8,200
4,4,59.7440,2,320800,9,,60.0004,0.5,,1000,6,0.0000,,,4,400
8,4,0.0016,3,192000400,2,0.0005,42.2365,0.5,1,100000,6,0.0000,0.0000,0.0000,4,400
2,4,0.0066,2,80000,3,,0.2257,0.25,,1000,0,0.0000,,,2,200
4,2,0.0020,1,800,4,0.0006,0.1321,0.5,0.7,600.0,5,0.0000,0.0002,0.0000,4,200
8,4,0.0073,3,24120400,4,,0.5350,0.25,,1000,1,0.0000,,,8,200
2,2,0.0019,3,24120400,9,0.0007,3.5038,0.75,0.5,10000,22,0.0000,0.0001,0.0000,8,200
4,2,0.0015,3,6010100,6,0.0005,0.4283,0.5,1,1000,23,0.0000,0.0000,0.0000,8,100
4,2,0.0019,3,448000400,5,0.0020,0.3061,0.25,0.6,1000,8,0.0000,0.0004,0.0002,8,400
8,4,0.0035,2,801200,6,0.0006,2.6050,0.25,1,10000,8,0.0000,0.0005,0.0001,8,400
4,8,0.1415,3,2010100,1,,3.4513,0.5,,10000,1,0.0000,,,4,100
2,2,0.0020,2,30500,3,0.0024,6.8083,0.5,0.5,22875.0,27,0.0000,0.0003,0.0001,8,100
4,2,0.0052,3,7000100,5,0.0007,36.1564,0.25,1,100000,8,0.0000,0.0001,0.0000,8,100
4,2,0.0016,3,256161200,4,0.0005,40.0681,0.75,1,100000,15,0.0000,0.0000,0.0000,8,400
8,8,0.0061,2,960800,6,,2.6447,0.5,,10000,20,0.0000,,,8,400
2,8,0.0035,1,1600,3,,0.1883,0.5,,1000,1,0.0000,,,8,200
2,8,0.0015,2,50300,2,0.0006,0.2850,0.5,1,1000,1,0.0000,0.0000,0.0017,8,100
2,2,0.0030,2,50300,2,0.0010,0.1989,0.25,0.5,1000,27,0.0000,0.0002,0.0001,8,100
4,8,0.0021,3,128160400,1,0.0005,35.2856,0.25,1,100000,1,0.0000,0.0000,0.0000,4,400
2,8,0.0044,3,3030200,5,,0.3567,0.75,,1000,23,0.0000,,,8,100
4,2,0.0011,3,1000100,5,0.0004,0.2683,0.75,0.9,1000,1,0.0000,0.0001,0.0000,2,100
4,8,0.0015,3,320160800,4,0.0006,0.4200,0.5,0.7,1000,15,0.0000,0.0001,0.0000,8,400
8,8,0.0015,2,30500,7,0.0006,3.2989,0.5,0.6,10000,20,0.0000,0.0001,0.0000,8,100
8,4,0.0077,2,200600,1,,0.2480,0.25,,1000,8,0.0000,,,8,200
8,4,0.5487,2,160800,3,,3.4696,0.5,,10000,9,0.0000,,,8,200
2,4,0.0017,2,200600,2,0.0014,0.3819,0.75,0.7,1000,16,0.0000,0.0001,0.0001,8,200
2,4,0.0047,2,160000,0,,0.2785,0.25,,1000,0,0.0000,,,4,200
2,4,0.0018,2,50300,9,0.0007,0.4393,0.75,0.2,1000,16,0.0000,0.0001,0.0000,8,100
2,4,0.0086,3,4010300,1,,36.9974,0.25,,100000,27,0.0000,,,8,100
2,4,0.2379,2,320000,3,,32.2969,0.5,,100000,0,0.0000,,,2,400
4,4,0.0019,3,384160400,1,0.0006,39.3997,0.5,0.1,100000,15,0.0000,0.0001,0.0001,8,400
2,4,0.0646,3,2050100,7,,38.0405,0.5,,100000,3,0.0000,,,8,100
4,4,0.0094,3,4030100,2,0.0006,0.3504,0.25,1,1000,15,0.0001,0.0002,0.0003,8,100
8,4,0.0021,2,20200,7,0.0006,2.9520,0.5,1,10000,4,0.0001,0.0000,0.0000,4,100
8,8,0.0060,1,3200,1,,0.6193,0.75,,2400.0,22,0.0001,,,8,400
8,4,0.0048,3,4020200,1,,0.5080,0.75,,1000,12,0.0000,,,8,100
4,2,0.0018,3,16041000,0,0.0005,42.6074,0.75,0.7,100000,15,0.0000,0.0001,0.0000,8,200
2,4,0.0020,2,20200,1,0.0008,2.2082,0.5,0.9,10000,0,0.0000,0.0001,0.0000,4,100
4,4,0.0040,3,8080200,8,0.0031,32.5843,0.25,1,100000,1,0.0000,0.0003,0.0003,4,200
8,4,0.0062,3,32080400,1,0.0005,36.9133,0.25,1,100000,12,0.0000,0.0000,0.0000,8,200
2,8,0.0073,1,3200,0,,0.3751,0.5,,1000,1,0.0000,,,8,400
2,8,0.0614,3,32080400,9,,34.2346,0.5,,100000,23,0.0000,,,8,200
8,2,0.0031,1,3200,0,,0.1447,0.5,,1000,6,0.0000,,,8,400
2,2,0.0026,3,256161200,2,0.0008,3.3106,0.75,0.9,10000,22,0.0001,0.0002,0.0000,8,400
4,2,0.0017,3,3030200,7,0.0006,2.5163,0.5,0.9,10000,8,0.0001,0.0001,0.0000,8,100
2,8,0.0021,2,240400,7,0.0006,4.9000,0.75,0.9,10000,12,0.0000,0.0001,0.0000,8,200
2,2,0.0039,2,60200,1,0.0006,0.2373,0.25,0.7,1000,19,0.0000,0.0001,0.0000,8,100
2,8,0.0019,2,50300,2,0.0007,2.7994,0.75,1,10000,12,0.0000,0.0001,0.0000,8,100
4,8,0.0031,3,5020100,0,0.0005,33.6690,0.5,0.5,100000,17,0.0000,0.0001,0.0000,8,100
2,8,0.0116,2,80000,6,,2.2570,0.5,,10000,1,0.0000,,,8,100
4,4,0.0030,3,16000400,4,0.0007,37.0654,0.75,0.5,100000,1,0.0000,0.0001,0.0000,4,200
4,4,0.0010,3,384160400,1,0.0004,1.3861,0.25,0.2,10000,15,0.0000,0.0001,0.0000,8,400
4,8,0.0023,3,24080600,1,0.0008,27.7794,0.75,0.3,100000,15,0.0000,0.0002,0.0000,8,200
4,2,0.0037,3,56000200,5,0.0007,0.2766,0.75,0.4,1000,8,0.0000,0.0001,0.0000,8,200
8,4,0.0027,1,3200,8,0.0005,0.2340,0.75,0.6,1000,3,0.0000,0.0001,0.0001,8,400
2,4,0.1349,2,40400,1,,6.0560,0.25,,30300.0,16,0.0000,,,8,100
4,4,0.0009,3,256480400,2,0.0004,2.1651,0.75,0.7,10000,15,0.0000,0.0001,0.0000,8,400
8,4,0.0041,3,16080800,2,,0.1708,0.25,,1000,12,0.0000,,,8,200
2,8,0.0041,1,1600,7,,0.1432,0.75,,1200.0,5,0.0000,,,8,200
2,8,0.3357,2,121000,9,0.2933,1.4276,0.75,0.9999993,1000,12,0.0000,0.1573,0.1256,8,200
8,8,0.0066,1,3200,6,,0.3616,0.25,,2400.0,15,0.0000,,,8,400
8,4,0.0052,3,192000400,2,0.0008,32.6547,0.75,0.1,100000,6,0.0000,0.0002,0.0000,4,400
8,4,0.0019,3,4040000,4,0.0005,35.9994,0.75,0.4,100000,12,0.0000,0.0001,0.0000,8,100
8,2,0.0018,2,160800,0,0.0006,0.2297,0.25,1,1000,26,0.0001,0.0000,0.0001,8,200
2,4,0.0098,2,320800,9,,21.0014,0.75,,100000,0,0.0000,,,4,400
8,4,0.0047,2,322400,8,,0.1375,0.25,,1000,8,0.0000,,,8,400
2,4,0.0014,2,20200,9,0.0004,3.8400,0.75,1,15150.0,0,0.0000,0.0000,0.0000,4,100
4,8,0.0018,3,192321200,3,0.0004,0.1304,0.25,0.5,1000,15,0.0000,0.0001,0.0000,8,400
8,8,0.0034,1,3200,2,0.0136,0.3640,0.75,0.85,2400.0,15,0.0000,0.0002,0.0000,8,400
2,2,0.0012,2,801200,9,0.0005,2.8832,0.75,0.6,10000,27,0.0000,0.0001,0.0000,8,400
4,8,0.0023,3,32000800,5,0.0007,28.3196,0.25,0.1,100000,15,0.0000,0.0001,0.0001,8,200
4,4,0.0023,3,128160400,5,0.0008,0.3224,0.25,0.8,1000,1,0.0000,0.0001,0.0000,4,400
8,4,0.0018,3,128320000,1,0.0005,23.4712,0.5,0.7,100000,6,0.0000,0.0001,0.0000,4,400
2,4,0.0035,3,40080200,0,0.0007,0.2201,0.25,0.1,1000,27,0.0000,0.0001,0.0000,8,200
2,8,0.0036,2,160800,3,0.0003,23.6071,0.75,1,100000,1,0.0000,0.0000,0.0000,8,200
2,2,0.0017,2,41400,9,0.0005,10.1016,0.25,0.9,31050.0,19,0.0000,0.0001,0.0000,8,200
8,4,0.2498,3,128320000,0,0.0003,0.4670,0.5,1,1000,6,0.0000,0.0001,0.0000,4,400
4,4,0.0143,2,80400,2,,1.0501,0.5,,10000,6,0.0000,,,4,200
8,4,0.0066,2,50300,1,,0.2532,0.25,,1000,8,0.0001,,,8,100
2,4,0.0066,3,128321600,9,0.0005,2.9549,0.25,0.4,10000,21,0.0000,0.0001,0.0000,8,400
2,4,0.0052,1,800,5,0.0008,0.1615,0.5,1,600.0,5,0.0000,0.0003,0.0003,4,200
8,8,0.0024,1,400,0,0.0006,0.0591,0.5,1,300.0,1,0.0000,0.0000,0.0000,2,200
2,4,0.0043,2,801200,6,,0.3621,0.75,,1000,16,0.0000,,,8,400
8,8,0.0022,1,3200,0,0.0005,0.5299,0.75,0.6,2400.0,8,0.0000,0.0002,0.0000,8,400
2,2,0.0009,3,256320800,7,0.0003,0.1216,0.75,0.2,1000,22,0.0000,0.0001,0.0000,8,400
2,4,0.0013,2,50300,2,0.0004,1.3270,0.75,0.9,10000,16,0.0000,0.0001,0.0000,8,100
4,2,0.0014,3,1040300,7,0.0005,0.1939,0.75,1,1000,15,0.0001,0.0000,0.0000,8,100
8,8,0.0025,1,400,6,0.0006,0.0599,0.75,0.6,300.0,1,0.0000,0.0004,0.0000,2,200
8,4,0.0013,3,320160800,8,0.0005,22.6275,0.25,0.9,100000,1,0.0000,0.0001,0.0000,8,400
2,8,0.0035,1,3200,8,0.0133,0.3739,0.5,0.921,2400.0,1,0.0000,0.0003,0.0001,8,400
8,4,0.1072,2,30100,8,,2.2949,0.25,,10000,4,0.0000,,,4,100
8,8,0.0049,2,20600,9,,1.9978,0.75,,10000,20,0.0000,,,8,100
8,4,0.0049,1,800,4,,0.1831,0.75,,600.0,10,0.0001,,,8,100
8,8,0.0043,1,3200,6,,0.4639,0.25,,2400.0,20,0.0000,,,8,400
2,8,0.4492,2,1280000,6,,22.5521,0.75,,100000,1,0.0000,,,8,400
8,4,0.0047,1,3200,1,,0.1456,0.25,,2400.0,3,0.0000,,,8,400
8,4,0.0022,2,480400,8,0.0008,14.3094,0.5,0.9,100000,4,0.0000,0.0001,0.0000,4,400
2,2,0.0011,3,2020400,6,0.0003,0.3274,0.5,1,1000,22,0.0000,0.0000,0.0000,8,100
2,8,0.2316,1,1600,1,,0.3508,0.25,,1000,1,0.0000,,,8,200
4,2,0.0047,2,641600,7,,0.1583,0.25,,1000,17,0.0000,,,8,400
8,8,0.0051,1,800,4,,0.0940,0.25,,600.0,8,0.0000,,,8,100
4,2,0.0022,3,32040600,6,0.0007,27.6786,0.25,1,100000,8,0.0000,0.0002,0.0000,8,200
4,2,0.0027,1,800,7,0.0005,0.0842,0.25,1,600.0,5,0.0000,0.0000,0.0000,4,200
8,4,0.0014,2,40400,5,0.0005,0.1849,0.25,1,1000,9,0.0000,0.0000,0.0000,8,100
4,8,0.0077,1,1600,6,,0.2473,0.25,,1200.0,11,0.0000,,,8,200
4,4,0.0020,3,8120000,6,0.0007,0.3522,0.5,1,1000,1,0.0000,0.0001,0.0000,4,200
2,4,0.0022,2,20200,5,0.0007,2.1687,0.75,0.5,10000,0,0.0000,0.0002,0.0000,4,100
8,8,0.4361,2,801200,1,,27.0555,0.75,,100000,20,0.0000,,,8,400
2,8,0.0012,2,641600,3,0.0004,23.3206,0.5,1,100000,1,0.0001,0.0000,0.0000,8,400
2,4,0.9223,2,40200,5,0.5768,5.6119,0.75,1,10000,0,0.0000,0.5126,0.3351,2,200
4,4,0.0036,1,3200,1,0.0007,0.2327,0.25,1,1000,9,0.0000,0.0001,0.0002,8,400
2,4,0.0063,1,1600,0,0.0006,0.2842,0.25,1,1200.0,5,0.0000,0.0001,0.0000,8,200
4,2,0.0011,3,256161200,8,0.0004,1.7806,0.25,1,10000,15,0.0000,0.0000,0.0000,8,400
2,4,0.0016,3,256320800,1,0.0005,38.0603,0.75,1,100000,21,0.0000,0.0000,0.0000,8,400
4,2,0.0012,2,160800,3,0.0005,0.1716,0.5,0.5,1000,17,0.0000,0.0001,0.0000,8,200
2,4,0.0045,2,160800,1,,0.1548,0.25,,1000,16,0.0000,,,8,200
4,8,0.0011,3,3010000,2,0.0004,0.2142,0.5,1,1000,1,0.0000,0.0000,0.0000,4,100
4,2,0.0014,3,1010000,1,0.0006,3.3448,0.5,1,10000,1,0.0000,0.0000,0.0000,2,100
4,4,0.0020,3,1030000,6,0.0007,1.8667,0.25,1,10000,1,0.0000,0.0001,0.0000,4,100
2,4,0.0463,3,256640000,0,,20.2878,0.75,,100000,21,0.0000,,,8,400
8,2,0.0009,2,200600,7,0.0003,1.2308,0.75,0.8,10000,26,0.0000,0.0001,0.0000,8,200
2,4,0.0019,2,50300,6,,0.0945,0.5,,1000,16,0.0000,,,8,100
2,4,0.0022,3,256161200,3,0.0007,0.1855,0.5,0.8,1000,27,0.0000,0.0001,0.0001,8,400
8,4,0.0010,3,256161200,5,0.0004,23.1324,0.5,0.7,100000,12,0.0000,0.0001,0.0000,8,400
8,2,0.0025,2,1120400,3,,0.1659,0.75,,1000,26,0.0000,,,8,400
2,4,0.0027,3,24040800,6,,0.0958,0.25,,1000,3,0.0000,,,8,200
8,8,0.0014,2,60200,7,0.0005,1.1942,0.25,1,10000,4,0.0000,0.0000,0.0000,8,100
2,2,0.0009,2,801200,9,0.0003,16.4492,0.5,1,100000,27,0.0000,0.0000,0.0000,8,400
2,4,0.0016,2,120200,8,0.0005,0.1411,0.25,1,1000,0,0.0000,0.0000,0.0000,4,200
4,2,0.0057,1,1600,4,,0.1660,0.5,,1200.0,12,0.0000,,,8,200
8,4,0.0037,3,4040000,4,,0.2086,0.5,,1000,12,0.0000,,,8,100
4,4,0.0009,3,3020300,6,0.0003,0.1861,0.75,0.3,1000,15,0.0000,0.0000,0.0000,8,100
8,2,0.0016,2,40400,9,0.0003,0.9951,0.5,1,10000,26,0.0000,0.0000,0.0000,8,100
8,8,0.0015,1,800,4,0.0004,0.0510,0.5,0.1,600.0,20,0.0000,0.0001,0.0000,8,100
8,4,0.0016,1,1600,7,0.0003,0.0919,0.5,1,1000,3,0.0000,0.0000,0.0000,8,200
8,8,0.0064,1,3200,2,,0.1423,0.5,,1000,8,0.0000,,,8,400
8,4,0.0010,2,960800,4,0.0004,1.5484,0.75,0.3,10000,8,0.0000,0.0001,0.0000,8,400
4,2,0.0014,3,64160000,6,0.0004,0.1873,0.25,1,1000,1,0.0000,0.0000,0.0000,2,400
4,2,0.0036,3,2030300,3,0.0004,27.3535,0.5,1,100000,23,0.0000,0.0000,0.0000,8,100
2,2,0.0024,3,6020000,6,0.0009,2.9385,0.75,0.4,10000,28,0.0000,0.0001,0.0000,8,100
4,4,0.0037,3,2000200,9,,0.1167,0.5,,1000,1,0.0000,,,4,100
4,4,0.0140,2,80400,2,,1.2271,0.75,,10000,6,0.0000,,,4,200
2,2,0.0052,3,256001600,8,0.0199,0.3744,0.5,0.98,1000,22,0.0000,0.0003,0.0001,8,400
4,4,0.0199,1,1600,5,,0.5260,0.5,,1000,9,0.0000,,,8,200
4,4,0.0025,1,1600,7,,0.1366,0.75,,1200.0,9,0.0000,,,8,200
2,2,0.0012,3,6020000,6,0.0004,0.1590,0.5,0.6,1000,28,0.0000,0.0001,0.0000,8,100
8,4,0.0013,2,50300,7,0.0004,9.0511,0.75,0.6,37725.0,8,0.0000,0.0001,0.0000,8,100
2,2,0.0054,2,801200,2,0.0007,0.1790,0.25,1,1000,27,0.0001,0.0001,0.0000,8,400
8,2,0.0074,2,30500,1,0.0005,5.7780,0.5,1,22875.0,26,0.0002,0.0000,0.0000,8,100
2,2,0.0239,2,160800,5,,2.6050,0.5,,10000,19,0.0000,,,8,200
